WarmteInstallatie_name;schillabel_name;Ki_vast;Ki_cap;Ki_opp;R_OH;R_Adm;AS_Name
HR;A;1000;0;0;0.01;0.02;RAS
IR;A;500;0;0;0.00;0.01;geen
