Jaar;KGJ_BIOMASSA;KGJ_PELLETS;KGJ_KOLEN_EXCL;KGJ_KOLEN_CO2;EURKG_H2_B;EURKG_H2_G;R_groen;R_blauw
2010;11.54623214;11.54623214;0;0;0;0;1;0
2011;11.89382814;11.89382814;0;0;0;0;1;0
2012;12.24142413;12.24142413;0;0;0;0;1;0
2013;12.58902012;12.58902012;0;0;0;0;1;0
2014;12.95172899;12.95172899;0;0;0;0;1;0
2015;13.34466359;13.34466359;0;0;0;0;1;0
2016;14.7199347;14.7199347;0;0;0;0;1;0
2017;14.00962984;14.00962984;0;0;0;0;1;0
2018;15.1128693;15.1128693;0;0;0;0;1;0
2019;14.7652733;14.7652733;0;0;0;0;1;0
2020;14.568806;14.568806;0;0;0;0;1;0
2021;14.35722584;14.35722584;0;0;0;0;1;0
2022;14.14564566;14.14564566;0;0;0;0;1;0
2023;13.93406549;13.93406549;0;0;0;0;1;0
2024;13.73759819;13.73759819;0;0;0;0;1;0
2025;13.52601802;13.52601802;0;0;0;0;1;0
2026;13.32955072;13.32955072;0;0;0;0;1;0
2027;13.13308342;13.13308342;0;0;0;0;1;0
2028;12.93661612;12.93661612;0;0;0;0;1;0
2029;12.74014882;12.74014882;0;0;0;0;1;0
2030;12.55879438;12.55879438;0;0;0;0;1;0
2031;12.55879438;12.55879438;0;0;0;0;1;0
2032;12.55879438;12.55879438;0;0;0;0;1;0
2033;12.55879438;12.55879438;0;0;0;0;1;0
2034;12.55879438;12.55879438;0;0;0;0;1;0
2035;12.55879438;12.55879438;0;0;0;0;1;0
2036;12.55879438;12.55879438;0;0;0;0;1;0
2037;12.55879438;12.55879438;0;0;0;0;1;0
2038;12.55879438;12.55879438;0;0;0;0;1;0
2039;12.55879438;12.55879438;0;0;0;0;1;0
2040;12.55879438;12.55879438;0;0;0;0;1;0
2041;12.55879438;12.55879438;0;0;0;0;1;0
2042;12.55879438;12.55879438;0;0;0;0;1;0
2043;12.55879438;12.55879438;0;0;0;0;1;0
2044;12.55879438;12.55879438;0;0;0;0;1;0
2045;12.55879438;12.55879438;0;0;0;0;1;0
2046;12.55879438;12.55879438;0;0;0;0;1;0
2047;12.55879438;12.55879438;0;0;0;0;1;0
2048;12.55879438;12.55879438;0;0;0;0;1;0
2049;12.55879438;12.55879438;0;0;0;0;1;0
2050;12.55879438;12.55879438;0;0;0;0;1;0
