W;B;E;S;Bewerkingstype;RE_FO_a_WBE [m3 aardgas];RE_FO_b_WBSE [m3 aardgas];FVrvKC_mean_SJV [m3 aardgas];FVrvKC sd_SJV [m3 aardgas];OP_mean [m2];Se (stdv residuals);Sse;t a/2;Count
1;0;1;D;0;4.1341344317677;987.6288698061380;1618.8226089420900;713.3006237245660;152.6785714285710;729.9634516047030;425496.4285714290000;1.9815667570749;112
1;0;1;E;1;4.1341344317677;1158.3614328096600;1798.2474986183900;719.1888495553740;154.7811461794020;729.7433139487060;524513.8421926910000;1.9801188034564;0
1;0;1;F;0;4.1341344317677;1329.0939958131800;1977.6723882946800;725.0770753861810;156.8837209302330;729.5231762927090;623531.2558139540000;1.9786708498378;129
1;0;1;G;0;4.1341344317677;1188.7849840204900;1799.3660163745700;712.4280913342150;147.6925925925930;727.3429170916960;1951422.9703703700000;1.9643749615058;540
1;0;2;A+;5;4.5690121073026;732.7588759241180;1527.2735292871900;646.5009202232440;173.8920000000000;689.4190340188520;2030714.1680000000000;1.9647293909877;0
1;0;2;A;5;4.5690121073026;732.7588759241180;1527.2735292871900;646.5009202232440;173.8920000000000;689.4190340188520;2030714.1680000000000;1.9647293909877;0
1;0;2;B;5;4.5690121073026;828.4131912911190;1623.1876552972000;649.0427668707850;173.9488636363640;689.2182592999790;2630360.1590909100000;1.9633441998181;0
1;0;2;C;5;4.5690121073026;909.2685558937990;1695.1563020564500;680.3126911090830;172.0038659793810;688.9500214075870;5378393.9768041200000;1.9614946693150;0
1;0;2;D;5;4.5690121073026;987.1558357698990;1731.9376245978000;674.7130887152380;163.0071821515890;688.7805238721090;23316630.6624389000000;1.9603266167679;0
1;0;2;E;5;4.5690121073026;1031.6539557412300;1810.4260872898500;692.4246715509300;170.4465020576130;688.9643600450370;5691900.3271604900000;1.9615935038493;0
1;0;2;F;5;4.5690121073026;1108.3910867743100;1848.6298084798900;684.6871480174580;162.0128606187000;688.7877528996170;20347927.0483142000000;1.9603764236016;0
1;0;2;G;5;4.5690121073026;1068.5953799408800;1797.6687222641000;704.0224379363330;159.5691421254800;688.7593867671740;41090193.2285531000000;1.9601809907971;0
1;1;0;A+;3;4.4303719043146;755.4129565389460;1520.8767656815600;606.9764196486690;172.7764227642280;689.6421496280790;757052.7032520330000;1.9696939205435;0
1;1;0;A;0;4.4303719043146;755.4129565389460;1520.8767656815600;606.9764196486690;172.7764227642280;689.6421496280790;757052.7032520330000;1.9696939205435;246
1;1;0;B;0;4.4303719043146;896.9075027206660;1662.5108102758600;633.7136602384990;172.8079096045200;689.2101883260290;1209724.9378531100000;1.9667070086880;354
1;1;0;C;0;4.4303719043146;942.6037511935990;1680.6885562628000;648.9531012641950;166.5965794768610;688.5800819698310;2828379.2283702200000;1.9623558437740;994
1;1;0;D;0;4.4303719043146;998.5480179478350;1699.3280636708600;655.3155220190430;158.1763474620620;688.3233545701750;10350889.1418106000000;1.9605850287917;3822
1;1;0;E;0;4.4303719043146;1085.5052497959000;1801.1252720927200;698.2625491839810;161.5259481037920;688.5773082277610;2764955.8253493000000;1.9623367052809;1002
1;1;0;F;0;4.4303719043146;1174.0855200974600;1865.0085613186400;672.1444119505910;155.9514767932490;688.3139756205160;11941590.9556962000000;1.9605203580811;4266
1;1;0;G;0;4.4303719043146;1140.1453892893500;1819.0917467391700;685.2749728876250;153.2481633852480;688.2838513546590;19968237.8520423000000;1.9603126525863;6806
1;1;1;A+;3;3.9070732092757;1100.9771530277000;1713.2015710883000;670.4042224531510;156.6964285714290;711.1915805665200;187801.8392857140000;2.0040447832892;0
1;1;1;A;3;3.9070732092757;1100.9771530277000;1713.2015710883000;670.4042224531510;156.6964285714290;711.1915805665200;187801.8392857140000;2.0040447832892;0
1;1;1;B;3;3.9070732092757;1100.9771530277000;1713.2015710883000;670.4042224531510;156.6964285714290;711.1915805665200;187801.8392857140000;2.0040447832892;0
1;1;1;C;3;3.9070732092757;1100.9771530277000;1713.2015710883000;670.4042224531510;156.6964285714290;711.1915805665200;187801.8392857140000;2.0040447832892;0
1;1;1;D;0;3.9070732092757;1100.9771530277000;1713.2015710883000;670.4042224531510;156.6964285714290;711.1915805665200;187801.8392857140000;2.0040447832892;56
1;1;1;E;1;3.9070732092757;1121.2868559784800;1733.0273622702600;686.9089207311690;156.5725732600730;710.2545676327470;225186.5670787550000;1.9976495893388;0
1;1;1;F;0;3.9070732092757;1141.5965589292600;1752.8531534522200;703.4136190091880;156.4487179487180;709.3175546989750;262571.2948717950000;1.9912543953884;78
1;1;1;G;0;3.9070732092757;1229.2506759983700;1814.8320888369500;685.6337711149180;149.8772563176900;705.9766480094060;980057.8267148010000;1.9685963443306;277
1;1;2;A+;5;4.4303719043146;755.4129565389460;1520.8767656815600;606.9764196486690;172.7764227642280;689.6421496280790;757052.7032520330000;1.9696939205435;0
1;1;2;A;5;4.4303719043146;755.4129565389460;1520.8767656815600;606.9764196486690;172.7764227642280;689.6421496280790;757052.7032520330000;1.9696939205435;0
1;1;2;B;5;4.4303719043146;896.9075027206660;1662.5108102758600;633.7136602384990;172.8079096045200;689.2101883260290;1209724.9378531100000;1.9667070086880;0
1;1;2;C;5;4.4303719043146;942.6037511935990;1680.6885562628000;648.9531012641950;166.5965794768610;688.5800819698310;2828379.2283702200000;1.9623558437740;0
1;1;2;D;5;4.4303719043146;998.5480179478350;1699.3280636708600;655.3155220190430;158.1763474620620;688.3233545701750;10350889.1418106000000;1.9605850287917;0
1;1;2;E;5;4.4303719043146;1085.5052497959000;1801.1252720927200;698.2625491839810;161.5259481037920;688.5773082277610;2764955.8253493000000;1.9623367052809;0
1;1;2;F;5;4.4303719043146;1174.0855200974600;1865.0085613186400;672.1444119505910;155.9514767932490;688.3139756205160;11941590.9556962000000;1.9605203580811;0
1;1;2;G;5;4.4303719043146;1140.1453892893500;1819.0917467391700;685.2749728876250;153.2481633852480;688.2838513546590;19968237.8520423000000;1.9603126525863;0
1;2;0;A+;3;5.0748395165265;714.8518139625410;1657.5655422392600;679.2245104840920;185.7622739018090;683.5472105984760;1441392.1291989700000;1.9661287528933;0
1;2;0;A;0;5.0748395165265;714.8518139625410;1657.5655422392600;679.2245104840920;185.7622739018090;683.5472105984760;1441392.1291989700000;1.9661287528933;387
1;2;0;B;0;5.0748395165265;772.7203743727100;1629.1603713424100;666.4833655181180;168.7619863013700;683.2474395427700;1738381.9160958900000;1.9640413774963;584
1;2;0;C;0;5.0748395165265;856.3133774442690;1670.7562280030100;655.3669041834560;160.4864248231800;682.7391196741260;10733938.9422770000000;1.9605054987975;4383
1;2;0;D;0;5.0748395165265;917.4360561540530;1726.4295348203200;661.2338949111260;159.4126230064470;682.7771044421710;7732478.2504241600000;1.9607695614590;2947
1;2;0;E;0;5.0748395165265;1040.3384243586900;1817.7281680741000;676.8991957476010;153.1850891410050;682.7165492466240;15010094.6282010000000;1.9603486058444;6170
1;2;0;F;0;5.0748395165265;1092.1312965065900;1844.4964739500600;681.5956454309530;148.2539841887310;682.7040542545520;18642735.9360020000000;1.9602617538040;7969
1;2;0;G;0;5.0748395165265;999.2102461395160;1734.3055130236500;689.0421188889140;144.8509385351490;682.7869212681260;7000580.6301067400000;1.9608378103090;2717
1;2;1;A+;3;4.6730769223409;885.9883335873720;1654.1338184162100;639.2622633957030;164.3768115942030;672.4195816638030;222060.2028985510000;1.9954689314298;0
1;2;1;A;3;4.6730769223409;885.9883335873720;1654.1338184162100;639.2622633957030;164.3768115942030;672.4195816638030;222060.2028985510000;1.9954689314298;0
1;2;1;B;3;4.6730769223409;885.9883335873720;1654.1338184162100;639.2622633957030;164.3768115942030;672.4195816638030;222060.2028985510000;1.9954689314298;0
1;2;1;C;0;4.6730769223409;885.9883335873720;1654.1338184162100;639.2622633957030;164.3768115942030;672.4195816638030;222060.2028985510000;1.9954689314298;69
1;2;1;D;0;4.6730769223409;944.1673047799870;1633.5240354406400;612.3254197152890;147.5166666666670;673.1863574891040;240012.9833333330000;2.0009953780883;60
1;2;1;E;0;4.6730769223409;1118.6560625039300;1789.2426008598500;716.0724584362110;143.5000000000000;670.2792486529830;362384.0000000000000;1.9800998764569;120
1;2;1;F;0;4.6730769223409;1243.3128001006400;1898.6822620227300;641.4187191789120;140.2436708860760;668.5189924755540;751210.2373417720000;1.9675235316906;316
1;2;1;G;0;4.6730769223409;1095.5023775945200;1724.9969928799800;679.0718956113970;134.7066666666670;669.7081338496430;468033.0933333330000;1.9760131776892;150
1;2;2;A+;3;1.8601069457590;1027.4554803298700;1214.9980276846400;459.6426559950970;100.8235294117650;556.2849019711510;22519.4117647059000;2.0085591121008;0
1;2;2;A;3;1.8601069457590;1027.4554803298700;1214.9980276846400;459.6426559950970;100.8235294117650;556.2849019711510;22519.4117647059000;2.0085591121008;0
1;2;2;B;3;1.8601069457590;1027.4554803298700;1214.9980276846400;459.6426559950970;100.8235294117650;556.2849019711510;22519.4117647059000;2.0085591121008;0
1;2;2;C;0;1.8601069457590;1027.4554803298700;1214.9980276846400;459.6426559950970;100.8235294117650;556.2849019711510;22519.4117647059000;2.0085591121008;51
1;2;2;D;0;1.8601069457590;1167.0574418189500;1365.2780691670100;450.0750238220380;106.5641025641030;554.3051036453460;39845.1794871795000;1.9912543953884;78
1;2;2;E;0;1.8601069457590;1142.5667822663400;1328.7529586295800;630.6649856097810;100.0943396226410;556.0667082377240;26296.5283018868000;2.0066468050617;53
1;2;2;F;0;1.8601069457590;1115.3347577713600;1296.4724961231600;521.9442830753750;97.3802816901408;554.6701383267570;103420.7323943660000;1.9944371117712;71
1;2;2;G;2;1.8601069457590;1115.3347577713600;1296.4724961231600;521.9442830753750;97.3802816901408;554.6701383267570;103420.7323943660000;1.9944371117712;0
1;3;0;A+;3;5.1843415425312;735.1535239233430;1724.0804125822200;706.4089883250650;190.7526501766780;687.6992468544270;947446.6855123680000;1.9684119005010;0
1;3;0;A;0;5.1843415425312;735.1535239233430;1724.0804125822200;706.4089883250650;190.7526501766780;687.6992468544270;947446.6855123680000;1.9684119005010;283
1;3;0;B;0;5.1843415425312;770.3816227329250;1681.6713139795900;660.9568726336810;175.7773255813950;686.6786001175370;4101101.7156976700000;1.9613449700187;1720
1;3;0;C;0;5.1843415425312;857.3233592465130;1757.7152128161200;650.4473225396320;173.6752577319590;686.5279979216690;16498693.4845361000000;1.9603037633567;6984
