W;B;E;S;Bewerkingstype;RE_FO_a_WBE [m3 aardgas];RE_FO_b_WBSE [m3 aardgas];FVrvKC_mean_SJV [m3 aardgas];FVrvKC sd_SJV [m3 aardgas];OP_mean [m2];Se (stdv residuals);Sse;t a/2;Count
1;2;0;C;0;5.886775932;721.4151374;1669.672939;686.695871;161.0827068;694.6581944;369934.0902;1.978098842;133
1;2;0;D;0;5.886775932;955.2524103;1945.863234;671.2432307;168.2773109;694.9729772;334023.8487;1.980272249;119
1;2;0;E;0;5.886775932;926.5342887;1892.469223;708.455625;164.0855615;693.8897198;622154.631;1.972800114;187
1;2;0;F;0;5.886775932;863.2984466;1764.458407;743.3799364;153.0820896;693.3214837;782596.194;1.968888622;268
1;2;0;G;0;5.886775932;881.8061189;1731.943775;687.0805666;144.4148148;694.6186252;346716.7704;1.977825758;135
1;2;1;A;3;6.52642333;751.8114463;1649.898484;705.607412;137.6078431;705.4952436;103422.1569;2.008559112;0
1;2;1;B;3;6.52642333;751.8114463;1649.898484;705.607412;137.6078431;705.4952436;103422.1569;2.008559112;0
1;2;1;C;3;6.52642333;751.8114463;1649.898484;705.607412;137.6078431;705.4952436;103422.1569;2.008559112;0
1;2;1;D;3;6.52642333;751.8114463;1649.898484;705.607412;137.6078431;705.4952436;103422.1569;2.008559112;0
1;2;1;E;0;6.52642333;751.8114463;1649.898484;705.607412;137.6078431;705.4952436;103422.1569;2.008559112;51
1;2;1;F;0;6.52642333;848.4515529;1760.342292;715.4943769;139.7228916;702.7025746;198628.6265;1.989318557;83
1;2;1;G;2;6.52642333;848.4515529;1760.342292;715.4943769;139.7228916;702.7025746;198628.6265;1.989318557;0
1;2;2;A;3;2.601679923;1024.525929;1286.724501;435.3335694;100.7804878;601.8969163;32508.04878;1.989686323;0
1;2;2;B;3;2.601679923;1024.525929;1286.724501;435.3335694;100.7804878;601.8969163;32508.04878;1.989686323;0
1;2;2;C;0;2.601679923;1024.525929;1286.724501;435.3335694;100.7804878;601.8969163;32508.04878;1.989686323;82
1;2;2;D;0;2.601679923;973.0282727;1235.360279;506.7859713;100.8317757;601.0116431;49308.97196;1.982597262;107
1;2;2;E;0;2.601679923;1090.61541;1362.716728;530.5547194;104.5867769;600.6780257;70941.33884;1.979930405;121
1;2;2;F;0;2.601679923;1210.685009;1484.330556;528.038898;105.1803279;600.6571685;80952.03279;1.979763763;122
1;2;2;G;0;2.601679923;1315.736984;1575.304588;697.6482635;99.76923077;602.0924326;50519.84615;1.991254395;78
1;3;0;A;3;5.666476096;810.5474731;1839.679529;740.8015873;181.6176471;733.393338;709774.2059;1.97002401;0
1;3;0;B;3;5.666476096;810.5474731;1839.679529;740.8015873;181.6176471;733.393338;709774.2059;1.97002401;0
1;3;0;C;0;5.666476096;810.5474731;1839.679529;740.8015873;181.6176471;733.393338;709774.2059;1.97002401;238
1;3;0;D;0;5.666476096;899.5787684;1892.563892;743.5078252;175.2385621;733.0471624;977333.585;1.967772355;306
1;3;0;E;0;5.666476096;956.2118912;1919.739487;731.4051833;170.04;734.3127442;363975.76;1.976013178;150
1;3;0;F;0;5.666476096;926.9303457;1872.877699;750.006922;166.9375;737.7228223;198453.75;1.998340543;64
