W;B;E;RE_OA_a;RE_OA_b;Bewerkingstype;Count
4;8;0;0.00602896;2.262200577;0;25308
4;8;1;0.004625684;2.046802157;0;334
4;8;2;0.012031585;1.356262702;0;899
4;9;0;0.012102455;1.455038813;0;10091
4;9;1;0.003648487;2.155324729;0;354
4;9;2;0.004540352;2.049330908;0;579
4;10;0;0.013075132;1.005626426;0;4603
4;10;1;0.008426743;1.482000889;0;302
4;10;2;0.007573028;1.583032567;0;116
5;0;0;0.00560262;1.502277191;0;25857
5;0;1;0.007343731;1.321171614;0;25508
5;0;2;0.011775989;0.992928223;0;4251
5;1;0;0.0065302;1.520860295;0;14289
5;1;1;0.007368769;1.450373964;0;13723
5;1;2;0.010985355;1.086807506;0;966
5;2;0;0.008188888;1.058101527;0;11539
5;2;1;0.007150178;1.179727512;0;14035
5;2;2;0.012996968;0.897705898;0;5128
5;3;0;0.008540406;1.007181892;0;2959
5;3;1;0.00888187;0.88849259;0;4089
5;3;2;0.010820541;0.836177514;0;1378
5;4;0;0.008301135;0.888899939;0;12901
5;4;1;0.008086019;0.856245303;0;11382
5;4;2;0.018789202;0.364502845;0;8521
5;5;0;0.006616998;0.979623351;0;4126
5;5;1;0.007546275;0.875703032;0;2780
5;5;2;0.009688965;0.876712417;0;1322
5;6;0;0.006628307;0.976954071;0;6093
5;6;1;0.007667432;0.816512523;0;3951
5;6;2;0.013609789;0.513183569;0;1595
5;7;0;0.006571266;0.984358687;0;8546
5;7;1;0.005457947;1.032317099;0;5072
5;7;2;0.007756129;0.767118576;0;1683
5;8;0;0.008888099;0.791721271;0;7344
5;8;1;0.00629118;0.950432704;0;4255
5;8;2;0.009181355;0.644043629;0;2535
5;9;0;0.008642707;0.792849791;0;1808
5;9;1;0.008946944;0.791106968;0;2257
5;9;2;0.01215782;0.458280375;0;1434
5;10;0;0.008852325;0.863044819;0;2201
5;10;1;0.010070134;0.776232792;0;807
5;10;2;0.005916707;0.898579279;0;151
6;0;0;0.007287204;1.319661805;0;13297
6;0;1;0.007470486;1.250596055;0;24045
6;0;2;0.013728463;0.815202634;0;9502
6;1;0;0.007979076;1.348071439;0;4839
6;1;1;0.008980597;1.229299057;0;10338
6;1;2;0.012023918;1.093864868;0;2563
6;2;0;0.004804734;1.402142612;0;5131
6;2;1;0.006995918;1.285449561;0;12029
6;2;2;0.021517689;0.822828759;0;5769
6;3;0;0.001089722;1.641204734;0;1156
6;3;1;0.005353844;1.120856934;0;3864
6;3;2;0.00701808;1.206221533;0;1705
6;4;0;0.00272705;1.257775578;0;4445
6;4;1;0.004262702;1.141442863;0;8719
6;4;2;0.0190846;0.46025574;0;5805
6;5;0;0.000337563;1.541254808;0;3776
6;5;1;0.002105189;1.457258044;0;3897
6;5;2;0.016089755;0.599840569;0;1294
6;6;0;0.001736415;1.398072586;0;6304
6;6;1;0.002097296;1.39400654;0;5327
6;6;2;0.010631009;0.757424826;0;1123
6;7;0;0.001681544;1.443927346;0;8901
6;7;1;0.002134298;1.484199395;0;7655
6;7;2;0.008254636;0.965953155;0;1898
6;8;0;0.002618521;1.456767335;0;7410
6;8;1;0.004077456;1.315123035;0;6599
6;8;2;0.006354997;1.013379499;0;2290
6;9;0;0.003446699;1.319308481;0;2164
6;9;1;0.004304337;1.231514458;0;2316
6;9;2;0.008378171;0.929281027;0;1290
6;10;0;0.007703109;0.933704224;0;213
6;10;1;0.011207108;0.579344416;0;131
6;10;2;0.005596303;1.006240821;0;134
