woning;bouwjaarklasse;Elabel;besparing
vrijstaand;1996 - 1999;A;1
vrijstaand;1996 - 1999;B;1.038235199
vrijstaand;1996 - 1999;C;1.065290836
vrijstaand;1996 - 1999;D;0
vrijstaand;1996 - 1999;E;0
vrijstaand;1996 - 1999;F;0
vrijstaand;1996 - 1999;G;0
vrijstaand;1996 - 1999;N;1.051095971
vrijstaand;2000 - 2005;A;1
vrijstaand;2000 - 2005;B;1.047036972
vrijstaand;2000 - 2005;C;1.306573018
vrijstaand;2000 - 2005;D;0
vrijstaand;2000 - 2005;E;0
vrijstaand;2000 - 2005;F;0
vrijstaand;2000 - 2005;G;0
vrijstaand;2000 - 2005;N;1.041224142
vrijstaand;2006 - 2010;A;1
vrijstaand;2006 - 2010;B;1.045972251
vrijstaand;2006 - 2010;C;0
vrijstaand;2006 - 2010;D;0
vrijstaand;2006 - 2010;E;0
vrijstaand;2006 - 2010;F;0
vrijstaand;2006 - 2010;G;0
vrijstaand;2006 - 2010;N;1.028474555
vrijstaand;2011 - 2014;A;1
vrijstaand;2011 - 2014;B;0
vrijstaand;2011 - 2014;C;0
vrijstaand;2011 - 2014;D;0
vrijstaand;2011 - 2014;E;0
vrijstaand;2011 - 2014;F;0
vrijstaand;2011 - 2014;G;0
vrijstaand;2011 - 2014;N;0.99059864
vrijstaand;2015 - 2020;A;1
vrijstaand;2015 - 2020;B;0
vrijstaand;2015 - 2020;C;0
vrijstaand;2015 - 2020;D;0
vrijstaand;2015 - 2020;E;0
vrijstaand;2015 - 2020;F;0
vrijstaand;2015 - 2020;G;0
vrijstaand;2015 - 2020;N;0.989836927
vrijstaand;2021 - 2030;A;1
vrijstaand;2021 - 2030;B;0
vrijstaand;2021 - 2030;C;0
vrijstaand;2021 - 2030;D;0
vrijstaand;2021 - 2030;E;0
vrijstaand;2021 - 2030;F;0
vrijstaand;2021 - 2030;G;0
vrijstaand;2021 - 2030;N;0
vrijstaand;2031 - 2040;A;1
vrijstaand;2031 - 2040;B;0
vrijstaand;2031 - 2040;C;0
vrijstaand;2031 - 2040;D;0
vrijstaand;2031 - 2040;E;0
vrijstaand;2031 - 2040;F;0
vrijstaand;2031 - 2040;G;0
vrijstaand;2031 - 2040;N;0
vrijstaand;2041 - 2050;A;1
vrijstaand;2041 - 2050;B;0
vrijstaand;2041 - 2050;C;0
vrijstaand;2041 - 2050;D;0
vrijstaand;2041 - 2050;E;0
vrijstaand;2041 - 2050;F;0
vrijstaand;2041 - 2050;G;0
vrijstaand;2041 - 2050;N;0
2 onder 1 kap;voor 1930;A;1
2 onder 1 kap;voor 1930;B;1.011121474
2 onder 1 kap;voor 1930;C;1.098429373
2 onder 1 kap;voor 1930;D;1.19513217
2 onder 1 kap;voor 1930;E;1.290878322
2 onder 1 kap;voor 1930;F;1.338790688
2 onder 1 kap;voor 1930;G;1.370305742
2 onder 1 kap;voor 1930;N;1.397014649
2 onder 1 kap;1930 - 1945;A;1
2 onder 1 kap;1930 - 1945;B;1.213396396
2 onder 1 kap;1930 - 1945;C;1.279358471
2 onder 1 kap;1930 - 1945;D;1.382687384
2 onder 1 kap;1930 - 1945;E;1.413634243
2 onder 1 kap;1930 - 1945;F;1.526366072
2 onder 1 kap;1930 - 1945;G;1.538004953
2 onder 1 kap;1930 - 1945;N;1.614464052
2 onder 1 kap;1946 - 1964;A;1
2 onder 1 kap;1946 - 1964;B;1.096915595
2 onder 1 kap;1946 - 1964;C;1.119718538
2 onder 1 kap;1946 - 1964;D;1.202434123
2 onder 1 kap;1946 - 1964;E;1.328885568
2 onder 1 kap;1946 - 1964;F;1.409434994
2 onder 1 kap;1946 - 1964;G;1.400320831
2 onder 1 kap;1946 - 1964;N;1.435834481
2 onder 1 kap;1965 - 1974;A;1
2 onder 1 kap;1965 - 1974;B;1.021228433
2 onder 1 kap;1965 - 1974;C;1.0871644
2 onder 1 kap;1965 - 1974;D;1.212265112
2 onder 1 kap;1965 - 1974;E;1.275916736
2 onder 1 kap;1965 - 1974;F;1.332304924
2 onder 1 kap;1965 - 1974;G;1.359331698
2 onder 1 kap;1965 - 1974;N;1.341988621
2 onder 1 kap;1975 - 1991;A;1
2 onder 1 kap;1975 - 1991;B;1.098773521
2 onder 1 kap;1975 - 1991;C;1.221502209
2 onder 1 kap;1975 - 1991;D;1.320338001
2 onder 1 kap;1975 - 1991;E;1.434499579
2 onder 1 kap;1975 - 1991;F;0
2 onder 1 kap;1975 - 1991;G;0
2 onder 1 kap;1975 - 1991;N;1.248586238
2 onder 1 kap;1992 - 1995;A;1
2 onder 1 kap;1992 - 1995;B;1.09607222
2 onder 1 kap;1992 - 1995;C;0
2 onder 1 kap;1992 - 1995;D;0
2 onder 1 kap;1992 - 1995;E;0
2 onder 1 kap;1992 - 1995;F;0
2 onder 1 kap;1992 - 1995;G;0
2 onder 1 kap;1992 - 1995;N;1.247020184
2 onder 1 kap;1996 - 1999;A;1
2 onder 1 kap;1996 - 1999;B;1.184239183
2 onder 1 kap;1996 - 1999;C;0
2 onder 1 kap;1996 - 1999;D;0
2 onder 1 kap;1996 - 1999;E;0
2 onder 1 kap;1996 - 1999;F;0
2 onder 1 kap;1996 - 1999;G;0
2 onder 1 kap;1996 - 1999;N;1.354383982
2 onder 1 kap;2000 - 2005;A;1
2 onder 1 kap;2000 - 2005;B;0
2 onder 1 kap;2000 - 2005;C;0
2 onder 1 kap;2000 - 2005;D;0
2 onder 1 kap;2000 - 2005;E;0
2 onder 1 kap;2000 - 2005;F;0
2 onder 1 kap;2000 - 2005;G;0
2 onder 1 kap;2000 - 2005;N;1.166177274
2 onder 1 kap;2006 - 2010;A;1
2 onder 1 kap;2006 - 2010;B;0
2 onder 1 kap;2006 - 2010;C;0
2 onder 1 kap;2006 - 2010;D;0
2 onder 1 kap;2006 - 2010;E;0
2 onder 1 kap;2006 - 2010;F;0
2 onder 1 kap;2006 - 2010;G;0
2 onder 1 kap;2006 - 2010;N;1.154817768
2 onder 1 kap;2011 - 2014;A;1
2 onder 1 kap;2011 - 2014;B;0
2 onder 1 kap;2011 - 2014;C;0
2 onder 1 kap;2011 - 2014;D;0
2 onder 1 kap;2011 - 2014;E;0
2 onder 1 kap;2011 - 2014;F;0
2 onder 1 kap;2011 - 2014;G;0
2 onder 1 kap;2011 - 2014;N;1.210453099
2 onder 1 kap;2015 - 2020;A;1
2 onder 1 kap;2015 - 2020;B;0
2 onder 1 kap;2015 - 2020;C;0
2 onder 1 kap;2015 - 2020;D;0
2 onder 1 kap;2015 - 2020;E;0
2 onder 1 kap;2015 - 2020;F;0
2 onder 1 kap;2015 - 2020;G;0
2 onder 1 kap;2015 - 2020;N;1.085408197
2 onder 1 kap;2021 - 2030;A;1
2 onder 1 kap;2021 - 2030;B;0
2 onder 1 kap;2021 - 2030;C;0
2 onder 1 kap;2021 - 2030;D;0
2 onder 1 kap;2021 - 2030;E;0
2 onder 1 kap;2021 - 2030;F;0
2 onder 1 kap;2021 - 2030;G;0
2 onder 1 kap;2021 - 2030;N;0
2 onder 1 kap;2031 - 2040;A;1
2 onder 1 kap;2031 - 2040;B;0
2 onder 1 kap;2031 - 2040;C;0
2 onder 1 kap;2031 - 2040;D;0
2 onder 1 kap;2031 - 2040;E;0
2 onder 1 kap;2031 - 2040;F;0
2 onder 1 kap;2031 - 2040;G;0
2 onder 1 kap;2031 - 2040;N;0
2 onder 1 kap;2041 - 2050;A;1
2 onder 1 kap;2041 - 2050;B;0
2 onder 1 kap;2041 - 2050;C;0
2 onder 1 kap;2041 - 2050;D;0
2 onder 1 kap;2041 - 2050;E;0
2 onder 1 kap;2041 - 2050;F;0
2 onder 1 kap;2041 - 2050;G;0
2 onder 1 kap;2041 - 2050;N;0
rijwoning hoek;voor 1930;A;1
rijwoning hoek;voor 1930;B;1.0602439
rijwoning hoek;voor 1930;C;1.123662464
rijwoning hoek;voor 1930;D;1.145842838
rijwoning hoek;voor 1930;E;1.245188979
rijwoning hoek;voor 1930;F;1.308063705
rijwoning hoek;voor 1930;G;1.380686433
rijwoning hoek;voor 1930;N;1.44556173
rijwoning hoek;1930 - 1945;A;1
rijwoning hoek;1930 - 1945;B;1.060774502
rijwoning hoek;1930 - 1945;C;1.085548971
rijwoning hoek;1930 - 1945;D;1.154666966
rijwoning hoek;1930 - 1945;E;1.278482466
rijwoning hoek;1930 - 1945;F;1.36321714
rijwoning hoek;1930 - 1945;G;1.458929685
rijwoning hoek;1930 - 1945;N;1.499932834
rijwoning hoek;1946 - 1964;A;1
rijwoning hoek;1946 - 1964;B;1.078331441
rijwoning hoek;1946 - 1964;C;1.111668467
rijwoning hoek;1946 - 1964;D;1.20181666
rijwoning hoek;1946 - 1964;E;1.317825922
rijwoning hoek;1946 - 1964;F;1.418337544
rijwoning hoek;1946 - 1964;G;1.417571747
rijwoning hoek;1946 - 1964;N;1.415699592
rijwoning hoek;1965 - 1974;A;1
rijwoning hoek;1965 - 1974;B;1.040129267
rijwoning hoek;1965 - 1974;C;1.153920605
rijwoning hoek;1965 - 1974;D;1.258696341
rijwoning hoek;1965 - 1974;E;1.31526875
rijwoning hoek;1965 - 1974;F;1.391319116
rijwoning hoek;1965 - 1974;G;1.374658703
rijwoning hoek;1965 - 1974;N;1.329739402
rijwoning hoek;1975 - 1991;A;1
rijwoning hoek;1975 - 1991;B;1.068753482
rijwoning hoek;1975 - 1991;C;1.162497022
rijwoning hoek;1975 - 1991;D;1.251161558
rijwoning hoek;1975 - 1991;E;1.364002158
rijwoning hoek;1975 - 1991;F;0
rijwoning hoek;1975 - 1991;G;0
rijwoning hoek;1975 - 1991;N;1.175489331
rijwoning hoek;1992 - 1995;A;1
rijwoning hoek;1992 - 1995;B;1.036004616
rijwoning hoek;1992 - 1995;C;1.073279801
rijwoning hoek;1992 - 1995;D;0
rijwoning hoek;1992 - 1995;E;0
rijwoning hoek;1992 - 1995;F;0
rijwoning hoek;1992 - 1995;G;0
rijwoning hoek;1992 - 1995;N;1.169024548
rijwoning hoek;1996 - 1999;A;1
rijwoning hoek;1996 - 1999;B;1.056606347
rijwoning hoek;1996 - 1999;C;1.152357954
rijwoning hoek;1996 - 1999;D;0
rijwoning hoek;1996 - 1999;E;0
rijwoning hoek;1996 - 1999;F;0
rijwoning hoek;1996 - 1999;G;0
rijwoning hoek;1996 - 1999;N;1.132498484
