woning;bouwjaarklasse;Elabel;besparing
meergezins: laag en midden;2006 - 2010;N;0.958900528
meergezins: laag en midden;2011 - 2014;A;1
meergezins: laag en midden;2011 - 2014;B;1.160969143
meergezins: laag en midden;2011 - 2014;C;1.27824722
meergezins: laag en midden;2011 - 2014;D;0
meergezins: laag en midden;2011 - 2014;E;0
meergezins: laag en midden;2011 - 2014;F;0
meergezins: laag en midden;2011 - 2014;G;0
meergezins: laag en midden;2011 - 2014;N;0.976405325
meergezins: laag en midden;2015 - 2020;A;1
meergezins: laag en midden;2015 - 2020;B;0.978455871
meergezins: laag en midden;2015 - 2020;C;0
meergezins: laag en midden;2015 - 2020;D;0
meergezins: laag en midden;2015 - 2020;E;0
meergezins: laag en midden;2015 - 2020;F;0
meergezins: laag en midden;2015 - 2020;G;0
meergezins: laag en midden;2015 - 2020;N;1.108067788
meergezins: laag en midden;2021 - 2030;A;1
meergezins: laag en midden;2021 - 2030;B;0
meergezins: laag en midden;2021 - 2030;C;0
meergezins: laag en midden;2021 - 2030;D;0
meergezins: laag en midden;2021 - 2030;E;0
meergezins: laag en midden;2021 - 2030;F;0
meergezins: laag en midden;2021 - 2030;G;0
meergezins: laag en midden;2021 - 2030;N;0
meergezins: laag en midden;2031 - 2040;A;1
meergezins: laag en midden;2031 - 2040;B;0
meergezins: laag en midden;2031 - 2040;C;0
meergezins: laag en midden;2031 - 2040;D;0
meergezins: laag en midden;2031 - 2040;E;0
meergezins: laag en midden;2031 - 2040;F;0
meergezins: laag en midden;2031 - 2040;G;0
meergezins: laag en midden;2031 - 2040;N;0
meergezins: laag en midden;2041 - 2050;A;1
meergezins: laag en midden;2041 - 2050;B;0
meergezins: laag en midden;2041 - 2050;C;0
meergezins: laag en midden;2041 - 2050;D;0
meergezins: laag en midden;2041 - 2050;E;0
meergezins: laag en midden;2041 - 2050;F;0
meergezins: laag en midden;2041 - 2050;G;0
meergezins: laag en midden;2041 - 2050;N;0
meergezins: hoog;voor 1930;A;1
meergezins: hoog;voor 1930;B;1.085447132
meergezins: hoog;voor 1930;C;1.133588567
meergezins: hoog;voor 1930;D;1.208577876
meergezins: hoog;voor 1930;E;1.242030497
meergezins: hoog;voor 1930;F;1.26617211
meergezins: hoog;voor 1930;G;1.264761613
meergezins: hoog;voor 1930;N;1.304139232
meergezins: hoog;1930 - 1945;A;1
meergezins: hoog;1930 - 1945;B;1.220805918
meergezins: hoog;1930 - 1945;C;1.308323517
meergezins: hoog;1930 - 1945;D;1.353313551
meergezins: hoog;1930 - 1945;E;1.469860864
meergezins: hoog;1930 - 1945;F;1.509995425
meergezins: hoog;1930 - 1945;G;1.491907872
meergezins: hoog;1930 - 1945;N;1.481082948
meergezins: hoog;1946 - 1964;A;1
meergezins: hoog;1946 - 1964;B;1.037991133
meergezins: hoog;1946 - 1964;C;1.154541576
meergezins: hoog;1946 - 1964;D;1.262231459
meergezins: hoog;1946 - 1964;E;1.285902706
meergezins: hoog;1946 - 1964;F;1.324863021
meergezins: hoog;1946 - 1964;G;1.29693114
meergezins: hoog;1946 - 1964;N;1.303153771
meergezins: hoog;1965 - 1974;A;1
meergezins: hoog;1965 - 1974;B;1.183068765
meergezins: hoog;1965 - 1974;C;1.240061239
meergezins: hoog;1965 - 1974;D;1.310431482
meergezins: hoog;1965 - 1974;E;1.544862482
meergezins: hoog;1965 - 1974;F;1.510906725
meergezins: hoog;1965 - 1974;G;1.625334806
meergezins: hoog;1965 - 1974;N;1.368770898
meergezins: hoog;1975 - 1991;A;1
meergezins: hoog;1975 - 1991;B;1.049812755
meergezins: hoog;1975 - 1991;C;1.110439154
meergezins: hoog;1975 - 1991;D;1.313481296
meergezins: hoog;1975 - 1991;E;1.353481084
meergezins: hoog;1975 - 1991;F;0
meergezins: hoog;1975 - 1991;G;0
meergezins: hoog;1975 - 1991;N;1.161628725
meergezins: hoog;1992 - 1995;A;1
meergezins: hoog;1992 - 1995;B;1.051513291
meergezins: hoog;1992 - 1995;C;1.054877025
meergezins: hoog;1992 - 1995;D;1.125631247
meergezins: hoog;1992 - 1995;E;0
meergezins: hoog;1992 - 1995;F;0
meergezins: hoog;1992 - 1995;G;0
meergezins: hoog;1992 - 1995;N;1.089394694
meergezins: hoog;1996 - 1999;A;1
meergezins: hoog;1996 - 1999;B;1.010481667
meergezins: hoog;1996 - 1999;C;1.029839429
meergezins: hoog;1996 - 1999;D;0
meergezins: hoog;1996 - 1999;E;0
meergezins: hoog;1996 - 1999;F;0
meergezins: hoog;1996 - 1999;G;0
meergezins: hoog;1996 - 1999;N;1.003884306
meergezins: hoog;2000 - 2005;A;1
meergezins: hoog;2000 - 2005;B;1.048527698
meergezins: hoog;2000 - 2005;C;1.128581933
meergezins: hoog;2000 - 2005;D;0
meergezins: hoog;2000 - 2005;E;0
meergezins: hoog;2000 - 2005;F;0
meergezins: hoog;2000 - 2005;G;0
meergezins: hoog;2000 - 2005;N;0.916531053
meergezins: hoog;2006 - 2010;A;1
meergezins: hoog;2006 - 2010;B;1.115179615
meergezins: hoog;2006 - 2010;C;1.399435951
meergezins: hoog;2006 - 2010;D;1.736180242
meergezins: hoog;2006 - 2010;E;0
meergezins: hoog;2006 - 2010;F;0
meergezins: hoog;2006 - 2010;G;0
meergezins: hoog;2006 - 2010;N;0.92860172
meergezins: hoog;2011 - 2014;A;1
meergezins: hoog;2011 - 2014;B;0.999277488
meergezins: hoog;2011 - 2014;C;0
meergezins: hoog;2011 - 2014;D;0
meergezins: hoog;2011 - 2014;E;0
meergezins: hoog;2011 - 2014;F;0
meergezins: hoog;2011 - 2014;G;0
meergezins: hoog;2011 - 2014;N;0.944100375
meergezins: hoog;2015 - 2020;A;1
meergezins: hoog;2015 - 2020;B;1.025051487
meergezins: hoog;2015 - 2020;C;1.085806525
meergezins: hoog;2015 - 2020;D;0
meergezins: hoog;2015 - 2020;E;0
meergezins: hoog;2015 - 2020;F;0
meergezins: hoog;2015 - 2020;G;0
meergezins: hoog;2015 - 2020;N;0.845778069
meergezins: hoog;2021 - 2030;A;1
meergezins: hoog;2021 - 2030;B;0
meergezins: hoog;2021 - 2030;C;0
meergezins: hoog;2021 - 2030;D;0
meergezins: hoog;2021 - 2030;E;0
meergezins: hoog;2021 - 2030;F;0
meergezins: hoog;2021 - 2030;G;0
meergezins: hoog;2021 - 2030;N;0
meergezins: hoog;2031 - 2040;A;1
meergezins: hoog;2031 - 2040;B;0
meergezins: hoog;2031 - 2040;C;0
meergezins: hoog;2031 - 2040;D;0
meergezins: hoog;2031 - 2040;E;0
meergezins: hoog;2031 - 2040;F;0
meergezins: hoog;2031 - 2040;G;0
meergezins: hoog;2031 - 2040;N;0
meergezins: hoog;2041 - 2050;A;1
meergezins: hoog;2041 - 2050;B;0
meergezins: hoog;2041 - 2050;C;0
meergezins: hoog;2041 - 2050;D;0
meergezins: hoog;2041 - 2050;E;0
meergezins: hoog;2041 - 2050;F;0
meergezins: hoog;2041 - 2050;G;0
meergezins: hoog;2041 - 2050;N;0
