"onderwerp";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"2027";"2028";"2029";"2030";"2031";"2032";"2033";"2034";"2035";"2036";"2037";"2038";"2039";"2040";"2041";"2042";"2043";"2044";"2045";"2046";"2047";"2048";"2049";"2050"
"Ventilatie";0,296727042846098;0,320267701873516;0,343808360900934;0,367349019928352;0,390889678955771;0,414430337983189;0,4379709970106;0,461511656038018;0,485052315065436;0,508592974092854;0,532133633120272;0,55567429214769;0,579214951175108;0,602755610202526;0,626296269229944;0,649836928257362;0,67337758728478;0,696918246312199;0,720458905339617;0,743999564367035;0,767540223394453;0,791080882421871;0,814621541449289;0,838162200476707;0,861702859504125;0,885243518531543;0,908784177558961;0,932324836586379;0,955865495613798;0,979406154641216;1,00294681366863;1,02648747269605;1,05002813172347;1,07356879075089;1,0971094497783;1,12065010880572;1,14419076783314;1,16773142686055;1,19127208588797;1,21481274491539;1,23835340394281;1,26189406297023;1,28543472199764;1,30897538102506;1,33251604005248;1,3560566990799;1,37959735810732;1,40313801713473;1,42667867616215;1,45021933518957;1,47375999421699
"WKK";1,31305316031696;1,27191069367923;1,23076822704151;1,18962576040379;1,14848329376606;1,10734082712834;1,06619836049062;1,0250558938529;0,983913427215173;0,94277096057745;0,901099106518669;0,822877851721787;0,76737898821972;0,724330725287627;0,689157733422839;0,659419392532939;0,633658869920772;0,610936478625957;0,590610606988679;0,572223619526315;0,55543761512389;0,539995987949663;0,525699274233991;0,512389352191797;0,499938751621823;0,488243210143066;0,477216360327008;0,466785855194583;0,45689048868973;0,447478019437109;0,438503501227367;0,429927984921051;0,421717496824942;0,413842225757637;0,406275869650715;0,398995105530127;0,391979155935042;0,385209431455115;0,378669233892849;0,37234350811647;0,366218633322875;0,360282246430485;0,354523091844118;0,348930893002949;0,34349624202806;0,338210504492859;0,333065736895635;0,328054614853833;0,323170370390782;0,318406736967319;0,313757901138161
"Zonneboiler";0,807226756685106;0,802163077404341;0,797099398123578;0,792035718842815;0,786972039562052;0,781908360281289;0,776844681000524;0,771781001719761;0,766717322438998;0,761653643158235;0,756589963877472;0,751526284596709;0,746462605315944;0,741398926035181;0,736335246754418;0,731271567473655;0,726207888192892;0,721144208912129;0,716080529631365;0,711016850350602;0,705953171069839;0,700889491789076;0,695825812508313;0,690762133227548;0,685698453946785;0,680634774666022;0,675571095385259;0,670507416104496;0,665443736823733;0,660380057542968;0,655316378262205;0,650252698981442;0,645189019700679;0,640125340419916;0,635061661139151;0,629997981858388;0,624934302577625;0,619870623296862;0,614806944016099;0,609743264735336;0,604679585454571;0,599615906173808;0,594552226893045;0,589488547612282;0,584424868331519;0,579361189050756;0,574297509769991;0,569233830489228;0,564170151208465;0,559106471927702;0,554042792646939
"PV cellen";1,10812585523795;1,05979270154539;1,01145954785282;0,963126394160251;0,914793240467669;0,866460086775102;0,818126933082534;0,769793779389967;0,721460625697399;0,673127472004831;0,641693458711736;0,540168192587242;0,468134869914453;0,412261484071604;0,366609603789959;0,328011488983595;0,29457628111717;0,265084337665466;0,238702895274321;0,214837977737629;0,193051014992676;0,173008952099035;0,154452900186311;0,137177629149828;0,121017692319887;0,105837765020277;0,0915257488681827;0,0779877429625987;0,0651443064770383;0,052927634061818;0,0412793889403459;0,0301490180786864;0,0194924261953931;0,00927092063418986;-0,000549636698247952;-0,0099995172563109;-0,0191056886109714;-0,0278922784093433;-0,0363809596474553;-0,0445912727464336;-0,0525408964773963;-0,0602458771841477;-0,0677208237770061;-0,0749790744538198;-0,0820328399291003;-0,0888933270347982;-0,0955708458346844;-0,102074902822741;-0,108414282320245;-0,114597117820551;-0,120630954735465
"warmtepomp";0,68313072330676;0,676448729928098;0,669766736549435;0,663084743170774;0,656402749792112;0,649720756413449;0,643038763034787;0,636356769656126;0,629674776277463;0,622992782898801;0,616310789520138;0,609628796141476;0,602946802762815;0,596264809384152;0,58958281600549;0,582900822626829;0,576218829248165;0,569536835869504;0,562854842490841;0,556172849112179;0,549490855733518;0,542808862354854;0,536126868976193;0,529444875597531;0,522762882218868;0,516080888840207;0,509398895461543;0,502716902082882;0,49603490870422;0,489352915325557;0,482670921946896;0,475988928568232;0,469306935189571;0,462624941810909;0,455942948432246;0,449260955053585;0,442578961674923;0,43589696829626;0,429214974917598;0,422532981538935;0,415850988160274;0,409168994781612;0,402487001402949;0,395805008024287;0,389123014645626;0,382441021266963;0,375759027888301;0,369077034509638;0,362395041130976;0,355713047752315;0,349031054373652
"isolatie";0,579491388366191;0,594739157838053;0,609986927309916;0,625234696781775;0,640482466253638;0,6557302357255;0,670978005197363;0,686225774669222;0,701473544141085;0,716721313612948;0,73196908308481;0,747216852556669;0,762464622028532;0,777712391500395;0,792960160972258;0,808207930444117;0,823455699915979;0,838703469387842;0,853951238859705;0,869199008331564;0,884446777803427;0,899694547275289;0,914942316747152;0,930190086219011;0,945437855690874;0,960685625162736;0,975933394634599;0,991181164106458;1,00642893357832;1,02167670305018;1,03692447252205;1,05217224199391;1,06742001146577;1,08266778093763;1,09791555040949;1,11316331988135;1,12841108935322;1,14365885882508;1,15890662829694;1,1741543977688;1,18940216724066;1,20464993671253;1,21989770618439;1,23514547565625;1,25039324512811;1,26564101459997;1,28088878407184;1,29613655354369;1,31138432301556;1,32663209248742;1,34187986195928
"Default";0,846018127787401;0,845683808209747;0,845349488632094;0,84501516905444;0,844680849476786;0,844346529899133;0,844012210321479;0,843677890743825;0,843343571166172;0,843009251588518;0,842674932010865;0,842340612433211;0,842006292855557;0,841671973277904;0,84133765370025;0,841003334122596;0,840669014544943;0,840334694967289;0,840000375389636;0,839666055811982;0,839331736234328;0,838997416656675;0,838663097079021;0,838328777501367;0,837994457923714;0,83766013834606;0,837325818768407;0,836991499190753;0,836657179613099;0,836322860035446;0,835988540457792;0,835654220880138;0,835319901302485;0,834985581724831;0,834651262147177;0,834316942569524;0,83398262299187;0,833648303414216;0,833313983836563;0,832979664258909;0,832645344681256;0,832311025103602;0,831976705525948;0,831642385948295;0,831308066370641;0,830973746792987;0,830639427215334;0,83030510763768;0,829970788060027;0,829636468482373;0,829302148904719
