'BU_CODE';'V01_Strategievariant'
'BU00340902';'s1b'
'BU00341001';'s1b'
'BU00341002';'s1b'
'BU00341003';'s1b'
'BU00341101';'s1b'
'BU00341102';'s1b'
'BU00341401';'s1b'
'BU00341501';'s1b'
'BU00341601';''
'BU00341602';'s1b'
'BU00341701';''
'BU00341702';'s1b'
'BU00341703';'s1b'
'BU00341704';'s1b'
'BU00341705';'s1b'
'BU00341801';'s1b'
'BU00341802';'s1b'
'BU00341803';''
'BU00341804';'s1b'
'BU00341805';''
'BU00341806';''
'BU00341807';''
'BU00341808';'s1b'
'BU00341901';''
'BU00341902';'s1b'
'BU00341903';''
'BU00341904';''
'BU00342001';''
'BU00342002';''
'BU00342003';''
'BU00342004';'s1b'
'BU00342005';''
'BU00342101';''
'BU00342102';'s1b'
'BU00342103';'s1b'
'BU00342201';''
'BU00342202';''
'BU00342203';'s1b'
'BU00342204';'s1b'
'BU00342205';'s1b'
'BU00342206';'s1b'
'BU00342301';'s1b'
'BU00342302';'s1b'
'BU00342303';'s1b'
'BU00342304';'s1b'
'BU00342401';'s1b'
'BU00342402';'s1b'
'BU00342403';'s1b'
'BU00342404';'s1b'
'BU00342405';'s1b'
'BU00342406';'s1b'
'BU00342407';'s1b'
'BU00342408';''
'BU00342501';''
'BU00342502';''
'BU00342503';'s1b'
'BU00342601';''
'BU00342602';''
'BU00342603';''
'BU00342604';''
'BU00342605';''
'BU00342606';'s1b'
'BU00342607';'s1b'
'BU00342608';'s1b'
'BU00342609';'s1b'
'BU00342701';''
'BU00342702';'s1b'
'BU00342703';'s1b'
'BU00342704';'s1b'
'BU00342705';'s1b'
'BU00342706';'s1b'
'BU00342707';'s1b'
'BU00342708';''
'BU00342801';'s1b'
'BU00342802';''
'BU00342803';''
'BU00342804';''
'BU00342805';''
'BU00342806';'s1b'
'BU00342807';'s1b'
'BU00342808';'s1b'
'BU00342809';'s1b'
'BU00342810';'s1b'
'BU00342901';'s1b'
'BU00342902';'s1b'
'BU00342903';'s1b'
'BU00342904';'s1b'
'BU00343001';'s1b'
'BU00343002';''
'BU00343003';''
'BU00343004';'s1b'
'BU00343005';'s1b'
'BU00343006';'s1b'
'BU00343007';'s1b'
'BU00343101';'s1b'
'BU00343102';'s1b'
'BU00343103';'s1b'
'BU00343104';'s1b'
'BU00343105';'s1b'
'BU00343201';'s1b'
'BU00343401';'s1b'
'BU00343402';'s1b'
'BU00343403';'s1b'
'BU00343501';'s1b'
'BU00343502';'s1b'
'BU00343601';'s1b'
'BU00343701';''
'BU00343702';'s1b'
'BU00343801';'s1b'
'BU00343802';'s1b'
'BU00343901';'s1b'
'BU00343902';'s1b'
'BU00343903';'s1b'
'BU00344001';''
'BU00344002';'s1b'
'BU00344003';''
'BU00344101';'s1b'
'BU00344102';'s1b'
'BU00344201';'s1b'
'BU00344202';'s1b'
'BU00344203';'s1b'
'BU00344204';''
'BU00344301';'s1b'
'BU00344302';'s1b'
'BU00344303';'s1b'
'BU00344304';'s1b'
'BU00344401';'s1b'
'BU00344402';'s1b'
'BU00344403';'s1b'
'BU00344501';'s1b'
'BU00344502';'s1b'
'BU00344503';'s1b'
'BU00344504';'s1b'
'BU00344505';'s1b'
'BU00344601';'s1b'
'BU00344602';'s1b'
'BU00344603';'s1b'
'BU00344701';'s1b'
'BU00344702';'s1b'
'BU00344703';'s1b'
'BU00344704';'s1b'
'BU00344801';'s1b'
'BU00344802';'s1b'
'BU00344803';'s1b'
'BU00344804';'s1b'
'BU00344901';'s1b'
'BU00344902';'s1b'
'BU00344903';'s1b'
'BU00344904';''
'BU00345001';'s1b'
'BU00345002';'s1b'
'BU00345101';'s1b'
'BU00345102';'s1b'
'BU00345103';'s1b'
'BU00345104';'s1b'
'BU00345105';'s1b'
'BU00345201';'s1b'
'BU00345202';'s1b'
'BU00345203';'s1b'
'BU00345204';'s1b'
'BU00345205';'s1b'
'BU00345206';'s1b'
'BU00345207';'s1b'
'BU00345301';'s1b'
'BU00345302';''
'BU00345601';'s1b'
'BU00345602';'s1b'
'BU00345701';'s1b'
'BU00345702';'s1b'
'BU00345801';'s1b'
'BU00345901';'s1b'
'BU00345902';'s1b'
'BU00346001';'s1b'
'BU00346101';'s1b'
'BU00346102';'s1b'
'BU00346103';'s1b'
'BU00346201';'s1b'
'BU00346202';'s1b'
'BU00346301';'s1b'
'BU00346302';'s1b'
'BU00346303';'s1b'
'BU00346304';'s1b'
'BU00346401';'s1b'
'BU00346501';'s1b'
'BU00346601';''
'BU00346602';'s1b'
'BU00347101';'s1b'
'BU00347201';'s1b'
'BU00347301';'s1b'
'BU00347401';''
'BU00347402';'s1b'
'BU00347501';'s1b'
'BU00347502';'s1b'
'BU00347503';'s1b'
'BU00347504';''
'BU00347601';'s1b'
'BU00347602';''
'BU00347603';'s1b'
'BU00347604';'s1b'
'BU00347701';'s1b'
'BU00347702';'s1b'
'BU00347703';''
'BU00347901';'s1b'
'BU00348501';'s1b'
'BU00348502';'s1b'
'BU00349615';'s1b'
'BU00370100';'s1b'
'BU00370101';'s1b'
'BU00370102';'s1b'
'BU00370103';'s1b'
'BU00370104';'s1b'
'BU00370105';'s1b'
'BU00370106';'s1b'
'BU00370107';'s1b'
'BU00370108';'s1b'
'BU00370109';'s1b'
'BU00370110';'s1b'
'BU00370111';'s1b'
'BU00370112';'s1b'
'BU00370200';'s1b'
'BU00370201';'s1b'
'BU00370202';'s1b'
'BU00370203';'s1b'
'BU00370300';'s1b'
'BU00370301';'s1b'
'BU00370308';'s1b'
'BU00370309';'s1b'
'BU00370400';'s1b'
'BU00370401';'s1b'
'BU00370402';'s1b'
'BU00370409';'s1b'
'BU00370500';'s1b'
'BU00370509';'s1b'
'BU00470000';'s1b'
'BU00470001';'s1b'
'BU00470002';'s1b'
'BU00470003';'s1b'
'BU00470004';'s1b'
'BU00470005';'s1b'
'BU00470006';'s1b'
'BU00470007';'s1b'
'BU00470100';'s1b'
'BU00470101';'s1b'
'BU00470102';'s1b'
'BU00470109';'s1b'
'BU00470200';'s1b'
'BU00470201';'s1b'
'BU00470202';'s1b'
'BU00470203';'s1b'
'BU00470209';'s1b'
'BU00500000';'s1b'
'BU00500001';'s1b'
'BU00500002';'s1b'
'BU00500003';'s1b'
'BU00500004';'s1b'
'BU00500005';'s1b'
'BU00500006';'s1b'
'BU00500007';'s1b'
'BU00500008';'s1b'
'BU00500009';'s1b'
'BU00500010';'s1b'
'BU00590000';'s1b'
'BU00590001';'s1b'
'BU00590002';'s1b'
'BU00590003';'s1b'
'BU00590004';'s1b'
'BU00590005';'s1b'
'BU00590006';'s1b'
'BU00590007';'s1b'
'BU00590008';'s1b'
'BU00590009';'s1b'
'BU00590100';'s1b'
'BU00590102';'s1b'
'BU00590103';'s1b'
'BU00590107';'s1b'
'BU00590108';'s1b'
'BU00590109';'s1b'
'BU00590200';'s1b'
'BU00590201';'s1b'
'BU00590202';'s1b'
'BU00590203';'s1b'
'BU00590206';'s1b'
'BU00590207';'s1b'
'BU00590208';'s1b'
'BU00590209';'s1b'
'BU00600000';''
'BU00600001';''
'BU00600002';''
'BU00600003';''
'BU00600007';''
'BU00600008';''
'BU00600009';''
'BU00720001';'s1b'
'BU00720002';'s1b'
'BU00720003';'s1b'
'BU00720004';'s1b'
'BU00720005';'s1b'
'BU00720006';'s1b'
'BU00720007';'s1b'
'BU00720009';'s1b'
'BU00720100';'s1b'
'BU00720109';'s1b'
'BU00720200';'s1b'
'BU00720209';'s1b'
'BU00740100';'s1b'
'BU00740101';'s1b'
'BU00740102';'s1b'
'BU00740103';'s1b'
'BU00740104';'s1b'
'BU00740105';'s1b'
'BU00740106';'s1b'
'BU00740107';'s1b'
'BU00740108';'s1b'
'BU00740109';'s1b'
'BU00740110';'s1b'
'BU00740201';'s1b'
'BU00740202';'s1b'
'BU00740203';'s1b'
'BU00740204';'s1b'
'BU00740205';'s1b'
'BU00740301';'s1b'
'BU00740302';'s1b'
'BU00740401';'s1b'
'BU00740402';'s1b'
'BU00740403';'s1b'
'BU00740404';'s1b'
'BU00740405';'s1b'
'BU00740406';'s1b'
'BU00740407';'s1b'
'BU00740601';'s1b'
'BU00740701';'s1b'
'BU00740702';'s1b'
'BU00740901';'s1b'
'BU00740902';'s1b'
'BU00740903';'s1b'
'BU00801001';'s1b'
'BU00801002';'s1b'
'BU00801003';'s1b'
'BU00801004';'s1b'
'BU00801005';'s1b'
'BU00801006';'s1b'
'BU00801007';'s1b'
'BU00801008';'s1b'
'BU00801101';'s1b'
'BU00801102';'s1b'
'BU00801103';'s1b'
'BU00801104';'s1b'
'BU00801105';'s1b'
'BU00801106';'s1b'
'BU00801107';'s1b'
'BU00801108';'s1b'
'BU00801109';'s1b'
'BU00802001';'s1b'
'BU00802002';'s1b'
'BU00802003';'s1b'
'BU00802004';'s1b'
'BU00802005';'s1b'
'BU00802006';'s1b'
'BU00802007';'s1b'
'BU00802008';'s1b'
'BU00802009';'s1b'
'BU00803001';'s1b'
'BU00803002';'s1b'
'BU00803003';'s1b'
'BU00803004';'s1b'
'BU00803005';'s1b'
'BU00803006';'s1b'
'BU00803007';'s1b'
'BU00803101';'s1b'
'BU00803102';'s1b'
'BU00803201';'s1b'
'BU00803202';'s1b'
'BU00803203';'s1b'
'BU00804001';'s1b'
'BU00804002';'s1b'
'BU00804003';'s1b'
'BU00804004';'s1b'
'BU00804101';'s1b'
'BU00804102';'s1b'
'BU00804103';'s1b'
'BU00804104';'s1b'
'BU00804105';'s1b'
'BU00804106';'s1b'
'BU00804107';'s1b'
'BU00804108';'s1b'
'BU00804109';'s1b'
'BU00804110';'s1b'
'BU00805001';'s1b'
'BU00805002';'s1b'
'BU00805003';'s1b'
'BU00805101';'s1b'
'BU00805102';'s1b'
'BU00805103';'s1b'
'BU00805104';'s1b'
'BU00805105';'s1b'
'BU00806001';'s1b'
'BU00806002';'s1b'
'BU00806003';'s1b'
'BU00806101';'s1b'
'BU00806102';'s1b'
'BU00806201';'s1b'
'BU00806202';'s1b'
'BU00806203';'s1b'
'BU00806204';'s1b'
'BU00806205';'s1b'
'BU00806206';'s1b'
'BU00806207';'s1b'
'BU00806208';'s1b'
'BU00806209';'s1b'
'BU00806210';'s1b'
'BU00806301';'s1b'
'BU00806302';'s1b'
'BU00806303';'s1b'
'BU00806304';'s1b'
'BU00806305';'s1b'
'BU00806306';'s1b'
'BU00806307';'s1b'
'BU00807001';'s1b'
'BU00807002';'s1b'
'BU00807003';'s1b'
'BU00807004';'s1b'
'BU00807101';'s1b'
'BU00807201';'s1b'
'BU00807202';'s1b'
'BU00807203';'s1b'
'BU00807301';'s1b'
'BU00807302';'s1b'
'BU00807303';'s1b'
'BU00807304';'s1b'
'BU00807305';'s1b'
'BU00807401';'s1b'
'BU00807402';'s1b'
'BU00807403';'s1b'
'BU00807404';'s1b'
'BU00807405';'s1b'
'BU00808001';'s1b'
'BU00808002';'s1b'
'BU00808003';'s1b'
'BU00808004';'s1b'
'BU00808005';'s1b'
'BU00808006';'s1b'
'BU00808007';'s1b'
'BU00808008';'s1b'
'BU00808101';'s1b'
'BU00808102';'s1b'
'BU00808103';'s1b'
'BU00808104';'s1b'
'BU00808105';'s1b'
'BU00808106';'s1b'
'BU00808107';'s1b'
'BU00808108';'s1b'
'BU00808109';'s1b'
'BU00808110';'s1b'
'BU00808111';'s1b'
'BU00808112';'s1b'
'BU00808113';'s1b'
'BU00808114';'s1b'
'BU00808115';'s1b'
'BU00808116';'s1b'
'BU00808117';'s1b'
'BU00808201';'s1b'
'BU00808202';'s1b'
'BU00808203';'s1b'
'BU00808204';'s1b'
'BU00808205';'s1b'
'BU00808206';'s1b'
'BU00808207';'s1b'
'BU00808208';'s1b'
'BU00808209';'s1b'
'BU00850101';'s1b'
'BU00850102';'s1b'
'BU00850103';'s1b'
'BU00850104';'s1b'
'BU00850105';'s1b'
'BU00850106';'s1b'
'BU00850107';'s1b'
'BU00850108';'s1b'
'BU00850109';'s1b'
'BU00850110';'s1b'
'BU00850111';'s1b'
'BU00850201';'s1b'
'BU00850202';'s1b'
