Jaar;P_CO2;RAT_CO2_KWH;P_CO2_KWH;KG_PC_COM_EXCL_CO2;KG_PC_CO2;KG_PC_DIS;KG_PC_TRANS;KG_PC_NET;KG_PC_SDE;KG_PC_BEL_EL;KG_PC_BTW;KG_P;KMG_PC_COM_EXCL_CO2;KMG_PC_CO2;KMG_PC_DIS;KMG_PC_TRANS;KMG_PC_NET;KMG_PC_SDE;KMG_PC_BEL_EL;KMG_PC_BTW;KMG_P;MMG_PC_COM_EXCL_CO2;MMG_PC_CO2;MMG_PC_DIS;MMG_PC_TRANS;MMG_PC_NET;MMG_PC_SDE;MMG_PC_BEL_EL;MMG_PC_BTW;MMG_P;GG_PC_COM_EXCL_CO2;GG_PC_CO2;GG_PC_DIS;GG_PC_TRANS;GG_PC_NET;GG_PC_SDE;GG_PC_BEL_EL;GG_PC_BTW;GG_P
2010;16,26;0,46;0,007;0,082;0,007;0,002;0;0,002;0;0,125;0,041;0,257;0,066;0,007;0,023;0;0,023;0;0,045;0;0,142;0,071;0,007;0,036;0;0,036;0;0,012;0;0,127;0,061;0,007;0,002;0;0,002;0;0,001;0;0,071
2011;14,44;0,442;0,006;0,083;0,006;0,001;0;0,001;0;0,122;0,04;0,253;0,067;0,006;0,024;0;0,024;0;0,044;0;0,142;0,072;0,006;0,037;0;0,037;0;0,012;0;0,127;0,062;0,006;0,001;0;0,001;0;0,001;0;0,07
2012;7,94;0,472;0,004;0,082;0,004;0,001;0;0,001;0;0,121;0,044;0,252;0,067;0,004;0,026;0;0,026;0;0,044;0;0,14;0,072;0,004;0,04;0;0,04;0;0,012;0;0,128;0,062;0,004;0,001;0;0,001;0;0,001;0;0,068
2013;4,8;0,481;0,002;0,082;0,002;0,001;0;0,001;0,001;0,122;0,044;0,253;0,067;0,002;0,026;0;0,026;0,001;0,044;0;0,141;0,072;0,002;0,042;0;0,042;0;0,012;0;0,128;0,063;0,002;0,001;0;0,001;0;0,001;0;0,067
2014;6,28;0,503;0,003;0,068;0,003;0,001;0;0,001;0,002;0,123;0,042;0,239;0,055;0,003;0,024;0;0,024;0,002;0,045;0;0,129;0,059;0,003;0,038;0;0,038;0,001;0,012;0;0,113;0,051;0,003;0,001;0;0,001;0;0,001;0;0,056
2015;8,26;0,529;0,004;0,063;0,004;0,001;0;0,001;0,004;0,124;0,041;0,238;0,051;0,004;0,023;0;0,023;0,003;0,047;0;0,128;0,054;0,004;0,037;0;0,037;0,001;0,013;0;0,11;0,047;0,004;0,001;0;0,001;0;0,001;0;0,053
2016;5,79;0,495;0,003;0,053;0,003;0,001;0;0,001;0,006;0,104;0,035;0,203;0,043;0,003;0,023;0;0,023;0,004;0,044;0;0,117;0,046;0,003;0,036;0;0,036;0,002;0,014;0;0,101;0,04;0,003;0,001;0;0,001;0;0,001;0;0,045
2017;5,88;0,453;0,003;0,053;0,003;0,001;0;0,001;0,008;0,103;0,035;0,202;0,043;0,003;0,024;0;0,024;0,007;0,043;0;0,119;0,046;0,003;0,037;0;0,037;0,003;0,013;0;0,102;0,04;0,003;0,001;0;0,001;0;0,001;0;0,044
2018;15,65;0,405;0,006;0,048;0,006;0,001;0;0,001;0,013;0,105;0,036;0,209;0,038;0,006;0,025;0;0,025;0,01;0,044;0;0,124;0,041;0,006;0,039;0;0,039;0,005;0,014;0;0,105;0,035;0,006;0,001;0;0,001;0;0,001;0;0,043
2019;21,64;0,341;0,007;0,059;0,007;0,001;0;0,001;0,018;0,096;0,038;0,221;0,047;0,007;0,022;0;0,022;0,015;0,042;0;0,133;0,049;0,007;0,033;0;0,033;0,007;0,014;0;0,11;0,042;0,007;0,001;0;0,001;0;0,001;0;0,051
