"type_str"	"bouwjaar_str"	"Default_label"	"Vrv_N_asl"	"Vrv_N_opp"	"Vrv_G_asl"	"Vrv_G_opp"	"Vrv_F_asl"	"Vrv_F_opp"	"Vrv_E_asl"	"Vrv_E_opp"	"Vrv_D_asl"	"Vrv_D_opp"	"Vrv_C_asl"	"Vrv_C_opp"	"Vrv_B_asl"	"Vrv_B_opp"	"Vrv_A_asl"	"Vrv_A_opp"	"Vvt_asl"	"Vvt_opp"	"Vtw_asl"	"Vtw_opp"	"Vea_asl"	"Vea_opp"	"Vkd_asl"	"Vkd_opp"	"Vkk_asl"	"Vkk_opp"
"vrijstaand"	"voor 1930"	"F"	38.34044263	0.157709772	31.76777575	0.179139405	29.23456039	0.204505791	29.09762983	0.196940378	26.29055335	0.186020166	26.15362279	0.163974346	25.73366752	0.137921799	27.45446311	0.129810171	0	0.006621277	8.5	0	9.7	0	0	0.01296	1.3	0
"vrijstaand"	"1930 - 1945"	"F"	42.41412679	0.148638123	34.36945639	0.178797079	31.39121671	0.195057583	26.25632071	0.221382483	28.72107079	0.178797079	33.95866471	0.127003094	31.06111899	0.1080133	29.74804999	0.131213709	0	0.006621277	8.5	0	9.7	0	0	0.01296	1.3	0
"vrijstaand"	"1946 - 1964"	"F"	39.74398087	0.161269967	30.26153959	0.177564704	33.37670983	0.182151877	28.51567495	0.211318087	25.67436583	0.189956919	24.98971303	0.172053249	16.63649893	0.188423547	31.69931047	0.11604865	0	0.009176184	8.5	0	9.7	0	0	0.01296	1.3	0
"vrijstaand"	"1965 - 1974"	"D"	31.84589732	0.192421669	16.64660516	0.269308179	33.42059876	0.180440245	35.71418564	0.176263863	26.9506298	0.204950816	21.40494212	0.199405128	16.58297762	0.17761287	18.49516772	0.183281555	0	0.009750179	9.2	0	9.56	0	0	0.01296	1.3	0
"vrijstaand"	"1975 - 1991"	"C"	32.22446332	0.15223255	16.64660516	0.269308179	35.95582108	0.155176557	20.37996988	0.232610789	27.8426854	0.184582395	24.17979292	0.181330294	11.8804464	0.177332478	19.90071292	0.155381953	0	0.008885914	9.7	0	9.46	0	0	0.01296	1.3	0
"vrijstaand"	"1992 - 1995"	"B"	30.56436956	0.120430428	16.64660516	0.269308179	35.95582108	0.155176557	20.37996988	0.232610789	27.8426854	0.184582395	19.78108796	0.153054133	13.54739442	0.164278664	19.16490044	0.135287393	0	0	10.6	0	9.28	0	0	0.01296	1.3	0
"vrijstaand"	"1996 - 1999"	"B"	29.09236604	0.108449004	16.64660516	0.269308179	35.95582108	0.155176557	20.37996988	0.232610789	27.8426854	0.184582395	15.63893852	0.165891373	11.2107929	0.153592607	18.1036886	0.131384872	0	0	10.6	0	9.28	0	0	0.01296	1.3	0
"vrijstaand"	"2000 - 2005"	"B"	31.04362652	0.097939583	16.64660516	0.269308179	35.95582108	0.155176557	20.37996988	0.232610789	27.8426854	0.184582395	15.63893852	0.165891373	12.33236163	0.149511343	18.03522332	0.13018673	0	0	10.6	0	9.28	0	0	0.01296	1.3	0
"vrijstaand"	"2006 - 2010"	"A"	35.18577596	0.068841839	16.64660516	0.269308179	35.95582108	0.155176557	20.37996988	0.232610789	27.8426854	0.184582395	15.63893852	0.165891373	12.33236163	0.149511343	17.65866428	0.121970896	0	0	10.6	0	9.28	0	0	0.01296	1.3	0
"vrijstaand"	"2011 - 2014"	"A"	24.98444924	0.088936399	16.64660516	0.269308179	35.95582108	0.155176557	20.37996988	0.232610789	27.8426854	0.184582395	15.63893852	0.165891373	12.33236163	0.149511343	10.70943836	0.135698185	0	0	10.6	0	9.28	0	0	0.01296	1.3	0
"vrijstaand"	"2015 - 2020"	"A"	13.44804956	0.102595222	16.64660516	0.269308179	35.95582108	0.155176557	20.37996988	0.232610789	27.8426854	0.184582395	15.63893852	0.165891373	12.33236163	0.149511343	1.329695004	0.126318442	0	0	10.6	0	9.28	0	0	0.01296	1.3	0
"vrijstaand"	"2021 - 2030"	"A"	30.96	0	30.96	0	30.96	0	30.96	0	30.96	0	30.96	0	30.96	0	30.96	0	0	0	7.066666667	0	11.082384	0	0	0.01296	1.3	0
"vrijstaand"	"2031 - 2040"	"A"	30.96	0	30.96	0	30.96	0	30.96	0	30.96	0	30.96	0	30.96	0	30.96	0	0	0	7.066666667	0	11.082384	0	0	0.01296	1.3	0
"vrijstaand"	"2041 - 2050"	"A"	30.96	0	30.96	0	30.96	0	30.96	0	30.96	0	30.96	0	30.96	0	30.96	0	0	0	7.066666667	0	11.082384	0	0	0.01296	1.3	0
"2 onder 1 kap"	"voor 1930"	"F"	25.32677564	0.150007428	19.78108796	0.181193364	21.6981158	0.166439096	18.24061916	0.164453603	15.5362406	0.173182926	15.98126492	0.151205571	3.000266604	0.232671746	9.682459164	0.161543828	0	0.007766557	7.5	0	9.9	0	0	0.01296	1.3	0
