;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
20;0.35;0.06;1.97;0.5;1.42;0.73;0.37;1.1;0.41;0.38;0.52;0.62;0.35;0.76;0.72;0.83;0.51;0.67;0.57;0.19;0.74;0.43;0.18;0.37;1.48;0.2;0.12;0.45;1.23;0.5;0.98;0.12;0.61;0.2;0.4;0.3;0.77;0.47;0.85;1.37;0.25;0.61;1.05;0.2;0.47;1.31;0.33;0.17;1.62;0.35
21;0.255904762;0.096857143;1.423809524;0.513714286;0.912857143;0.577714286;0.337238095;0.777666667;0.324952381;0.286285714;0.557619048;0.721333333;0.45247619;0.714142857;1.028571429;0.775380952;0.387238095;0.831333333;0.630238095;0.22552381;0.73647619;0.364714286;0.152952381;0.402142857;1.459809524;0.181857143;0.086857143;0.412714286;0.784714286;0.500095238;1.174761905;0.11547619;0.54847619;0.149095238;0.38547619;0.309190476;1.047761905;0.773761905;0.739238095;1.497761905;0.141047619;0.518904762;0.875285714;0.265952381;0.470380952;1.594571429;0.360904762;0.179285714;1.511809524;0.347380952
22;0.254190476;0.091116883;1.486406926;0.528467532;0.94987013;0.596337662;0.348588745;0.803861472;0.337264069;0.287506494;0.575151515;0.74582684;0.468632035;0.743480519;1.074285714;0.804095238;0.399108225;0.853489177;0.648484848;0.225549784;0.765722944;0.371376623;0.152354978;0.412987013;1.53230303;0.182415584;0.080857143;0.417766234;0.816311688;0.514692641;1.233722944;0.113593074;0.567125541;0.147108225;0.393333333;0.314268398;1.096735931;0.794580087;0.770121212;1.559722944;0.141359307;0.532917749;0.912909091;0.267316017;0.481887446;1.667714286;0.371593074;0.177792208;1.57578355;0.357575758
23;0.25247619;0.085376623;1.549004329;0.543220779;0.986883117;0.614961039;0.359939394;0.830056277;0.349575758;0.288727273;0.592683983;0.770320346;0.484787879;0.772818182;1.12;0.832809524;0.410978355;0.875645022;0.666731602;0.225575758;0.794969697;0.378038961;0.151757576;0.423831169;1.604796537;0.182974026;0.074857143;0.422818182;0.847909091;0.529290043;1.292683983;0.111709957;0.585774892;0.145121212;0.401190476;0.31934632;1.145709957;0.815398268;0.801004329;1.621683983;0.141670996;0.546930736;0.950532468;0.268679654;0.493393939;1.740857143;0.382281385;0.176298701;1.639757576;0.367770563
24;0.250761905;0.079636364;1.611601732;0.557974026;1.023896104;0.633584416;0.371290043;0.856251082;0.361887446;0.289948052;0.61021645;0.794813853;0.500943723;0.802155844;1.165714286;0.86152381;0.422848485;0.897800866;0.684978355;0.225601732;0.82421645;0.384701299;0.151160173;0.434675325;1.677290043;0.183532468;0.068857143;0.42787013;0.879506494;0.543887446;1.351645022;0.10982684;0.604424242;0.143134199;0.409047619;0.324424242;1.194683983;0.83621645;0.831887446;1.683645022;0.141982684;0.560943723;0.988155844;0.27004329;0.504900433;1.814;0.392969697;0.174805195;1.703731602;0.377965368
25;0.249047619;0.073896104;1.674199134;0.572727273;1.060909091;0.652207792;0.382640693;0.882445887;0.374199134;0.291168831;0.627748918;0.819307359;0.517099567;0.831493506;1.211428571;0.890238095;0.434718615;0.91995671;0.703225108;0.225627706;0.853463203;0.391363636;0.150562771;0.445519481;1.74978355;0.184090909;0.062857143;0.432922078;0.911103896;0.558484848;1.410606061;0.107943723;0.623073593;0.141147186;0.416904762;0.329502165;1.243658009;0.857034632;0.862770563;1.745606061;0.142294372;0.57495671;1.025779221;0.271406926;0.516406926;1.887142857;0.403658009;0.173311688;1.767705628;0.388160173
26;0.247333333;0.068155844;1.736796537;0.587480519;1.097922078;0.670831169;0.393991342;0.908640693;0.386510823;0.29238961;0.645281385;0.843800866;0.533255411;0.860831169;1.257142857;0.918952381;0.446588745;0.942112554;0.721471861;0.22565368;0.882709957;0.398025974;0.149965368;0.456363636;1.822277056;0.184649351;0.056857143;0.437974026;0.942701299;0.573082251;1.4695671;0.106060606;0.641722944;0.139160173;0.424761905;0.334580087;1.292632035;0.877852814;0.89365368;1.8075671;0.142606061;0.588969697;1.063402597;0.272770563;0.52791342;1.960285714;0.41434632;0.171818182;1.831679654;0.398354978
27;0.245619048;0.062415584;1.799393939;0.602233766;1.134935065;0.689454545;0.405341991;0.934835498;0.398822511;0.29361039;0.662813853;0.868294372;0.549411255;0.890168831;1.302857143;0.947666667;0.458458874;0.964268398;0.739718615;0.225679654;0.91195671;0.404688312;0.149367965;0.467207792;1.894770563;0.185207792;0.050857143;0.443025974;0.974298701;0.587679654;1.528528139;0.104177489;0.660372294;0.13717316;0.432619048;0.339658009;1.341606061;0.898670996;0.924536797;1.869528139;0.142917749;0.602982684;1.101025974;0.274134199;0.539419913;2.033428571;0.425034632;0.170324675;1.89565368;0.408549784
28;0.243904762;0.056675325;1.861991342;0.616987013;1.171948052;0.708077922;0.416692641;0.961030303;0.411134199;0.294831169;0.68034632;0.892787879;0.5655671;0.919506494;1.348571429;0.976380952;0.470329004;0.986424242;0.757965368;0.225705628;0.941203463;0.411350649;0.148770563;0.478051948;1.967264069;0.185766234;0.044857143;0.448077922;1.005896104;0.602277056;1.587489177;0.102294372;0.679021645;0.135186147;0.44047619;0.344735931;1.390580087;0.919489177;0.955419913;1.931489177;0.143229437;0.616995671;1.138649351;0.275497835;0.550926407;2.106571429;0.435722944;0.168831169;1.959627706;0.418744589
29;0.242190476;0.050935065;1.924588745;0.63174026;1.208961039;0.726701299;0.42804329;0.987225108;0.423445887;0.296051948;0.697878788;0.917281385;0.581722944;0.948844156;1.394285714;1.005095238;0.482199134;1.008580087;0.776212121;0.225731602;0.970450216;0.418012987;0.14817316;0.488896104;2.039757576;0.186324675;0.038857143;0.45312987;1.037493506;0.616874459;1.646450216;0.100411255;0.697670996;0.133199134;0.448333333;0.349813853;1.439554113;0.940307359;0.98630303;1.993450216;0.143541126;0.631008658;1.176272727;0.276861472;0.5624329;2.179714286;0.446411255;0.167337662;2.023601732;0.428939394
30;0.24047619;0.045194805;1.987186147;0.646493506;1.245974026;0.745324675;0.439393939;1.013419913;0.435757576;0.297272727;0.715411255;0.941774892;0.597878788;0.978181818;1.44;1.033809524;0.494069264;1.030735931;0.794458874;0.225757576;0.99969697;0.424675325;0.147575758;0.49974026;2.112251082;0.186883117;0.032857143;0.458181818;1.069090909;0.631471861;1.705411255;0.098528139;0.716320346;0.131212121;0.456190476;0.354891775;1.488528139;0.961125541;1.017186147;2.055411255;0.143852814;0.645021645;1.213896104;0.278225108;0.573939394;2.252857143;0.457099567;0.165844156;2.087575758;0.439134199
31;0.238761905;0.039454545;2.04978355;0.661246753;1.282987013;0.763948052;0.450744589;1.039614719;0.448069264;0.298493506;0.732943723;0.966268398;0.614034632;1.007519481;1.485714286;1.06252381;0.505939394;1.052891775;0.812705628;0.22578355;1.028943723;0.431337662;0.146978355;0.510584416;2.184744589;0.187441558;0.026857143;0.463233766;1.100688312;0.646069264;1.764372294;0.096645022;0.734969697;0.129225108;0.464047619;0.359969697;1.537502165;0.981943723;1.048069264;2.117372294;0.144164502;0.659034632;1.251519481;0.279588745;0.585445887;2.326;0.467787879;0.164350649;2.151549784;0.449329004
32;0.237047619;0.033714286;2.112380952;0.676;1.32;0.782571429;0.462095238;1.065809524;0.460380952;0.299714286;0.75047619;0.990761905;0.630190476;1.036857143;1.531428571;1.091238095;0.517809524;1.075047619;0.830952381;0.225809524;1.058190476;0.438;0.146380952;0.521428571;2.257238095;0.188;0.020857143;0.468285714;1.132285714;0.660666667;1.823333333;0.094761905;0.753619048;0.127238095;0.471904762;0.365047619;1.58647619;1.002761905;1.078952381;2.179333333;0.14447619;0.673047619;1.289142857;0.280952381;0.596952381;2.399142857;0.47847619;0.162857143;2.21552381;0.45952381
33;0.235333333;0.027974026;2.174978355;0.690753247;1.357012987;0.801194805;0.473445887;1.092004329;0.472692641;0.300935065;0.768008658;1.015255411;0.64634632;1.066194805;1.577142857;1.119952381;0.529679654;1.097203463;0.849199134;0.225835498;1.087437229;0.444662338;0.14578355;0.532272727;2.329731602;0.188558442;0.014857143;0.473337662;1.163883117;0.675264069;1.882294372;0.092878788;0.772268398;0.125251082;0.479761905;0.370125541;1.635450216;1.023580087;1.109835498;2.241294372;0.144787879;0.687060606;1.326766234;0.282316017;0.608458874;2.472285714;0.489164502;0.161363636;2.279497835;0.469718615
34;0.233619048;0.022233766;2.237575758;0.705506494;1.394025974;0.819818182;0.484796537;1.118199134;0.485004329;0.302155844;0.785541126;1.039748918;0.662502165;1.095532468;1.622857143;1.148666667;0.541549784;1.119359307;0.867445887;0.225861472;1.116683983;0.451324675;0.145186147;0.543116883;2.402225108;0.189116883;0.008857143;0.47838961;1.195480519;0.689861472;1.941255411;0.090995671;0.790917749;0.123264069;0.487619048;0.375203463;1.684424242;1.044398268;1.140718615;2.303255411;0.145099567;0.701073593;1.36438961;0.283679654;0.619965368;2.545428571;0.499852814;0.15987013;2.343471861;0.47991342
35;0.231904762;0.016493506;2.30017316;0.72025974;1.431038961;0.838441558;0.496147186;1.144393939;0.497316017;0.303376623;0.803073593;1.064242424;0.678658009;1.12487013;1.668571429;1.177380952;0.553419913;1.141515152;0.885692641;0.225887446;1.145930736;0.457987013;0.144588745;0.553961039;2.474718615;0.189675325;0.002857143;0.483441558;1.227077922;0.704458874;2.00021645;0.089112554;0.8095671;0.121277056;0.49547619;0.380281385;1.733398268;1.06521645;1.171601732;2.36521645;0.145411255;0.71508658;1.402012987;0.28504329;0.631471861;2.618571429;0.510541126;0.158376623;2.407445887;0.490108225
36;0.230190476;0.010753247;2.362770563;0.735012987;1.468051948;0.857064935;0.507497835;1.170588745;0.509627706;0.304597403;0.820606061;1.088735931;0.694813853;1.154207792;1.714285714;1.206095238;0.565290043;1.163670996;0.903939394;0.22591342;1.175177489;0.464649351;0.143991342;0.564805195;2.547212121;0.190233766;-0.003142857;0.488493506;1.258675325;0.719056277;2.059177489;0.087229437;0.82821645;0.119290043;0.503333333;0.385359307;1.782372294;1.086034632;1.202484848;2.427177489;0.145722944;0.729099567;1.439636364;0.286406926;0.642978355;2.691714286;0.521229437;0.156883117;2.471419913;0.50030303
37;0.22847619;0.005012987;2.425367965;0.749766234;1.505064935;0.875688312;0.518848485;1.19678355;0.521939394;0.305818182;0.838138528;1.113229437;0.710969697;1.183545455;1.76;1.234809524;0.577160173;1.18582684;0.922186147;0.225939394;1.204424242;0.471311688;0.143393939;0.575649351;2.619705628;0.190792208;-0.009142857;0.493545455;1.290272727;0.73365368;2.118138528;0.08534632;0.846865801;0.11730303;0.511190476;0.390437229;1.83134632;1.106852814;1.233367965;2.489138528;0.146034632;0.743112554;1.47725974;0.287770563;0.654484848;2.764857143;0.531917749;0.15538961;2.535393939;0.510497835
38;0.226761905;-0.000727273;2.487965368;0.764519481;1.542077922;0.894311688;0.530199134;1.222978355;0.534251082;0.307038961;0.855670996;1.137722944;0.727125541;1.212883117;1.805714286;1.26352381;0.589030303;1.207982684;0.9404329;0.225965368;1.233670996;0.477974026;0.142796537;0.586493506;2.692199134;0.191350649;-0.015142857;0.498597403;1.32187013;0.748251082;2.177099567;0.083463203;0.865515152;0.115316017;0.519047619;0.395515152;1.880320346;1.127670996;1.264251082;2.551099567;0.14634632;0.757125541;1.514883117;0.289134199;0.665991342;2.838;0.542606061;0.153896104;2.599367965;0.520692641
39;0.225047619;-0.006467532;2.550562771;0.779272727;1.579090909;0.912935065;0.541549784;1.24917316;0.546562771;0.30825974;0.873203463;1.16221645;0.743281385;1.242220779;1.851428571;1.292238095;0.600900433;1.230138528;0.958679654;0.225991342;1.262917749;0.484636364;0.142199134;0.597337662;2.764692641;0.191909091;-0.021142857;0.503649351;1.353467532;0.762848485;2.236060606;0.081580087;0.884164502;0.113329004;0.526904762;0.400593074;1.929294372;1.148489177;1.295134199;2.613060606;0.146658009;0.771138528;1.552506494;0.290497835;0.677497835;2.911142857;0.553294372;0.152402597;2.663341991;0.530887446
40;0.223333333;-0.012207792;2.613160173;0.794025974;1.616103896;0.931558442;0.552900433;1.275367965;0.558874459;0.309480519;0.890735931;1.186709957;0.759437229;1.271558442;1.897142857;1.320952381;0.612770563;1.252294372;0.976926407;0.226017316;1.292164502;0.491298701;0.141601732;0.608181818;2.837186147;0.192467532;-0.027142857;0.508701299;1.385064935;0.777445887;2.295021645;0.07969697;0.902813853;0.111341991;0.534761905;0.405670996;1.978268398;1.169307359;1.326017316;2.675021645;0.146969697;0.785151515;1.59012987;0.291861472;0.689004329;2.984285714;0.563982684;0.150909091;2.727316017;0.541082251
41;0.221619048;-0.017948052;2.675757576;0.808779221;1.653116883;0.950181818;0.564251082;1.301562771;0.571186147;0.310701299;0.908268398;1.211203463;0.775593074;1.300896104;1.942857143;1.349666667;0.624640693;1.274450216;0.99517316;0.22604329;1.321411255;0.497961039;0.141004329;0.619025974;2.909679654;0.193025974;-0.033142857;0.513753247;1.416662338;0.79204329;2.353982684;0.077813853;0.921463203;0.109354978;0.542619048;0.410748918;2.027242424;1.190125541;1.356900433;2.736982684;0.147281385;0.799164502;1.627753247;0.293225108;0.700510823;3.057428571;0.574670996;0.149415584;2.791290043;0.551277056
42;0.219904762;-0.023688312;2.738354978;0.823532468;1.69012987;0.968805195;0.575601732;1.327757576;0.583497835;0.311922078;0.925800866;1.23569697;0.791748918;1.330233766;1.988571429;1.378380952;0.636510823;1.296606061;1.013419913;0.226069264;1.350658009;0.504623377;0.140406926;0.62987013;2.98217316;0.193584416;-0.039142857;0.518805195;1.44825974;0.806640693;2.412943723;0.075930736;0.940112554;0.107367965;0.55047619;0.41582684;2.07621645;1.210943723;1.38778355;2.798943723;0.147593074;0.813177489;1.665376623;0.294588745;0.712017316;3.130571429;0.585359307;0.147922078;2.855264069;0.561471861
43;0.218190476;-0.029428571;2.800952381;0.838285714;1.727142857;0.987428571;0.586952381;1.353952381;0.595809524;0.313142857;0.943333333;1.260190476;0.807904762;1.359571429;2.034285714;1.407095238;0.648380952;1.318761905;1.031666667;0.226095238;1.379904762;0.511285714;0.139809524;0.640714286;3.054666667;0.194142857;-0.045142857;0.523857143;1.479857143;0.821238095;2.471904762;0.074047619;0.958761905;0.105380952;0.558333333;0.420904762;2.125190476;1.231761905;1.418666667;2.860904762;0.147904762;0.827190476;1.703;0.295952381;0.72352381;3.203714286;0.596047619;0.146428571;2.919238095;0.571666667
44;0.21647619;-0.035168831;2.863549784;0.853038961;1.764155844;1.006051948;0.59830303;1.380147186;0.608121212;0.314363636;0.960865801;1.284683983;0.824060606;1.388909091;2.08;1.435809524;0.660251082;1.340917749;1.04991342;0.226121212;1.409151515;0.517948052;0.139212121;0.651558442;3.127160173;0.194701299;-0.051142857;0.528909091;1.511454545;0.835835498;2.530865801;0.072164502;0.977411255;0.103393939;0.566190476;0.425982684;2.174164502;1.252580087;1.449549784;2.922865801;0.14821645;0.841203463;1.740623377;0.297316017;0.735030303;3.276857143;0.606735931;0.144935065;2.983212121;0.581861472
45;0.214761905;-0.040909091;2.926147186;0.867792208;1.801168831;1.024675325;0.60965368;1.406341991;0.6204329;0.315584416;0.978398268;1.309177489;0.84021645;1.418246753;2.125714286;1.46452381;0.672121212;1.363073593;1.068160173;0.226147186;1.438398268;0.52461039;0.138614719;0.662402597;3.19965368;0.19525974;-0.057142857;0.533961039;1.543051948;0.8504329;2.58982684;0.070281385;0.996060606;0.101406926;0.574047619;0.431060606;2.223138528;1.273398268;1.4804329;2.98482684;0.148528139;0.85521645;1.778246753;0.298679654;0.746536797;3.35;0.617424242;0.143441558;3.047186147;0.592056277
46;0.213047619;-0.046649351;2.988744589;0.882545455;1.838181818;1.043298701;0.621004329;1.432536797;0.632744589;0.316805195;0.995930736;1.333670996;0.856372294;1.447584416;2.171428571;1.493238095;0.683991342;1.385229437;1.086406926;0.22617316;1.467645022;0.531272727;0.138017316;0.673246753;3.272147186;0.195818182;-0.063142857;0.539012987;1.574649351;0.865030303;2.648787879;0.068398268;1.014709957;0.099419913;0.581904762;0.436138528;2.272112554;1.29421645;1.511316017;3.046787879;0.148839827;0.869229437;1.81587013;0.30004329;0.75804329;3.423142857;0.628112554;0.141948052;3.111160173;0.602251082
47;0.211333333;-0.05238961;3.051341991;0.897298701;1.875194805;1.061922078;0.632354978;1.458731602;0.645056277;0.318025974;1.013463203;1.358164502;0.872528139;1.476922078;2.217142857;1.521952381;0.695861472;1.407385281;1.10465368;0.226199134;1.496891775;0.537935065;0.137419913;0.684090909;3.344640693;0.196376623;-0.069142857;0.544064935;1.606246753;0.879627706;2.707748918;0.066515152;1.033359307;0.0974329;0.589761905;0.44121645;2.32108658;1.315034632;1.542199134;3.108748918;0.149151515;0.883242424;1.853493506;0.301406926;0.769549784;3.496285714;0.638800866;0.140454545;3.175134199;0.612445887
48;0.209619048;-0.05812987;3.113939394;0.912051948;1.912207792;1.080545455;0.643705628;1.484926407;0.657367965;0.319246753;1.030995671;1.382658009;0.888683983;1.50625974;2.262857143;1.550666667;0.707731602;1.429541126;1.122900433;0.226225108;1.526138528;0.544597403;0.136822511;0.694935065;3.417134199;0.196935065;-0.075142857;0.549116883;1.637844156;0.894225108;2.766709957;0.064632035;1.052008658;0.095445887;0.597619048;0.446294372;2.370060606;1.335852814;1.573082251;3.170709957;0.149463203;0.897255411;1.891116883;0.302770563;0.781056277;3.569428571;0.649489177;0.138961039;3.239108225;0.622640693
49;0.207904762;-0.06387013;3.176536797;0.926805195;1.949220779;1.099168831;0.655056277;1.511121212;0.669679654;0.320467532;1.048528139;1.407151515;0.904839827;1.535597403;2.308571429;1.579380952;0.719601732;1.45169697;1.141147186;0.226251082;1.555385281;0.55125974;0.136225108;0.705779221;3.489627706;0.197493506;-0.081142857;0.554168831;1.669441558;0.908822511;2.825670996;0.062748918;1.070658009;0.093458874;0.60547619;0.451372294;2.419034632;1.356670996;1.603965368;3.232670996;0.149774892;0.911268398;1.92874026;0.304134199;0.792562771;3.642571429;0.660177489;0.137467532;3.303082251;0.632835498
50;0.206190476;-0.06961039;3.239134199;0.941558442;1.986233766;1.117792208;0.666406926;1.537316017;0.681991342;0.321688312;1.066060606;1.431645022;0.920995671;1.564935065;2.354285714;1.608095238;0.731471861;1.473852814;1.159393939;0.226277056;1.584632035;0.557922078;0.135627706;0.716623377;3.562121212;0.198051948;-0.087142857;0.559220779;1.701038961;0.923419913;2.884632035;0.060865801;1.089307359;0.091471861;0.613333333;0.456450216;2.468008658;1.377489177;1.634848485;3.294632035;0.15008658;0.925281385;1.966363636;0.305497835;0.804069264;3.715714286;0.670865801;0.135974026;3.367056277;0.643030303
51;0.20447619;-0.075350649;3.301731602;0.956311688;2.023246753;1.136415584;0.677757576;1.563510823;0.69430303;0.322909091;1.083593074;1.456138528;0.937151515;1.594272727;2.4;1.636809524;0.743341991;1.496008658;1.177640693;0.22630303;1.613878788;0.564584416;0.135030303;0.727467532;3.634614719;0.19861039;-0.093142857;0.564272727;1.732636364;0.938017316;2.943593074;0.058982684;1.10795671;0.089484848;0.621190476;0.461528139;2.516982684;1.398307359;1.665731602;3.356593074;0.150398268;0.939294372;2.003987013;0.306861472;0.815575758;3.788857143;0.681554113;0.134480519;3.431030303;0.653225108
