type_str,bouwjaar_str,Default_label,Vrv_G_asl,Vrv_G_opp,Vrv_F_asl,Vrv_F_opp,Vrv_E_asl,Vrv_E_opp,Vrv_D_asl,Vrv_D_opp,Vrv_C_asl,Vrv_C_opp,Vrv_B_asl,Vrv_B_opp,Vrv_A_asl,Vrv_A_opp,Vvent_asl,Vvent_opp,Vww_asl,Vww_opp,Ve_asl,Ve_opp,Vk_asl,Vk_opp,Ki_SGB_min_asl,Ki_SGB_min_opp,Ki_SGB_max_asl,Ki_SGB_max_opp,Ki_SFB_min_asl,Ki_SFB_min_opp,Ki_SFB_max_asl,Ki_SFB_max_opp,Ki_SEB_min_asl,Ki_SEB_min_opp,Ki_SEB_max_asl,Ki_SEB_max_opp,Ki_SDB_min_asl,Ki_SDB_min_opp,Ki_SDB_max_asl,Ki_SDB_max_opp,Ki_SCB_min_asl,Ki_SCB_min_opp,Ki_SCB_max_asl,Ki_SCB_max_opp,Ki_SGA_min_asl,Ki_SGA_min_opp,Ki_SGA_max_asl,Ki_SGA_max_opp,Ki_SFA_min_asl,Ki_SFA_min_opp,Ki_SFA_max_asl,Ki_SFA_max_opp,Ki_SEA_min_asl,Ki_SEA_min_opp,Ki_SEA_max_asl,Ki_SEA_max_opp,Ki_SDA_min_asl,Ki_SDA_min_opp,Ki_SDA_max_asl,Ki_SDA_max_opp,Ki_SCA_min_asl,Ki_SCA_min_opp,Ki_SCA_max_asl,Ki_SCA_max_opp,Ki_SBA_min_asl,Ki_SBA_min_opp,Ki_SBA_max_asl,Ki_SBA_max_opp
Winkel,1995<=2019,B,0,0.149468062,0,0.149468062,0,0.149468062,0,0.149468062,0,0.149468062,0,0.149468062,0,0.074159575,0,0,0,0.003776774,0,0.567,0,0.035278814,0,112.627227,0,179.8358631,0,112.627227,0,179.8358631,0,112.627227,0,179.8358631,0,112.627227,0,179.8358631,0,0,0,0,0,155.5654734,0,276.2538204,0,155.5654734,0,276.2538204,0,155.5654734,0,276.2538204,0,155.5654734,0,276.2538204,0,42.93824641,0,96.41795742,0,42.93824641,0,96.41795742
Winkel,onbekend,D,0,0.290090777,0,0.290090777,0,0.290090777,0,0.290090777,0,0.110901412,0,0.110901412,0,0.077630988,0,0,0,0.003776774,0,0.567,0,0.035278814,0,123.5929611,0,188.4735544,0,123.5929611,0,188.4735544,0,123.5929611,0,188.4735544,0,123.5929611,0,188.4735544,0,0,0,0,0,166.5420862,0,284.9023905,0,166.5420862,0,284.9023905,0,166.5420862,0,284.9023905,0,166.5420862,0,284.9023905,0,42.94912512,0,96.42883612,0,42.94912512,0,96.42883612
Gezondheidszorg,0<=1920,G,0,1.116715465,0,1.116715465,0,1.116715465,0,1.116715465,0,0.275409927,0,0.275409927,0,0.192786949,0,0,0,0.038334258,0,0.232,0,0.032290345,0,130.4139088,0,192.9990954,0,130.4139088,0,192.9990954,0,130.4139088,0,192.9990954,0,130.4139088,0,192.9990954,0,0,0,0,0,177.5622139,0,282.0956847,0,177.5622139,0,282.0956847,0,177.5622139,0,282.0956847,0,177.5622139,0,282.0956847,0,47.14830503,0,89.09658934,0,47.14830503,0,89.09658934
Gezondheidszorg,1920<=1975,E,0,0.818769066,0,0.818769066,0,0.818769066,0,0.818769066,0,0.818769066,0,0.273129682,0,0.191190778,0,0,0,0.038334258,0,0.232,0,0.032290345,0,129.8590948,0,192.1396777,0,129.8590948,0,192.1396777,0,129.8590948,0,192.1396777,0,129.8590948,0,192.1396777,0,129.8590948,0,192.1396777,0,177.0073999,0,281.2362671,0,177.0073999,0,281.2362671,0,177.0073999,0,281.2362671,0,177.0073999,0,281.2362671,0,177.0073999,0,281.2362671,0,47.14830503,0,89.09658934
Gezondheidszorg,1975<=1990,C,0,0.460581719,0,0.460581719,0,0.460581719,0,0.460581719,0,0.273288018,0,0.273288018,0,0.191301613,0,0,0,0.038334258,0,0.232,0,0.032290345,0,118.8824821,0,185.4057597,0,118.8824821,0,185.4057597,0,118.8824821,0,185.4057597,0,118.8824821,0,185.4057597,0,0,0,0,0,166.0307871,0,274.5023491,0,166.0307871,0,274.5023491,0,166.0307871,0,274.5023491,0,166.0307871,0,274.5023491,0,47.14830503,0,89.09658934,0,47.14830503,0,89.09658934
Gezondheidszorg,1990<=1995,B,0,0.453116019,0,0.453116019,0,0.453116019,0,0.453116019,0,0.453116019,0,0.453116019,0,0.192615807,0,0,0,0.038334258,0,0.232,0,0.032290345,0,116.3151078,0,181.1304289,0,116.3151078,0,181.1304289,0,116.3151078,0,181.1304289,0,116.3151078,0,181.1304289,0,0,0,0,0,163.4634129,0,270.2270182,0,163.4634129,0,270.2270182,0,163.4634129,0,270.2270182,0,163.4634129,0,270.2270182,0,47.14830503,0,89.09658934,0,47.14830503,0,89.09658934
Gezondheidszorg,1995<=2019,B,0,0.377296416,0,0.377296416,0,0.377296416,0,0.377296416,0,0.377296416,0,0.377296416,0,0.19546814,0,0,0,0.038334258,0,0.232,0,0.032290345,0,110.5493945,0,177.116187,0,110.5493945,0,177.116187,0,110.5493945,0,177.116187,0,110.5493945,0,177.116187,0,0,0,0,0,157.6976995,0,266.2127763,0,157.6976995,0,266.2127763,0,157.6976995,0,266.2127763,0,157.6976995,0,266.2127763,0,47.14830503,0,89.09658934,0,47.14830503,0,89.09658934
Gezondheidszorg,onbekend,D,0,0.619830123,0,0.619830123,0,0.619830123,0,0.619830123,0,0.288253506,0,0.288253506,0,0.201777454,0,0,0,0.038334258,0,0.232,0,0.032290345,0,119.8506868,0,184.6877653,0,119.8506868,0,184.6877653,0,119.8506868,0,184.6877653,0,119.8506868,0,184.6877653,0,0,0,0,0,166.9989918,0,273.7843546,0,166.9989918,0,273.7843546,0,166.9989918,0,273.7843546,0,166.9989918,0,273.7843546,0,47.14830503,0,89.09658934,0,47.14830503,0,89.09658934
Logies,0<=1920,G,0,0.723986115,0,0.723986115,0,0.723986115,0,0.723986115,0,0.198224152,0,0.198224152,0,0.138756906,0,0,0,0.03745301,0,0.089,0,0.155846796,0,127.4440225,0,180.5538576,0,127.4440225,0,180.5538576,0,127.4440225,0,180.5538576,0,127.4440225,0,180.5538576,0,0,0,0,0,170.9153254,0,253.3759051,0,170.9153254,0,253.3759051,0,170.9153254,0,253.3759051,0,170.9153254,0,253.3759051,0,43.47130293,0,72.8220475,0,43.47130293,0,72.8220475
Logies,1920<=1975,E,0,0.582886015,0,0.582886015,0,0.582886015,0,0.582886015,0,0.582886015,0,0.198224152,0,0.138756906,0,0,0,0.03745301,0,0.089,0,0.155846796,0,126.910966,0,179.7705908,0,126.910966,0,179.7705908,0,126.910966,0,179.7705908,0,126.910966,0,179.7705908,0,126.910966,0,179.7705908,0,170.3822689,0,252.5926383,0,170.3822689,0,252.5926383,0,170.3822689,0,252.5926383,0,170.3822689,0,252.5926383,0,170.3822689,0,252.5926383,0,43.47130293,0,72.8220475
