type_str,bouwjaar_str,Default_label,Vrv_G_asl,Vrv_G_opp,Vrv_F_asl,Vrv_F_opp,Vrv_E_asl,Vrv_E_opp,Vrv_D_asl,Vrv_D_opp,Vrv_C_asl,Vrv_C_opp,Vrv_B_asl,Vrv_B_opp,Vrv_A_asl,Vrv_A_opp,Vvent_asl,Vvent_opp,Vww_asl,Vww_opp,Ve_asl,Ve_opp,Vk_asl,Vk_opp,Ki_SGD_min_asl,Ki_SGD_min_opp,Ki_SGD_max_asl,Ki_SGD_max_opp,Ki_SFD_min_asl,Ki_SFD_min_opp,Ki_SFD_max_asl,Ki_SFD_max_opp,Ki_SED_min_asl,Ki_SED_min_opp,Ki_SED_max_asl,Ki_SED_max_opp,Ki_SGC_min_asl,Ki_SGC_min_opp,Ki_SGC_max_asl,Ki_SGC_max_opp,Ki_SFC_min_asl,Ki_SFC_min_opp,Ki_SFC_max_asl,Ki_SFC_max_opp,Ki_SEC_min_asl,Ki_SEC_min_opp,Ki_SEC_max_asl,Ki_SEC_max_opp,Ki_SDC_min_asl,Ki_SDC_min_opp,Ki_SDC_max_asl,Ki_SDC_max_opp,Ki_SGB_min_asl,Ki_SGB_min_opp,Ki_SGB_max_asl,Ki_SGB_max_opp,Ki_SFB_min_asl,Ki_SFB_min_opp,Ki_SFB_max_asl,Ki_SFB_max_opp,Ki_SEB_min_asl,Ki_SEB_min_opp,Ki_SEB_max_asl,Ki_SEB_max_opp,Ki_SDB_min_asl,Ki_SDB_min_opp,Ki_SDB_max_asl,Ki_SDB_max_opp,Ki_SCB_min_asl,Ki_SCB_min_opp,Ki_SCB_max_asl,Ki_SCB_max_opp,Ki_SGA_min_asl,Ki_SGA_min_opp,Ki_SGA_max_asl,Ki_SGA_max_opp,Ki_SFA_min_asl,Ki_SFA_min_opp,Ki_SFA_max_asl,Ki_SFA_max_opp,Ki_SEA_min_asl,Ki_SEA_min_opp,Ki_SEA_max_asl,Ki_SEA_max_opp,Ki_SDA_min_asl,Ki_SDA_min_opp,Ki_SDA_max_asl,Ki_SDA_max_opp,Ki_SCA_min_asl,Ki_SCA_min_opp,Ki_SCA_max_asl,Ki_SCA_max_opp,Ki_SBA_min_asl,Ki_SBA_min_opp,Ki_SBA_max_asl,Ki_SBA_max_opp
vrijstaand,2015 - 2020,A,15.17008124,0.153888811,15.17008124,0.153888811,15.17008124,0.153888811,15.17008124,0.153888811,15.17008124,0.153888811,15.17008124,0.153888811,10.4167961,0.130242651,0,0,10.6,0,9.28,0,0,0.01296,12025.376,36.462,13449.371,65.065,2616.856,28.505,2653.228,49.865,4205,0,7016,0,411.134,122.478,-3490.469,191.232,9145.441,31.459,9333.907,68.809,6900.752,24.851,9519.484,31.712,5371.488,3.917,8263.903,4.62,32393.623,0.305,40584.786,12.608,6301.152,112.165,263.676,219.786,11664.957,72.761,11311.764,136.618,16415.643,39.544,21297.79,53.598,8177.926,22.283,11199.016,33.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 onder 1 kap,voor 1930,F,22.9589954,0.171823821,22.9589954,0.171823821,22.38576596,0.155679874,22.38576596,0.155679874,7.214212121,0.233843652,7.214212121,0.233843652,6,0.207,0,0.007766557,10.6,0,9.9,0,0,0.01296,6619.391,31.871,16590.72,12.815,1192.794,32.122,6066.752,38.686,4205,0,7016,0,8852.044,34.093,10864.615,65.732,7152.344,29.998,10639.391,40.379,3892.217,29.718,4897.252,38.413,-464.603,34.058,-849.32,49.794,21388.5,0,27985.5,0,20467.5,0,33180.5,0,20054.5,0,27982.5,0,15261.5,0,20666.5,0,2769.635,63.842,4826.255,75.315,11481.57608,134.8738458,21331.24946,314.3659756,11481.57608,134.8738458,21331.24946,314.3659756,9572.418289,105.0801025,19189.51895,274.0796142,9572.418289,105.0801025,19189.51895,274.0796142,4279.652342,35.51743409,11734.88432,183.8722909,4279.652342,35.51743409,11734.88432,183.8722909
2 onder 1 kap,1930 - 1945,F,22.9589954,0.171823821,22.9589954,0.171823821,22.38576596,0.155679874,22.38576596,0.155679874,7.214212121,0.233843652,7.214212121,0.233843652,6,0.207,0,0.007766557,10.6,0,9.9,0,0,0.01296,6619.391,31.871,16590.72,12.815,488.977,32.923,3369.718,42.704,4205,0,7016,0,8852.044,34.093,10864.615,65.732,5366.489,33.164,9037.736,43.643,1898.667,33.432,2484.3,43.221,2136.898,8.388,2814.179,20.757,21388.5,0,27985.5,0,20467.5,0,33180.5,0,20054.5,0,27982.5,0,15261.5,0,20666.5,0,2769.635,63.842,4826.255,75.315,11481.57608,134.8738458,21331.24946,314.3659756,11481.57608,134.8738458,21331.24946,314.3659756,9572.418289,105.0801025,19189.51895,274.0796142,9572.418289,105.0801025,19189.51895,274.0796142,4279.652342,35.51743409,11734.88432,183.8722909,4279.652342,35.51743409,11734.88432,183.8722909
2 onder 1 kap,1946 - 1964,E,24.47963006,0.148200277,28.80642695,0.112308648,28.80642695,0.112308648,23.34265628,0.105853691,14.27797344,0.15620607,14.27797344,0.15620607,13,0.141,0,0.009481846,10.6,0,9.9,0,0,0.01296,6619.391,31.871,16590.72,12.815,488.977,32.923,3369.718,42.704,1903.474,4.373,2828.831,5.094,8852.044,34.093,10864.615,65.732,5366.489,33.164,9037.736,43.643,2757.018,21.978,3567.734,27.21,514.753,23.708,628.532,36.23,21388.5,0,27985.5,0,20467.5,0,33180.5,0,20054.5,0,27982.5,0,15261.5,0,20666.5,0,2769.635,63.842,4826.255,75.315,14857.39974,104.1845398,32344.96631,214.2412771,14857.39974,104.1845398,32344.96631,214.2412771,17547.30894,49.78178606,35634.73682,146.1262495,17547.30894,49.78178606,35634.73682,146.1262495,7036.790837,49.78178606,20729.96664,146.1262495,7036.790837,49.78178606,20729.96664,146.1262495
2 onder 1 kap,1965 - 1974,D,15.08136335,0.206562333,15.08136335,0.206562333,19.64258711,0.172940226,17.67898083,0.144115174,17.67898083,0.144115174,13.0042737,0.159937202,11,0.139,0,0.010574889,7.5,0,9.77,0,0,0.01296,7206.861,29.478,15926.905,15.519,870.975,32.194,3754.557,41.969,1382.559,10.706,1914.44,19.079,8852.044,34.093,10864.615,65.732,5366.489,33.164,9037.736,43.643,1315.889,47.497,1598.172,64.625,1358.135,17.72,972.372,35.687,21388.5,0,27985.5,0,20467.5,0,33180.5,0,20054.5,0,27982.5,0,15261.5,0,20666.5,0,5646.109,14.62,7245.314,29.627,19888.82541,56.9476218,46464.388,89.83807155,19888.82541,56.9476218,46464.388,89.83807155,19888.82541,56.9476218,46464.388,89.83807155,17979.45766,34.16388072,44555.02025,67.05433047,17979.45766,34.16388072,44555.02025,67.05433047,10297.41335,30.86952805,31789.9323,64.51570144
2 onder 1 kap,1975 - 1991,C,21.14143427,0.136622009,21.14143427,0.136622009,21.14143427,0.136622009,21.14143427,0.136622009,20.48709152,0.124063333,16.53795189,0.125894007,15,0.11,0,0.007232955,7.5,0,9.77,0,0,0.01296,7206.861,29.478,15926.905,15.519,870.975,32.194,3754.557,41.969,1382.559,10.706,1914.44,19.079,8852.044,34.093,10864.615,65.732,5366.489,33.164,9037.736,43.643,1315.889,47.497,1598.172,64.625,1358.135,17.72,972.372,35.687,21388.5,0,27985.5,0,20467.5,0,33180.5,0,20054.5,0,27982.5,0,15261.5,0,20666.5,0,4549.782,16.42,6139.053,29.435,20436.03733,52.49874438,36471.08632,171.0844266,20436.03733,52.49874438,36471.08632,171.0844266,20436.03733,52.49874438,36471.08632,171.0844266,20436.03733,52.49874438,36471.08632,171.0844266,20436.03733,52.49874438,36471.08632,171.0844266,14538.12028,42.99113195,29142.86118,148.433421
2 onder 1 kap,1992 - 1995,B,11.22181677,0.153789401,11.22181677,0.153789401,11.22181677,0.153789401,11.22181677,0.153789401,11.22181677,0.153789401,13.78934819,0.119352057,19,0.06,0,0,8.15,0,9.68,0,0,0.01296,7206.861,29.478,15926.905,15.519,870.975,32.194,3754.557,41.969,1382.559,10.706,1914.44,19.079,8852.044,34.093,10864.615,65.732,5366.489,33.164,9037.736,43.643,1315.889,47.497,1598.172,64.625,1358.135,17.72,972.372,35.687,21388.5,0,27985.5,0,20467.5,0,33180.5,0,20054.5,0,27982.5,0,15261.5,0,20666.5,0,5646.109,14.62,7245.314,29.627,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266
2 onder 1 kap,1996 - 1999,B,11.22181677,0.153789401,11.22181677,0.153789401,11.22181677,0.153789401,11.22181677,0.153789401,11.22181677,0.153789401,13.78934819,0.119352057,19,0.06,0,0,8.15,0,9.68,0,0,0.01296,7206.861,29.478,15926.905,15.519,870.975,32.194,3754.557,41.969,1382.559,10.706,1914.44,19.079,8852.044,34.093,10864.615,65.732,5366.489,33.164,9037.736,43.643,1315.889,47.497,1598.172,64.625,1358.135,17.72,972.372,35.687,21388.5,0,27985.5,0,20467.5,0,33180.5,0,20054.5,0,27982.5,0,15261.5,0,20666.5,0,4190.436,27.7,4114.212,55.559,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266
2 onder 1 kap,2000 - 2005,A,11.22181677,0.153789401,11.22181677,0.153789401,11.22181677,0.153789401,11.22181677,0.153789401,11.22181677,0.153789401,13.78934819,0.119352057,19,0.06,0,0,8.15,0,9.68,0,0,0.01296,7206.861,29.478,15926.905,15.519,870.975,32.194,3754.557,41.969,1382.559,10.706,1914.44,19.079,8852.044,34.093,10864.615,65.732,5366.489,33.164,9037.736,43.643,1315.889,47.497,1598.172,64.625,1358.135,17.72,972.372,35.687,21388.5,0,27985.5,0,20467.5,0,33180.5,0,20054.5,0,27982.5,0,15261.5,0,20666.5,0,4190.436,27.7,4114.212,55.559,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266
2 onder 1 kap,2006 - 2010,A,11.22181677,0.153789401,11.22181677,0.153789401,11.22181677,0.153789401,11.22181677,0.153789401,11.22181677,0.153789401,13.56585159,0.074649308,18,0.06,0,0,8.15,0,9.68,0,0,0.01296,7206.861,29.478,15926.905,15.519,870.975,32.194,3754.557,41.969,1382.559,10.706,1914.44,19.079,8852.044,34.093,10864.615,65.732,5366.489,33.164,9037.736,43.643,1315.889,47.497,1598.172,64.625,1358.135,17.72,972.372,35.687,21388.5,0,27985.5,0,20467.5,0,33180.5,0,20054.5,0,27982.5,0,15261.5,0,20666.5,0,4190.436,27.7,4114.212,55.559,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266
