"type_str"	"bouwjaar_str"	"eigendom_str"	"Vrv_N_asl"	"Vrv_N_opp"	"Vrv_G_asl"	"Vrv_G_opp"	"Vrv_F_asl"	"Vrv_F_opp"	"Vrv_E_asl"	"Vrv_E_opp"	"Vrv_D_asl"	"Vrv_D_opp"	"Vrv_C_asl"	"Vrv_C_opp"	"Vrv_B_asl"	"Vrv_B_opp"	"Vrv_A_asl"	"Vrv_A_opp"	"Vvt_asl"	"Vvt_opp"	"Vtw_asl"	"Vtw_opp"	"Vea_asl"	"Vea_opp"	"Vkd_asl"	"Vkd_opp"
"Vrijstaand"	"1992 - 1995"	"parthuur"	25.21081255	0.179014305	17.56029804	0.211441396	17.56029804	0.211441396	17.56029804	0.211441396	17.56029804	0.211441396	17.56029804	0.211441396	17.56029804	0.211441396	16.57394546	0.211441396	0	0	10.6	0	9.28	0	0	0.01296
"Vrijstaand"	"1992 - 1995"	"wooncorp"	23.30678481	0.18296857	17.56029804	0.211441396	17.56029804	0.211441396	17.56029804	0.211441396	17.56029804	0.211441396	17.56029804	0.211441396	17.56029804	0.211441396	16.57394546	0.211441396	0	0	10.6	0	9.28	0	0	0.01296
"Vrijstaand"	"1996 - 1999"	"koop"	21.36592304	0.176318389	25.44413041	0.171742811	25.44413041	0.171742811	25.44413041	0.171742811	25.44413041	0.171742811	25.44413041	0.171742811	25.44413041	0.171742811	20.74682749	0.171742811	0	0	10.6	0	9.28	0	0	0.01296
"Vrijstaand"	"1996 - 1999"	"parthuur"	31.92619464	0.142725146	25.44413041	0.171742811	25.44413041	0.171742811	25.44413041	0.171742811	25.44413041	0.171742811	25.44413041	0.171742811	25.44413041	0.171742811	20.74682749	0.171742811	0	0	10.6	0	9.28	0	0	0.01296
"Vrijstaand"	"1996 - 1999"	"wooncorp"	21.36592304	0.176318389	25.44413041	0.171742811	25.44413041	0.171742811	25.44413041	0.171742811	25.44413041	0.171742811	25.44413041	0.171742811	25.44413041	0.171742811	20.74682749	0.171742811	0	0	10.6	0	9.28	0	0	0.01296
"Vrijstaand"	"2000 - 2005"	"koop"	21.54531439	0.161459301	18.19016745	0.198752045	18.19016745	0.198752045	18.19016745	0.198752045	18.19016745	0.198752045	18.19016745	0.198752045	18.19016745	0.198752045	13.0733558	0.198752045	0	0	10.6	0	9.28	0	0	0.01296
"Vrijstaand"	"2000 - 2005"	"parthuur"	30.59918626	0.136913605	18.19016745	0.198752045	18.19016745	0.198752045	18.19016745	0.198752045	18.19016745	0.198752045	18.19016745	0.198752045	18.19016745	0.198752045	13.0733558	0.198752045	0	0	10.6	0	9.28	0	0	0.01296
"Vrijstaand"	"2000 - 2005"	"wooncorp"	45.03610163	0	7.85678093	0.178813133	7.85678093	0.178813133	7.85678093	0.178813133	7.85678093	0.178813133	7.85678093	0.178813133	7.85678093	0.178813133	7.85678093	0.178813133	0	0	10.6	0	9.28	0	0	0.01296
"Vrijstaand"	"2006 - 2010"	"koop"	24.19053525	0.144711894	15.90335251	0.18194391	15.90335251	0.18194391	15.90335251	0.18194391	15.90335251	0.18194391	15.90335251	0.18194391	15.90335251	0.18194391	15.90335251	0.18194391	0	0	10.6	0	9.28	0	0	0.01296
"Vrijstaand"	"2006 - 2010"	"parthuur"	43.40594291	0.074112235	15.90335251	0.18194391	15.90335251	0.18194391	15.90335251	0.18194391	15.90335251	0.18194391	15.90335251	0.18194391	15.90335251	0.18194391	15.90335251	0.18194391	0	0	10.6	0	9.28	0	0	0.01296
