utiliteittype_str;bouwjaar_str;categorie;V_WW;E_WW_GAS;E_WW_WARM;E_WW_ELEK;V_RV_vast;V_RV_var;V_RV_GL_vast;V_RV_GL_var;V_RV_CORR_vast;V_RV_CORR_var;V_P_ELEK;EG;E_RV_GAS;E_RV_WARM;E_RV_ELEK;V_KOU;E_KOU_ELEK;V_APP_ELEK;E_APP_ELEK;V_Vent;EnergieIndex;EnergieLabel;AC_WW;AC_RV;R_COLL;;;;MVB_EG_vast;MVB_eg_var;RB_FAC_B;MVB_EG_EUR_MIN_vast;MVB_EG_EUR_MIN_var;MVB_EG_EUR_MAX_vast;MVB_EG_EUR_MAX_var;MVC_EG_vast;MVC_EG_var;RB_FAC_C;MVC_EG_EUR_MIN_vast;MVC_EG_EUR_MIN_var;MVC_EG_EUR_MAX_vast;MVC_EG_EUR_MAX_var;MVF_EG_vast;MVF_EG_var;RB_FAC_F;MVF_EG_EUR_MIN_vast;MVF_EG_EUR_MIN_var;MVF_EG_EUR_MAX_vast;MVF_EG_EUR_MAX_var;MV_RV;K_LTAS_MIN;K_LTAS_MAX
Gezondheidszorg;0<=1920;utiliteit;0.038334258;0.72;1;nvt;1.116715465;0;1.116715465;0;1.116715465;0;0.01008;1;0.83;1;nvt;0.032290345;1.56;0.232;1;0;;G;0.04;0.09;0;;;;0.275409927;0;0;130.4139088;0;192.9990954;0;0.192786949;0;0;177.5622139;0;282.0956847;0;0.192786949;0;0;47.14830503;0;89.09658934;0;1.07;9.057688991;9.057688991
Gezondheidszorg;1920<=1975;utiliteit;0.038334258;0.72;1;nvt;0.818769066;0;0.818769066;0;0.818769066;0;0.01008;1;0.874559524;1;nvt;0.032290345;1.56;0.232;1;0;;E;0.04;0.09;0;;;;0.273129682;0;0;129.8590948;0;192.1396777;0;0.191190778;0;0;177.0073999;0;281.2362671;0;0.191190778;0;0;47.14830503;0;89.09658934;0;1.07;9.057688992;9.057688992
Gezondheidszorg;1975<=1990;utiliteit;0.038334258;0.72;1;nvt;0.460581719;0;0.460581719;0;0.460581719;0;0.01008;1;0.970988095;1;nvt;0.032290345;1.56;0.232;1;0;;C;0.04;0.09;0;;;;0.273288018;0;0;118.8824821;0;185.4057597;0;0.191301613;0;0;166.0307871;0;274.5023491;0;0.191301613;0;0;47.14830503;0;89.09658934;0;1.07;9.057688993;9.057688993
Gezondheidszorg;1990<=1995;utiliteit;0.038334258;0.72;1;nvt;0.453116019;0;0.453116019;0;0.453116019;0;0.01008;1;1.040664286;1;nvt;0.032290345;1.56;0.232;1;0;;B;0.04;0.09;0;;;;0.275165438;0;0;116.3151078;0;181.1304289;0;0.192615807;0;0;163.4634129;0;270.2270182;0;0.192615807;0;0;47.14830503;0;89.09658934;0;1.07;9.057688994;9.057688994
Gezondheidszorg;1995<=2015;utiliteit;0.038334258;0.72;1;nvt;0.377296416;0;0.377296416;0;0.377296416;0;0.01008;1;1.07;1;nvt;0.032290345;1.56;0.232;1;0;;B;0.04;0.09;0;;;;0.2792402;0;0;110.5493945;0;177.116187;0;0.19546814;0;0;157.6976995;0;266.2127763;0;0.19546814;0;0;47.14830503;0;89.09658934;0;1.07;9.057688995;9.057688995
Gezondheidszorg;onbekend;utiliteit;0.038334258;0.72;1;nvt;0.619830123;0;0.619830123;0;0.619830123;0;0.01008;1;0.971851268;1;nvt;0.032290345;1.56;0.232;1;0;;D;0.04;0.09;0;;;;0.288253506;0;0;119.8506868;0;184.6877653;0;0.201777454;0;0;166.9989918;0;273.7843546;0;0.201777454;0;0;47.14830503;0;89.09658934;0;1.07;9.057688996;9.057688996
Logies;0<=1920;utiliteit;0.03745301;0.72;1;nvt;0.723986115;0;0.723986115;0;0.723986115;0;0.01008;1;0.8348;1;nvt;0.155846796;1.56;0.089;1;0;;G;0.04;0.0978;0;;;;0.198224152;0;0;127.4440225;0;180.5538576;0;0.138756906;0;0;170.9153254;0;253.3759051;0;0.138756906;0;0;43.47130293;0;72.8220475;0;1.07;9.057688997;9.057688997
Logies;1920<=1975;utiliteit;0.03745301;0.72;1;nvt;0.582886015;0;0.582886015;0;0.582886015;0;0.01008;1;0.9406;1;nvt;0.155846796;1.56;0.089;1;0;;E;0.04;0.0978;0;;;;0.198224152;0;0;126.910966;0;179.7705908;0;0.138756906;0;0;170.3822689;0;252.5926383;0;0.138756906;0;0;43.47130293;0;72.8220475;0;1.07;9.057688998;9.057688998
Logies;1975<=1990;utiliteit;0.03745301;0.72;1;nvt;0.323539149;0;0.323539149;0;0.323539149;0;0.01008;1;1;1;nvt;0.155846796;1.56;0.089;1;0;;C;0.04;0.0978;0;;;;0.198224152;0;0;117.6531885;0;173.7546673;0;0.138756906;0;0;161.1353701;0;246.5767148;0;0.138756906;0;0;43.48218163;0;72.8220475;0;1.07;9.057688999;9.057688999
Logies;1990<=1995;utiliteit;0.03745301;0.72;1;nvt;0.302422208;0;0.302422208;0;0.302422208;0;0.01008;1;10168;1;nvt;0.155846796;1.56;0.089;1;0;;B;0.04;0.0978;0;;;;0.198224152;0;0;115.1619652;0;169.8383337;0;0.138756906;0;0;158.6441468;0;242.6603812;0;0.138756906;0;0;43.48218163;0;72.8220475;0;1.07;9.057689000;9.057689000
Logies;1995<=2015;utiliteit;0.03745301;0.72;1;nvt;0.259615483;0;0.259615483;0;0.259615483;0;0.01008;1;1.07;1;nvt;0.155846796;1.56;0.089;1;0;;B;0.04;0.0978;0;;;;0.198224152;0;0;110.2665482;0;166.2483612;0;0.138756906;0;0;153.7487298;0;239.0704087;0;0.138756906;0;0;43.48218163;0;72.8220475;0;1.07;9.057689001;9.057689001
Logies;onbekend;utiliteit;0.03745301;0.72;1;nvt;0.400588267;0;0.400588267;0;0.400588267;0;0.01008;1;1.003822942;1;nvt;0.155846796;1.56;0.089;1;0;;D;0.04;0.0978;0;;;;0.205033605;0;0;117.3268274;0;172.144619;0;0.143523524;0;0;160.7981303;0;244.9666665;0;0.143523524;0;0;43.47130293;0;72.8220475;0;1.07;9.057689002;9.057689002
Onderwijs;0<=1920;utiliteit;0.004616057;0.72;1;nvt;0.517455923;0;0.517455923;0;0.517455923;0;0.01008;1;0.83;1;nvt;0.004133429;1.56;0.151;1;0;;G;0.04;0.15;0;;;;0.111871429;0;0;123.6473546;0;196.3062215;0;0.07831;0;0;166.1286955;0;305.4631418;0;0.07831;0;0;42.48134083;0;109.1569203;0;1.07;9.057689003;9.057689003
Onderwijs;1920<=1975;utiliteit;0.004616057;0.72;1;nvt;0.390441057;0;0.390441057;0;0.390441057;0;0.01008;1;0.9062;1;nvt;0.004133429;1.56;0.151;1;0;;E;0.04;0.15;0;;;;0.111885195;0;0;123.1360555;0;195.4359252;0;0.078319636;0;0;165.628275;0;304.5928455;0;0.078319636;0;0;42.49221952;0;109.1569203;0;1.07;9.057689004;9.057689004
Onderwijs;1975<=1990;utiliteit;0.004616057;0.72;1;nvt;0.208941646;0;0.208941646;0;0.208941646;0;0.01008;1;1;1;nvt;0.004133429;1.56;0.151;1;0;;C;0.04;0.15;0;;;;0.111932551;0;0;109.8205213;0;188.2015868;0;0.078352785;0;0;152.3018621;0;297.3585071;0;0.078352785;0;0;42.48134083;0;109.1569203;0;1.07;9.057689005;9.057689005
Onderwijs;1990<=1995;utiliteit;0.004616057;0.72;1;nvt;0.201582601;0;0.201582601;0;0.201582601;0;0.01008;1;1.0665;1;nvt;0.004133429;1.56;0.151;1;0;;B;0.04;0.15;0;;;;0.11194225;0;0;107.6339017;0;183.8936198;0;0.078359575;0;0;150.1152425;0;293.0396614;0;0.078359575;0;0;42.48134083;0;109.1569203;0;1.07;9.057689006;9.057689006
