"type_str"	"bouwjaar_str"	"eigendom_str"	"Vrv_N_asl"	"Vrv_N_opp"	"Vrv_G_asl"	"Vrv_G_opp"	"Vrv_F_asl"	"Vrv_F_opp"	"Vrv_E_asl"	"Vrv_E_opp"	"Vrv_D_asl"	"Vrv_D_opp"	"Vrv_C_asl"	"Vrv_C_opp"	"Vrv_B_asl"	"Vrv_B_opp"	"Vrv_A_asl"	"Vrv_A_opp"	"Vvt_asl"	"Vvt_opp"	"Vtw_asl"	"Vtw_opp"	"Vea_asl"	"Vea_opp"	"Vkd_asl"	"Vkd_opp"	"freq_label_A"	"freq_label_B"	"freq_label_C"	"freq_label_D"	"freq_label_E"	"freq_label_F"	"freq_label_G"
"Vrijstaand"	"1975 - 1991"	"koop"	28.2055484629	0.159336913	31.6720393621	0.1642948777	31.6720393621	0.1642948777	31.6720393621	0.1642948777	31.6720393621	0.1642948777	28.3824914284	0.1642948777	23.7758345314	0.1642948777	23.7758345314	0.1642948777	0	0.0089	9.7	0	9.46	0	0	0.01296	0.067	0.095	0.293	0.243	0.192	0.102	0.009
"Vrijstaand"	"1975 - 1991"	"parthuur"	29.4014388459	0.1570287626	19.8208856034	0.2026143273	19.8208856034	0.2026143273	19.8208856034	0.2026143273	19.8208856034	0.2026143273	19.8208856034	0.2026143273	19.8208856034	0.2026143273	19.8208856034	0.2026143273	0	0.0089	9.7	0	9.46	0	0	0.01296	0.067	0.095	0.293	0.243	0.192	0.102	0.009
"Vrijstaand"	"1975 - 1991"	"wooncorp"	28.2354580318	0.0944698637	22.4425577951	0.1496043743	22.4425577951	0.1496043743	22.4425577951	0.1496043743	22.4425577951	0.1496043743	22.4425577951	0.1496043743	10.2137790065	0.1496043743	10.2137790065	0.1496043743	0	0.0089	9.7	0	9.46	0	0	0.01296	0.067	0.095	0.293	0.243	0.192	0.102	0.009
"Vrijstaand"	"1992 - 1995"	"koop"	21.4184592766	0.1681443793	16.1375552879	0.1943103249	16.1375552879	0.1943103249	16.1375552879	0.1943103249	16.1375552879	0.1943103249	16.1375552879	0.1943103249	16.1375552879	0.1943103249	15.2311174098	0.1943103249	0	0	10.6	0	9.28	0	0	0.01296	0.067	0.095	0.293	0.243	0.192	0.102	0.009
"Vrijstaand"	"1992 - 1995"	"parthuur"	23.1682218862	0.1645104905	16.1375552879	0.1943103249	16.1375552879	0.1943103249	16.1375552879	0.1943103249	16.1375552879	0.1943103249	16.1375552879	0.1943103249	16.1375552879	0.1943103249	15.2311174098	0.1943103249	0	0	10.6	0	9.28	0	0	0.01296	0.067	0.095	0.293	0.243	0.192	0.102	0.009
"Vrijstaand"	"1992 - 1995"	"wooncorp"	21.4184592766	0.1681443793	16.1375552879	0.1943103249	16.1375552879	0.1943103249	16.1375552879	0.1943103249	16.1375552879	0.1943103249	16.1375552879	0.1943103249	16.1375552879	0.1943103249	15.2311174098	0.1943103249	0	0	10.6	0	9.28	0	0	0.01296	0.067	0.095	0.293	0.243	0.192	0.102	0.009
"Vrijstaand"	"1996 - 1999"	"koop"	19.6348469456	0.1620329988	23.3826362348	0.157828136	23.3826362348	0.157828136	23.3826362348	0.157828136	23.3826362348	0.157828136	23.3826362348	0.157828136	23.3826362348	0.157828136	19.0659107781	0.157828136	0	0	10.6	0	9.28	0	0	0.01296	0.159	0.171	0.558	0.102	0.010	0.000	0.000
"Vrijstaand"	"1996 - 1999"	"parthuur"	29.3395208875	0.1311614945	23.3826362348	0.157828136	23.3826362348	0.157828136	23.3826362348	0.157828136	23.3826362348	0.157828136	23.3826362348	0.157828136	23.3826362348	0.157828136	19.0659107781	0.157828136	0	0	10.6	0	9.28	0	0	0.01296	0.159	0.171	0.558	0.102	0.010	0.000	0.000
"Vrijstaand"	"1996 - 1999"	"wooncorp"	19.6348469456	0.1620329988	23.3826362348	0.157828136	23.3826362348	0.157828136	23.3826362348	0.157828136	23.3826362348	0.157828136	23.3826362348	0.157828136	23.3826362348	0.157828136	19.0659107781	0.157828136	0	0	10.6	0	9.28	0	0	0.01296	0.159	0.171	0.558	0.102	0.010	0.000	0.000
"Vrijstaand"	"2000 - 2005"	"koop"	19.7997039328	0.1483778003	16.7163924127	0.1826490705	16.7163924127	0.1826490705	16.7163924127	0.1826490705	16.7163924127	0.1826490705	16.7163924127	0.1826490705	16.7163924127	0.1826490705	12.0141470002	0.1826490705	0	0	10.6	0	9.28	0	0	0.01296	0.159	0.171	0.558	0.102	0.010	0.000	0.000
