woningtype_str,bouwjaar_str,,V_WW,E_WW_GAS,E_WW_WARM,E_WW_ELEK,V_RV_vast,V_RV_var,V_RV_GL_vast,V_RV_GL_var,V_RV_CORR_vast,V_RV_CORR_var,V_P_ELEK,EG,E_RV_GAS,E_RV_WARM,E_RV_ELEK,V_KOU,E_KOU_ELEK,V_APP_ELEK,E_APP_ELEK,V_Vent,EnergieIndex,EnergieLabel,AC_WW,AC_RV,R_COLL,,,,,,MVA_EG_vast,MVA_eg_var,RB_FAC_A,MVA_EG_EUR_MIN_vast,MVA_EG_EUR_MIN_var,MVA_EG_EUR_MAX_vast,MVA_EG_EUR_MAX_var,MVB_EG_vast,MVB_EG_var,RB_FAC_B,MVB_EG_EUR_MIN_vast,MVB_EG_EUR_MIN_var,MVB_EG_EUR_MAX_vast,MVB_EG_EUR_MAX_var,MVC_EG_vast,MVC_EG_var,RB_FAC_C,MVC_EG_EUR_MIN_vast,MVC_EG_EUR_MIN_var,MVC_EG_EUR_MAX_vast,MVC_EG_EUR_MAX_var,MVD_EG_vast,MVD_EG_var,RB_FAC_D,MVD_EG_EUR_MIN_vast,MVD_EG_EUR_MIN_var,MVD_EG_EUR_MAX_vast,MVD_EG_EUR_MAX_var,MVE_EG_vast,MVE_EG_var,RB_FAC_E,MVE_EG_EUR_MIN_vast,MVE_EG_EUR_MIN_var,MVE_EG_EUR_MAX_vast,MVE_EG_EUR_MAX_var,MVF_EG_vast,MVF_EG_var,RB_FAC_F,MVF_EG_EUR_MIN_vast,MVF_EG_EUR_MIN_var,MVF_EG_EUR_MAX_vast,MVF_EG_EUR_MAX_var,MV_RV,K_LTAS_MIN,K_LTAS_MAX,VL_OPP_WON_MIN,VL_OPP_WON_MAX
2 onder 1 kap,1992 - 2005,,8.15,0.72,1,nvt,18.49229286,0.136154846,31.19629599,0.093267525,15.56329562,0.175440397,0.01008,1,1.07,1,nvt,0.01296,nvt,9.68,1,0,1.36,B,4,7.5,0,,,,,,,,0,,,,,,,0,,,,,17.22427744,0.149766193,0,14223.53468,52.49874438,30258.58367,171.0844266,,,0,,,,,,,0,,,,,17.22427744,0.149766193,0,14223.53468,52.49874438,30258.58367,171.0844266,1.07,957.5098039,3221.918627,132,132
2 onder 1 kap,2006 - 2014,,8.15,0.72,1,nvt,17.54676275,0.081358673,25.53466095,0.077839981,15.56329562,0.175440397,0.01008,1,1.07,1,nvt,0.01296,nvt,9.68,1,0,0.9,A,4,7.5,0,,,,,,,,0,,,,,,,0,,,,,14.98470807,0.13211988,0,15339.77046,52.49874438,32116.98548,171.0844266,,,0,,,,,,,0,,,,,14.98470807,0.13211988,0,15339.77046,52.49874438,32116.98548,171.0844266,1.07,957.5098039,3221.918627,132,132
rijwoning tussen,voor 1946,,8.6,0.72,1,nvt,31.41286338,0.176359286,33.97878456,0.166580731,,,0.01008,1,1.07,1,nvt,0.01296,nvt,9.98,1,0.008135673,2.11,G,4,7,0,,,,,,22.45275062,0.237571742,0,-1848.345513,68.48175411,-2402.663122,85.89713378,18.4569815,0.208996898,0,6626.963435,94.30749498,8520.116126,131.0101271,17.00196228,0.191657316,0,9690.957549,97.3859489,15829.73801,239.4478288,18.4569815,0.208996898,0,8478.924651,25.82574086,10926.39495,45.11299335,17.00196228,0.191657316,0,11570.92667,27.73253056,18273.50864,152.0810686,17.00196228,0.191657316,0,2950.612439,1.464933358,7163.849984,106.1962305,1.07,957.5098039,3221.918627,102,102
rijwoning tussen,1946 - 1964,,8.6,0.72,1,nvt,32.35228215,0.156333708,42.00894726,0.10309707,31.43881139,0.177859941,0.01008,1,1.07,1,nvt,0.01296,nvt,10.13,1,0.007684654,2.06,F,4,7,0,,,,,,24.94328396,0.154689032,0,1684.660687,10.19103784,5614.730013,2.802416215,21.48121801,0.156277766,0,10708.68772,-1.293327631,15409.1987,-6.036789851,23.33163048,0.12375417,0,18346.19553,-2.099545134,38034.41128,-15.77830072,21.48121801,0.156277766,0,9007.372888,-11.48436547,9777.814538,-8.839206067,23.33163048,0.12375417,0,16632.71174,-12.46494291,32323.61804,-18.62866388,23.33163048,0.12375417,0,7454.291324,-0.784089773,22361.57437,-9.638226561,1.07,957.5098039,3221.918627,87,87
rijwoning tussen,1965 - 1974,,8.6,0.72,1,nvt,31.05950933,0.130495178,41.80701974,0.092764081,26.42369684,0.175378382,0.01008,1,1.07,1,nvt,0.01296,nvt,9.94,1,0.007517702,2.18,E,4,7,0,,,,,,,,0,,,,,18.86269635,0.167998599,0,7563.468918,20.34321924,7049.769865,59.47894006,20.14007601,0.154107242,0,14239.62379,40.4339827,17660.2271,193.1724554,,,0,,,,,,,0,,,,,20.14007601,0.154107242,0,6546.750392,19.74270838,10489.8417,132.6758816,1.07,957.5098039,3221.918627,106,106
rijwoning tussen,1975 - 1991,,8.6,0.72,1,nvt,25.87026527,0.09868133,33.94243697,0.095654634,31.90235196,0.086370592,0.01008,1,1.07,1,nvt,0.01296,nvt,9.94,1,0.003662524,1.66,C,4,7,0,,,,,,,,0,,,,,12.03822754,0.202509939,0,4098.058644,27.12510994,5396.238919,38.84758603,14.74246747,0.178200064,0,9039.602371,89.49078856,17179.90248,197.7038197,,,0,,,,,,,0,,,,,14.74246747,0.178200064,0,4871.429449,61.9015912,11691.33853,158.1915847,1.07,957.5098039,3221.918627,106,106
rijwoning tussen,1992 - 2005,,7.1,0.72,1,nvt,8.344814251,0.244886574,23.11754889,0.15375146,1.434018607,0.289547973,0.01008,1,1.07,1,nvt,0.01296,nvt,9.86,1,0,1.37,B,4,7,0,,,,,,,,0,,,,,18.917585,0.108473303,0,2682.168708,13.77581861,1211.800586,47.06579914,10.10661119,0.179068274,0,-7413.326308,179.1327645,-20432.27606,471.2746464,,,0,,,,,,,0,,,,,10.10661119,0.179068274,0,-6833.431212,165.1212535,-18356.8561,423.4035917,1.07,957.5098039,3221.918627,114,114
rijwoning tussen,2006 - 2014,,6.35,0.72,1,nvt,12.91820537,0.112867276,18.31889528,0.096571843,14.7040132,0.106975852,0.01008,1,1.07,1,nvt,0.01296,nvt,9.86,1,0,0.9,A,4,7,0,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,1.07,957.5098039,3221.918627,114,114
rijwoning hoek,voor 1946,,7.3,0.72,1,nvt,21.11307841,0.18304998,24.4320357,0.173675905,20.28234714,0.194203769,0.01008,1,1.07,1,nvt,0.01296,nvt,9.98,1,0.007035359,2.11,G,4,7,0,,,,,,15.29737154,0.200884598,0,582.7821135,15.61363647,732.1006286,17.90684779,14.50015859,0.17708795,0,5758.44723,59.42962306,7556.899203,88.48141665,10.32697407,0.199688257,0,10115.33268,92.50807379,17135.0166,224.4446266,14.50015859,0.17708795,0,5170.241562,43.81598659,6819.375021,70.57456886,10.32697407,0.199688257,0,9522.579667,76.62730135,16390.39036,206.2314079,10.32697407,0.199688257,0,4258.363348,32.06166072,9448.825319,134.4493686,1.07,957.5098039,3221.918627,102,102
rijwoning hoek,1946 - 1964,,7.3,0.72,1,nvt,30.06370424,0.087862965,32.59530891,0.107591733,21.98701441,0.193355696,0.01008,1,1.07,1,nvt,0.01296,nvt,10.13,1,0.007829621,2.06,F,4,7,0,,,,,,18.76874054,0.151231856,0,3005.373274,5.052526305,3893.79108,18.25197742,17.38567375,0.137537413,0,10268.70083,4.167644728,14960.63675,5.385536636,21.87086888,0.090647959,0,17578.10246,6.729110872,35492.2854,13.44153691,17.38567375,0.137537413,0,7268.751114,-0.884881577,11072.26922,-12.86644078,21.87086888,0.090647959,0,14521.30982,1.590140164,31531.87489,-5.122716223,21.87086888,0.090647959,0,7133.712937,2.490161308,20275.68496,7.963858352,1.07,957.5098039,3221.918627,87,87
