"gem2020"	"wijk2020"	"W"	"E"	"Verschilfactor_totaal"
"GM0010"	"WK001007"	2	2	0.955214046
"GM0010"	"WK001007"	3	0	0.976376821
"GM0010"	"WK001007"	3	1	1.041667652
"GM0010"	"WK001007"	3	2	1.041667652
"GM0010"	"WK001007"	4	0	1.017330984
"GM0010"	"WK001007"	4	1	1.067057725
"GM0010"	"WK001007"	4	2	1.067057725
"GM0010"	"WK001007"	5	0	0.943503091
"GM0010"	"WK001007"	5	1	0.943503091
"GM0010"	"WK001007"	5	2	0.943503091
"GM0010"	"WK001007"	6	0	0.943503091
"GM0010"	"WK001007"	6	1	0.943503091
"GM0010"	"WK001007"	6	2	0.943503091
"GM0010"	"WK001008"	1	0	0.98805624
"GM0010"	"WK001008"	1	1	0.98805624
"GM0010"	"WK001008"	1	2	0.98805624
"GM0010"	"WK001008"	2	0	0.98805624
"GM0010"	"WK001008"	2	1	0.98805624
"GM0010"	"WK001008"	2	2	0.98805624
"GM0010"	"WK001008"	3	0	0.98805624
"GM0010"	"WK001008"	3	1	0.98805624
"GM0010"	"WK001008"	3	2	0.98805624
"GM0010"	"WK001008"	4	0	0.98805624
"GM0010"	"WK001008"	4	1	0.98805624
"GM0010"	"WK001008"	4	2	0.98805624
"GM0010"	"WK001008"	5	0	0.98805624
"GM0010"	"WK001008"	5	1	0.98805624
"GM0010"	"WK001008"	5	2	0.98805624
"GM0010"	"WK001008"	6	0	0.98805624
"GM0010"	"WK001008"	6	1	0.98805624
"GM0010"	"WK001008"	6	2	0.98805624
"GM0010"	"WK001009"	1	0	0.932680831
"GM0010"	"WK001009"	1	1	0.932191008
"GM0010"	"WK001009"	1	2	0.932191008
"GM0010"	"WK001009"	2	0	0.969578006
"GM0010"	"WK001009"	2	1	0.979922131
"GM0010"	"WK001009"	2	2	1.009180522
"GM0010"	"WK001009"	3	0	1.048094295
"GM0010"	"WK001009"	3	1	1.100614102
"GM0010"	"WK001009"	3	2	1.152029601
"GM0010"	"WK001009"	4	0	1.150609326
"GM0010"	"WK001009"	4	1	1.171018554
"GM0010"	"WK001009"	4	2	1.201128811
"GM0010"	"WK001009"	5	0	0.970306975
"GM0010"	"WK001009"	5	1	0.970306975
"GM0010"	"WK001009"	5	2	0.970306975
"GM0010"	"WK001009"	6	0	0.970306975
"GM0010"	"WK001009"	6	1	0.970306975
"GM0010"	"WK001009"	6	2	0.970306975
"GM0014"	"WK001400"	1	0	0.983661077
"GM0014"	"WK001400"	1	1	0.983661077
"GM0014"	"WK001400"	1	2	0.983661077
"GM0014"	"WK001400"	2	0	0.983661077
"GM0014"	"WK001400"	2	1	0.983661077
"GM0014"	"WK001400"	2	2	0.983661077
"GM0014"	"WK001400"	3	0	0.995130703
"GM0014"	"WK001400"	3	1	0.994242158
"GM0014"	"WK001400"	3	2	0.994242158
"GM0014"	"WK001400"	4	0	0.988675261
"GM0014"	"WK001400"	4	1	1.03950458
"GM0014"	"WK001400"	4	2	1.015518811
"GM0014"	"WK001400"	5	0	1.015877509
"GM0014"	"WK001400"	5	1	0.974304095
"GM0014"	"WK001400"	5	2	0.961796353
"GM0014"	"WK001400"	6	0	0.969724805
"GM0014"	"WK001400"	6	1	0.985003082
"GM0014"	"WK001400"	6	2	0.922779621
"GM0014"	"WK001401"	1	0	0.992729924
"GM0014"	"WK001401"	1	1	0.992729924
"GM0014"	"WK001401"	1	2	0.992729924
"GM0014"	"WK001401"	2	0	0.980399906
"GM0014"	"WK001401"	2	1	0.980399906
"GM0014"	"WK001401"	2	2	0.980399906
"GM0014"	"WK001401"	3	0	0.958592159
"GM0014"	"WK001401"	3	1	0.962811035
"GM0014"	"WK001401"	3	2	0.962811035
"GM0014"	"WK001401"	4	0	0.930556107
"GM0014"	"WK001401"	4	1	1.014982723
"GM0014"	"WK001401"	4	2	1.031636123
"GM0014"	"WK001401"	5	0	0.984266966
"GM0014"	"WK001401"	5	1	1.013284952
"GM0014"	"WK001401"	5	2	0.977278313
"GM0014"	"WK001401"	6	0	1.082374187
"GM0014"	"WK001401"	6	1	1.061075433
"GM0014"	"WK001401"	6	2	0.959818513
"GM0014"	"WK001402"	1	0	0.970991207
"GM0014"	"WK001402"	1	1	0.970991207
"GM0014"	"WK001402"	1	2	0.970991207
"GM0014"	"WK001402"	2	0	0.970991207
"GM0014"	"WK001402"	2	1	0.970991207
"GM0014"	"WK001402"	2	2	0.970991207
"GM0014"	"WK001402"	3	0	0.977314689
"GM0014"	"WK001402"	3	1	0.984774233
"GM0014"	"WK001402"	3	2	0.984774233
"GM0014"	"WK001402"	4	0	0.925189729
"GM0014"	"WK001402"	4	1	1.00039584
"GM0014"	"WK001402"	4	2	0.989697768
"GM0014"	"WK001402"	5	0	0.978205394
"GM0014"	"WK001402"	5	1	1.052998893
"GM0014"	"WK001402"	5	2	0.908296337
"GM0014"	"WK001402"	6	0	0.971244579
"GM0014"	"WK001402"	6	1	1.007336128
"GM0014"	"WK001402"	6	2	0.863281245
"GM0014"	"WK001403"	1	0	0.994935712
"GM0014"	"WK001403"	1	1	0.994935712
"GM0014"	"WK001403"	1	2	0.994935712
"GM0014"	"WK001403"	2	0	0.994935712
"GM0014"	"WK001403"	2	1	0.994935712
"GM0014"	"WK001403"	2	2	0.994935712
"GM0014"	"WK001403"	3	0	1.018143827
"GM0014"	"WK001403"	3	1	1.044266235
"GM0014"	"WK001403"	3	2	1.031049433
"GM0014"	"WK001403"	4	0	0.944550521
"GM0014"	"WK001403"	4	1	0.976866756
"GM0014"	"WK001403"	4	2	1.0287338
"GM0014"	"WK001403"	5	0	1.000774215
"GM0014"	"WK001403"	5	1	1.056054246
"GM0014"	"WK001403"	5	2	0.969628082
"GM0014"	"WK001403"	6	0	1.081333545
"GM0014"	"WK001403"	6	1	1.149252405
"GM0014"	"WK001403"	6	2	0.897472331
"GM0014"	"WK001404"	1	0	0.937678289
"GM0014"	"WK001404"	1	1	0.937678289
"GM0014"	"WK001404"	1	2	0.937678289
"GM0014"	"WK001404"	2	0	0.927645224
"GM0014"	"WK001404"	2	1	0.927645224
"GM0014"	"WK001404"	2	2	0.927645224
"GM0014"	"WK001404"	3	0	0.87888103
"GM0014"	"WK001404"	3	1	0.884584307
"GM0014"	"WK001404"	3	2	0.894043055
"GM0014"	"WK001404"	4	0	0.859234258
"GM0014"	"WK001404"	4	1	0.888167553
"GM0014"	"WK001404"	4	2	0.922678288
"GM0014"	"WK001404"	5	0	0.963176615
"GM0014"	"WK001404"	5	1	1.023097543
"GM0014"	"WK001404"	5	2	0.911436507
"GM0014"	"WK001404"	6	0	1.09144724
"GM0014"	"WK001404"	6	1	1.02751145
"GM0014"	"WK001404"	6	2	0.895435201
"GM0014"	"WK001405"	1	0	0.911193044
"GM0014"	"WK001405"	1	1	0.911193044
"GM0014"	"WK001405"	1	2	0.911193044
"GM0014"	"WK001405"	2	0	0.911193044
"GM0014"	"WK001405"	2	1	0.911193044
"GM0014"	"WK001405"	2	2	0.911193044
"GM0014"	"WK001405"	3	0	0.911193044
"GM0014"	"WK001405"	3	1	0.911193044
"GM0014"	"WK001405"	3	2	0.911193044
"GM0014"	"WK001405"	4	0	0.98932581
"GM0014"	"WK001405"	4	1	0.997580788
"GM0014"	"WK001405"	4	2	0.997580788
"GM0014"	"WK001405"	5	0	0.911193044
"GM0014"	"WK001405"	5	1	0.911193044
"GM0014"	"WK001405"	5	2	0.911193044
"GM0014"	"WK001405"	6	0	0.84772693
"GM0014"	"WK001405"	6	1	0.776430798
"GM0014"	"WK001405"	6	2	0.897295705
"GM0014"	"WK001406"	1	0	1.090914173
"GM0014"	"WK001406"	1	1	1.08812766
"GM0014"	"WK001406"	1	2	1.08812766
"GM0014"	"WK001406"	2	0	1.058426824
"GM0014"	"WK001406"	2	1	1.056380386
"GM0014"	"WK001406"	2	2	1.056380386
"GM0014"	"WK001406"	3	0	1.010959988
"GM0014"	"WK001406"	3	1	1.020370367
"GM0014"	"WK001406"	3	2	1.020370367
"GM0014"	"WK001406"	4	0	1.001001564
"GM0014"	"WK001406"	4	1	0.917600959
"GM0014"	"WK001406"	4	2	1.148656393
"GM0014"	"WK001406"	5	0	0.979610998
"GM0014"	"WK001406"	5	1	0.972344119
"GM0014"	"WK001406"	5	2	0.89829004
"GM0014"	"WK001406"	6	0	0.980264162
"GM0014"	"WK001406"	6	1	1.001948817
"GM0014"	"WK001406"	6	2	0.961428048
"GM0014"	"WK001407"	1	0	0.99282555
"GM0014"	"WK001407"	1	1	0.993228649
"GM0014"	"WK001407"	1	2	0.993228649
"GM0014"	"WK001407"	2	0	1.031150232
"GM0014"	"WK001407"	2	1	1.029420307
"GM0014"	"WK001407"	2	2	1.029420307
"GM0014"	"WK001407"	3	0	0.977009237
"GM0014"	"WK001407"	3	1	0.978030603
"GM0014"	"WK001407"	3	2	0.921824622
"GM0014"	"WK001407"	4	0	0.971417265
"GM0014"	"WK001407"	4	1	1.10345837
"GM0014"	"WK001407"	4	2	0.918023365
"GM0014"	"WK001407"	5	0	0.907587195
"GM0014"	"WK001407"	5	1	0.936087134
"GM0014"	"WK001407"	5	2	0.936407998
"GM0014"	"WK001407"	6	0	0.926795102
"GM0014"	"WK001407"	6	1	0.900051315
"GM0014"	"WK001407"	6	2	0.958818193
"GM0014"	"WK001408"	1	0	0.9505707
"GM0014"	"WK001408"	1	1	0.957020238
"GM0014"	"WK001408"	1	2	0.957020238
"GM0014"	"WK001408"	2	0	0.92753836
"GM0014"	"WK001408"	2	1	0.933980604
"GM0014"	"WK001408"	2	2	0.948088158
"GM0014"	"WK001408"	3	0	0.953970309
"GM0014"	"WK001408"	3	1	0.985267085
"GM0014"	"WK001408"	3	2	1.058074841
"GM0014"	"WK001408"	4	0	0.973188989
"GM0014"	"WK001408"	4	1	1.064371194
"GM0014"	"WK001408"	4	2	0.988820704
"GM0014"	"WK001408"	5	0	1.01056696
"GM0014"	"WK001408"	5	1	1.060611372
"GM0014"	"WK001408"	5	2	0.984421532
"GM0014"	"WK001408"	6	0	0.892960773
"GM0014"	"WK001408"	6	1	0.892960773
"GM0014"	"WK001408"	6	2	0.943359971
"GM0014"	"WK001409"	1	0	0.938373931
"GM0014"	"WK001409"	1	1	0.939421021
"GM0014"	"WK001409"	1	2	0.939421021
"GM0014"	"WK001409"	2	0	0.909770052
"GM0014"	"WK001409"	2	1	0.909525612
"GM0014"	"WK001409"	2	2	0.909525612
"GM0014"	"WK001409"	3	0	0.949052223
"GM0014"	"WK001409"	3	1	0.990056688
"GM0014"	"WK001409"	3	2	1.087124594
"GM0014"	"WK001409"	4	0	0.934804603
"GM0014"	"WK001409"	4	1	1.033984983
"GM0014"	"WK001409"	4	2	1.097573003
"GM0014"	"WK001409"	5	0	0.954691929
"GM0014"	"WK001409"	5	1	0.836985893
"GM0014"	"WK001409"	5	2	0.961812667
"GM0014"	"WK001409"	6	0	0.879609988
"GM0014"	"WK001409"	6	1	0.900380658
"GM0014"	"WK001409"	6	2	0.900225357
"GM0014"	"WK001410"	1	0	1.009120271
"GM0014"	"WK001410"	1	1	1.009120271
"GM0014"	"WK001410"	1	2	1.009120271
"GM0014"	"WK001410"	2	0	1.008308182
"GM0014"	"WK001410"	2	1	1.015744175
"GM0014"	"WK001410"	2	2	1.015744175
"GM0014"	"WK001410"	3	0	0.999982787
"GM0014"	"WK001410"	3	1	1.049627831
"GM0014"	"WK001410"	3	2	1.127058598
"GM0014"	"WK001410"	4	0	1.028060352
"GM0014"	"WK001410"	4	1	1.143121322
"GM0014"	"WK001410"	4	2	1.068913923
"GM0014"	"WK001410"	5	0	0.923959873
"GM0014"	"WK001410"	5	1	0.924900006
"GM0014"	"WK001410"	5	2	1.046096983
"GM0014"	"WK001410"	6	0	0.971319276
"GM0014"	"WK001410"	6	1	0.88880352
"GM0014"	"WK001410"	6	2	0.953148105
"GM0014"	"WK001411"	1	0	0.937629488
"GM0014"	"WK001411"	1	1	0.935889994
"GM0014"	"WK001411"	1	2	0.935889994
"GM0014"	"WK001411"	2	0	0.89104282
"GM0014"	"WK001411"	2	1	0.889487606
"GM0014"	"WK001411"	2	2	0.889487606
"GM0014"	"WK001411"	3	0	0.938387525
"GM0014"	"WK001411"	3	1	1.011565834
"GM0014"	"WK001411"	3	2	1.008093392
"GM0014"	"WK001411"	4	0	0.917878634
"GM0014"	"WK001411"	4	1	1.030635095
"GM0014"	"WK001411"	4	2	1.010690586
"GM0014"	"WK001411"	5	0	0.805620082
"GM0014"	"WK001411"	5	1	0.865861868
"GM0014"	"WK001411"	5	2	0.969277405
"GM0014"	"WK001411"	6	0	0.952342243
"GM0014"	"WK001411"	6	1	0.952342243
"GM0014"	"WK001411"	6	2	0.952342243
"GM0014"	"WK001412"	1	0	0.965740886
"GM0014"	"WK001412"	1	1	0.970401729
"GM0014"	"WK001412"	1	2	0.970401729
"GM0014"	"WK001412"	2	0	0.925883445
"GM0014"	"WK001412"	2	1	0.931793557
"GM0014"	"WK001412"	2	2	0.931793557
"GM0014"	"WK001412"	3	0	0.909000752
"GM0014"	"WK001412"	3	1	0.924476223
"GM0014"	"WK001412"	3	2	0.96962405
"GM0014"	"WK001412"	4	0	0.899469683
"GM0014"	"WK001412"	4	1	0.922051429
"GM0014"	"WK001412"	4	2	0.990458634
"GM0014"	"WK001412"	5	0	0.956336181
"GM0014"	"WK001412"	5	1	0.934496089
"GM0014"	"WK001412"	5	2	1.023405578
"GM0014"	"WK001412"	6	0	1.037048234
"GM0014"	"WK001412"	6	1	1.037048234
"GM0014"	"WK001412"	6	2	1.037048234
"GM0014"	"WK001413"	1	0	1.018277239
"GM0014"	"WK001413"	1	1	1.015512947
"GM0014"	"WK001413"	1	2	1.015512947
"GM0014"	"WK001413"	2	0	0.982927525
"GM0014"	"WK001413"	2	1	0.986371983
"GM0014"	"WK001413"	2	2	0.986371983
"GM0014"	"WK001413"	3	0	1.017422477
"GM0014"	"WK001413"	3	1	1.017422477
"GM0014"	"WK001413"	3	2	1.017422477
"GM0014"	"WK001413"	4	0	1.017422477
"GM0014"	"WK001413"	4	1	1.017422477
"GM0014"	"WK001413"	4	2	1.017422477
"GM0014"	"WK001413"	5	0	1.017422477
"GM0014"	"WK001413"	5	1	1.017422477
"GM0014"	"WK001413"	5	2	1.017422477
"GM0014"	"WK001413"	6	0	1.017422477
"GM0014"	"WK001413"	6	1	1.017422477
"GM0014"	"WK001413"	6	2	1.017422477
"GM0014"	"WK001414"	1	0	0.947467996
"GM0014"	"WK001414"	1	1	0.943931541
"GM0014"	"WK001414"	1	2	0.943931541
"GM0014"	"WK001414"	2	0	0.951946644
"GM0014"	"WK001414"	2	1	0.951946644
"GM0014"	"WK001414"	2	2	0.951946644
"GM0014"	"WK001414"	3	0	0.951946644
"GM0014"	"WK001414"	3	1	0.951946644
"GM0014"	"WK001414"	3	2	0.951946644
"GM0014"	"WK001414"	4	0	0.951946644
"GM0014"	"WK001414"	4	1	0.951946644
"GM0014"	"WK001414"	4	2	0.951946644
"GM0014"	"WK001414"	5	0	0.951946644
"GM0014"	"WK001414"	5	1	0.951946644
"GM0014"	"WK001414"	5	2	0.951946644
"GM0014"	"WK001414"	6	0	0.951946644
"GM0014"	"WK001414"	6	1	0.951946644
"GM0014"	"WK001414"	6	2	0.951946644
"GM0014"	"WK001415"	1	0	0.895169381
"GM0014"	"WK001415"	1	1	0.895521298
"GM0014"	"WK001415"	1	2	0.895521298
"GM0014"	"WK001415"	2	0	0.892357235
"GM0014"	"WK001415"	2	1	0.904672747
"GM0014"	"WK001415"	2	2	0.961344632
"GM0014"	"WK001415"	3	0	0.966451545
"GM0014"	"WK001415"	3	1	0.997143615
"GM0014"	"WK001415"	3	2	1.088936996
"GM0014"	"WK001415"	4	0	1.006260342
"GM0014"	"WK001415"	4	1	1.023754685
"GM0014"	"WK001415"	4	2	1.090760948
"GM0014"	"WK001415"	5	0	1.075999899
"GM0014"	"WK001415"	5	1	1.075999899
"GM0014"	"WK001415"	5	2	1.116327227
"GM0014"	"WK001415"	6	0	0.980218348
"GM0014"	"WK001415"	6	1	0.980218348
"GM0014"	"WK001415"	6	2	0.980218348
"GM0014"	"WK001416"	1	0	0.928907498
"GM0014"	"WK001416"	1	1	0.930410885
"GM0014"	"WK001416"	1	2	0.930410885
"GM0014"	"WK001416"	2	0	1.001338915
"GM0014"	"WK001416"	2	1	1.001338915
"GM0014"	"WK001416"	2	2	1.001338915
"GM0014"	"WK001416"	3	0	0.957480996
"GM0014"	"WK001416"	3	1	0.957480996
"GM0014"	"WK001416"	3	2	0.957480996
"GM0014"	"WK001416"	4	0	0.957480996
"GM0014"	"WK001416"	4	1	0.957480996
"GM0014"	"WK001416"	4	2	0.957480996
"GM0014"	"WK001416"	5	0	0.957480996
"GM0014"	"WK001416"	5	1	0.957480996
"GM0014"	"WK001416"	5	2	0.957480996
"GM0014"	"WK001416"	6	0	0.957480996
"GM0014"	"WK001416"	6	1	0.957480996
"GM0014"	"WK001416"	6	2	0.957480996
"GM0014"	"WK001417"	1	0	1.114814106
"GM0014"	"WK001417"	1	1	1.111909512
"GM0014"	"WK001417"	1	2	1.111909512
"GM0014"	"WK001417"	2	0	1.100310615
"GM0014"	"WK001417"	2	1	1.098143197
"GM0014"	"WK001417"	2	2	1.098143197
"GM0014"	"WK001417"	3	0	1.073985008
"GM0014"	"WK001417"	3	1	1.059674269
"GM0014"	"WK001417"	3	2	1.059674269
"GM0014"	"WK001417"	4	0	1.132362277
"GM0014"	"WK001417"	4	1	1.126691349
"GM0014"	"WK001417"	4	2	1.136069819
"GM0014"	"WK001417"	5	0	1.041194358
"GM0014"	"WK001417"	5	1	0.9653163
"GM0014"	"WK001417"	5	2	1.055906209
"GM0014"	"WK001417"	6	0	0.972773468
"GM0014"	"WK001417"	6	1	0.986724788
"GM0014"	"WK001417"	6	2	0.986724788
"GM0014"	"WK001418"	1	0	0.973497131
"GM0014"	"WK001418"	1	1	0.975174006
"GM0014"	"WK001418"	1	2	0.975174006
"GM0014"	"WK001418"	2	0	0.966114837
"GM0014"	"WK001418"	2	1	0.977430307
"GM0014"	"WK001418"	2	2	0.977430307
"GM0014"	"WK001418"	3	0	1.013916258
"GM0014"	"WK001418"	3	1	1.015193587
"GM0014"	"WK001418"	3	2	1.015193587
"GM0014"	"WK001418"	4	0	1.000547104
