type_str,bouwjaar_str,Default_label,Vrv_N_asl,Vrv_N_opp,Vrv_G_asl,Vrv_G_opp,Vrv_F_asl,Vrv_F_opp,Vrv_E_asl,Vrv_E_opp,Vrv_D_asl,Vrv_D_opp,Vrv_C_asl,Vrv_C_opp,Vrv_B_asl,Vrv_B_opp,Vrv_A_asl,Vrv_A_opp,Vvent_asl,Vvent_opp,Vww_asl,Vww_opp,Ve_asl,Ve_opp,Vk_asl,Vk_opp,Ki_SGB_min_asl,Ki_SGB_min_opp,Ki_SGB_max_asl,Ki_SGB_max_opp,Ki_SFB_min_asl,Ki_SFB_min_opp,Ki_SFB_max_asl,Ki_SFB_max_opp,Ki_SEB_min_asl,Ki_SEB_min_opp,Ki_SEB_max_asl,Ki_SEB_max_opp,Ki_SDB_min_asl,Ki_SDB_min_opp,Ki_SDB_max_asl,Ki_SDB_max_opp,Ki_SCB_min_asl,Ki_SCB_min_opp,Ki_SCB_max_asl,Ki_SCB_max_opp,Ki_SGA_min_asl,Ki_SGA_min_opp,Ki_SGA_max_asl,Ki_SGA_max_opp,Ki_SFA_min_asl,Ki_SFA_min_opp,Ki_SFA_max_asl,Ki_SFA_max_opp,Ki_SEA_min_asl,Ki_SEA_min_opp,Ki_SEA_max_asl,Ki_SEA_max_opp,Ki_SDA_min_asl,Ki_SDA_min_opp,Ki_SDA_max_asl,Ki_SDA_max_opp,Ki_SCA_min_asl,Ki_SCA_min_opp,Ki_SCA_max_asl,Ki_SCA_max_opp,Ki_SBA_min_asl,Ki_SBA_min_opp,Ki_SBA_max_asl,Ki_SBA_max_opp
Kantoor,0<=1920,G,0,0.98134404,0,0.98134404,0,0.98134404,0,0.98134404,0,0.98134404,0,0.210028709,0,0.210028709,0,0.147020096,0,0,0,0.003776774,0,0.454,0,0.086802003,0,125,0,186,0,125,0,186,0,125,0,186,0,125,0,186,0,125,0,186,0,150,0,224,0,150,0,224,0,150,0,224,0,150,0,224,0,150,0,224,0,119,0,177
Kantoor,1920<=1975,E,0,0.770581577,0,0.770581577,0,0.770581577,0,0.770581577,0,0.770581577,0,0.770581577,0,0.210028709,0,0.147020096,0,0,0,0.003776774,0,0.454,0,0.086802003,0,124.4596542,0,185.1627,0,124.4597,0,185.1627,0,124.4597,0,185.1627,0,124.4597,0,185.1627,0,124.4597,0,185.1627,0,149.518,0,223.3236,0,149.518,0,223.3236,0,149.518,0,223.3236,0,149.518,0,223.3236,0,149.518,0,223.3236,0,119.0021,0,177
Kantoor,1975<=1990,C,0,0.393016494,0,0.393016494,0,0.393016494,0,0.393016494,0,0.393016494,0,0.210028709,0,0.210028709,0,0.147020096,0,0,0,0.003776774,0,0.454,0,0.086802003,0,114.8895292,0,178.7395,0,114.8895,0,178.7395,0,114.8895,0,178.7395,0,114.8895,0,178.7395,0,114.8895,0,178.7395,0,140.9773,0,218.1342,0,140.9773,0,218.1342,0,140.9773,0,218.1342,0,140.9773,0,218.1342,0,140.9773,0,218.1342,0,119.0251,0,177
Kantoor,1990<=1995,B,0,0.361406554,0,0.361406554,0,0.361406554,0,0.361406554,0,0.361406554,0,0.361406554,0,0.361406554,0,0.147020096,0,0,0,0.003776774,0,0.454,0,0.086802003,0,112.3799231,0,174.5781,0,112.3799,0,174.5781,0,112.3799,0,174.5781,0,112.3799,0,174.5781,0,112.3799,0,174.5781,0,138.7294,0,214.7723,0,138.7294,0,214.7723,0,138.7294,0,214.7723,0,138.7294,0,214.7723,0,138.7294,0,214.7723,0,119.0056,0,177
Kantoor,1995<=2019,B,0,0.295927522,0,0.295927522,0,0.295927522,0,0.295927522,0,0.295927522,0,0.295927522,0,0.295927522,0,0.147020096,0,0,0,0.003776774,0,0.454,0,0.086802003,0,107.3246878,0,170.7541,0,107.3247,0,170.7541,0,107.3247,0,170.7541,0,107.3247,0,170.7541,0,107.3247,0,170.7541,0,134.2181,0,211.6829,0,134.2181,0,211.6829,0,134.2181,0,211.6829,0,134.2181,0,211.6829,0,134.2181,0,211.6829,0,119.0182,0,177
Kantoor,onbekend,D,0,0.49328773,0,0.49328773,0,0.49328773,0,0.49328773,0,0.49328773,0,0.218708383,0,0.218708383,0,0.153095868,0,0,0,0.003776774,0,0.454,0,0.086802003,0,114.2291066,0,176.8775,0,114.2291,0,176.8775,0,114.2291,0,176.8775,0,114.2291,0,176.8775,0,114.2291,0,176.8775,0,140.3838,0,216.6198,0,140.3838,0,216.6198,0,140.3838,0,216.6198,0,140.3838,0,216.6198,0,140.3838,0,216.6198,0,119.0138,0,176.9758
Winkel,0<=1920,G,0,0.494577526,0,0.494577526,0,0.494577526,0,0.494577526,0,0.494577526,0,0.105826531,0,0.105826531,0,0.074078572,0,0,0,0.003776774,0,0.567,0,0.035278814,0,156,0,226,0,156,0,226,0,156,0,226,0,156,0,226,0,156,0,226,0,187,0,271,0,187,0,271,0,187,0,271,0,187,0,271,0,187,0,271,0,148,0,215
Winkel,1920<=1975,E,0,0.392022619,0,0.392022619,0,0.392022619,0,0.392022619,0,0.392022619,0,0.392022619,0,0.106281874,0,0.074397312,0,0,0,0.003776774,0,0.567,0,0.035278814,0,155.3903768,0,225.0098,0,155.3904,0,225.0098,0,155.3904,0,225.0098,0,155.3904,0,225.0098,0,155.3904,0,225.0098,0,186.447,0,270.2039,0,186.447,0,270.2039,0,186.447,0,270.2039,0,186.447,0,270.2039,0,186.447,0,270.2039,0,148,0,215
Winkel,1975<=1990,C,0,0.20177555,0,0.20177555,0,0.20177555,0,0.20177555,0,0.20177555,0,0.10625751,0,0.10625751,0,0.074380257,0,0,0,0.003776774,0,0.567,0,0.035278814,0,141.4960514,0,216.775,0,141.4961,0,216.775,0,141.4961,0,216.775,0,141.4961,0,216.775,0,141.4961,0,216.775,0,173.842,0,263.5836,0,173.842,0,263.5836,0,173.842,0,263.5836,0,173.842,0,263.5836,0,173.842,0,263.5836,0,148,0,215
Winkel,1990<=1995,B,0,0.19066847,0,0.19066847,0,0.19066847,0,0.19066847,0,0.19066847,0,0.19066847,0,0.19066847,0,0.074792687,0,0,0,0.003776774,0,0.567,0,0.035278814,0,138.7400471,0,211.8993,0,138.74,0,211.8993,0,138.74,0,211.8993,0,138.74,0,211.8993,0,138.74,0,211.8993,0,171.3418,0,259.6638,0,171.3418,0,259.6638,0,171.3418,0,259.6638,0,171.3418,0,259.6638,0,171.3418,0,259.6638,0,148,0,215
Winkel,1995<=2019,B,0,0.149468062,0,0.149468062,0,0.149468062,0,0.149468062,0,0.149468062,0,0.149468062,0,0.149468062,0,0.074159575,0,0,0,0.003776774,0,0.567,0,0.035278814,0,131.4880729,0,207.199,0,131.4881,0,207.199,0,131.4881,0,207.199,0,131.4881,0,207.199,0,131.4881,0,207.199,0,164.7628,0,255.8851,0,164.7628,0,255.8851,0,164.7628,0,255.8851,0,164.7628,0,255.8851,0,164.7628,0,255.8851,0,148,0,215
Winkel,onbekend,D,0,0.290090777,0,0.290090777,0,0.290090777,0,0.290090777,0,0.290090777,0,0.110901412,0,0.110901412,0,0.077630988,0,0,0,0.003776774,0,0.567,0,0.035278814,0,144.2901571,0,217.151,0,144.2902,0,217.151,0,144.2902,0,217.151,0,144.2902,0,217.151,0,144.2902,0,217.151,0,176.3884,0,263.896,0,176.3884,0,263.896,0,176.3884,0,263.896,0,176.3884,0,263.896,0,176.3884,0,263.896,0,148.0375,0,215.0243
Gezondheidszorg,0<=1920,G,0,1.116715465,0,1.116715465,0,1.116715465,0,1.116715465,0,1.116715465,0,0.275409927,0,0.275409927,0,0.192786949,0,0,0,0.038334258,0,0.232,0,0.032290345,0,131,0,210,0,131,0,210,0,131,0,210,0,131,0,210,0,131,0,210,0,157,0,251,0,157,0,251,0,157,0,251,0,157,0,251,0,157,0,251,0,125,0,199
Gezondheidszorg,1920<=1975,E,0,0.818769066,0,0.818769066,0,0.818769066,0,0.818769066,0,0.818769066,0,0.818769066,0,0.273129682,0,0.191190778,0,0,0,0.038334258,0,0.232,0,0.032290345,0,130.4426926,0,209.0649,0,130.4427,0,209.0649,0,130.4427,0,209.0649,0,130.4427,0,209.0649,0,130.4427,0,209.0649,0,156.5094,0,250.2353,0,156.5094,0,250.2353,0,156.5094,0,250.2353,0,156.5094,0,250.2353,0,156.5094,0,250.2353,0,125,0,199
Gezondheidszorg,1975<=1990,C,0,0.460581719,0,0.460581719,0,0.460581719,0,0.460581719,0,0.460581719,0,0.273288018,0,0.273288018,0,0.191301613,0,0,0,0.038334258,0,0.232,0,0.032290345,0,119.4167501,0,201.7378,0,119.4168,0,201.7378,0,119.4168,0,201.7378,0,119.4168,0,201.7378,0,119.4168,0,201.7378,0,146.8039,0,244.2437,0,146.8039,0,244.2437,0,146.8039,0,244.2437,0,146.8039,0,244.2437,0,146.8039,0,244.2437,0,125,0,199
