type_str;bouwjaar_str;Default_label;Vrv_N_asl;Vrv_N_opp;Vrv_G_asl;Vrv_G_opp;Vrv_F_asl;Vrv_F_opp;Vrv_E_asl;Vrv_E_opp;Vrv_D_asl;Vrv_D_opp;Vrv_C_asl;Vrv_C_opp;Vrv_B_asl;Vrv_B_opp;Vrv_A_asl;Vrv_A_opp;Vvent_asl;Vvent_opp;Vww_asl;Vww_opp;Ve_asl;Ve_opp;Vk_asl;Vk_opp;Ki_SGD_min_asl;Ki_SGD_min_opp;Ki_SGD_max_asl;Ki_SGD_max_opp;Ki_SFD_min_asl;Ki_SFD_min_opp;Ki_SFD_max_asl;Ki_SFD_max_opp;Ki_SED_min_asl;Ki_SED_min_opp;Ki_SED_max_asl;Ki_SED_max_opp;Ki_SGC_min_asl;Ki_SGC_min_opp;Ki_SGC_max_asl;Ki_SGC_max_opp;Ki_SFC_min_asl;Ki_SFC_min_opp;Ki_SFC_max_asl;Ki_SFC_max_opp;Ki_SEC_min_asl;Ki_SEC_min_opp;Ki_SEC_max_asl;Ki_SEC_max_opp;Ki_SDC_min_asl;Ki_SDC_min_opp;Ki_SDC_max_asl;Ki_SDC_max_opp;Ki_SGB_min_asl;Ki_SGB_min_opp;Ki_SGB_max_asl;Ki_SGB_max_opp;Ki_SFB_min_asl;Ki_SFB_min_opp;Ki_SFB_max_asl;Ki_SFB_max_opp;Ki_SEB_min_asl;Ki_SEB_min_opp;Ki_SEB_max_asl;Ki_SEB_max_opp;Ki_SDB_min_asl;Ki_SDB_min_opp;Ki_SDB_max_asl;Ki_SDB_max_opp;Ki_SCB_min_asl;Ki_SCB_min_opp;Ki_SCB_max_asl;Ki_SCB_max_opp
rijwoning tussen;1965 - 1974;C;12.65862207;0.207105895;17.87564141;0.180980559;18.4012454;0.188869574;16.38243427;0.188584868;14.87112155;0.192738372;11.0365568;0.196926852;9.180579724;0.183277522;9.138224471;0.166987913;0;0.007632555;7.7;0;9.94;0;0;0.01917;10986;0;10986;0;1423;32;1423;32;2841;5;2841;5;8607;50;8607;50;2550;100;2550;100;1576;65;1576;65;-765;48;-765;48;23323;0;23323;0;23323;112;23323;112;12537;105;12537;105;11214;93;11214;93;3255;93;3255;93
rijwoning tussen;1975 - 1991;C;3.910522559;0.241283594;9.933385382;0.234014193;9.922925428;0.235899343;10.15304173;0.227967039;7.42791617;0.229765986;3.624196839;0.23645357;4.023476129;0.220805846;3.504073089;0.206079582;0;0.004510267;7.7;0;9.94;0;0;0.01917;10986;0;10986;0;1423;32;1423;32;2841;5;2841;5;8607;50;8607;50;2550;100;2550;100;1576;65;1576;65;-765;48;-765;48;23323;0;23323;0;23323;112;23323;112;12537;105;12537;105;8691;122;8691;122;3255;93;3255;93
rijwoning tussen;1992 - 1995;B;3.725095938;0.217284321;15.4763092;0.209797781;13.81800873;0.209692185;8.223674703;0.220289553;8.114034904;0.20316976;3.386350303;0.214655468;2.230753151;0.217225594;4.865887716;0.19260227;0;0;7.7;0;9.86;0;0;0.01917;10986;0;10986;0;1423;32;1423;32;2841;5;2841;5;8607;50;8607;50;2550;100;2550;100;1576;65;1576;65;-765;48;-765;48;23323;0;23323;0;23323;112;23323;112;12537;105;12537;105;8691;122;8691;122;3255;93;3255;93
rijwoning tussen;1996 - 1999;B;4.04491869;0.198084854;19.04985462;0.197898113;19.54073976;0.197299429;14.12124723;0.183204109;11.54838385;0.183720765;4.542814583;0.200961344;1.969634481;0.20307329;5.103353388;0.166287073;0;0;7.7;0;9.86;0;0;0.01917;10986;0;10986;0;1423;32;1423;32;2841;5;2841;5;8607;50;8607;50;2550;100;2550;100;1576;65;1576;65;-133;38;-133;38;23323;0;23323;0;23323;112;23323;112;12537;105;12537;105;10150;102;10150;102;7280;61;7280;61
rijwoning tussen;2000 - 2005;A;6.262573821;0.158946841;24.10567917;0.151018288;20.66799608;0.152206628;18.01961638;0.129826742;18.76566959;0.126758273;9.941108332;0.150820111;6.508856182;0.166735457;4.59517212;0.156182325;0;0;7.7;0;9.86;0;0;0.01917;10986;0;10986;0;1423;32;1423;32;2841;5;2841;5;8607;50;8607;50;2550;100;2550;100;1576;65;1576;65;-133;38;-133;38;23323;0;23323;0;23323;112;23323;112;12537;105;12537;105;10150;102;10150;102;7280;61;7280;61
rijwoning tussen;2006 - 2010;A;7.294896578;0.140122954;17.61975472;0.135749296;20.72684172;0.135898462;19.09424662;0.131230639;19.62425353;0.109207175;13.6784048;0.13557338;9.976402465;0.114435373;6.111194794;0.141488991;0;0;7.7;0;9.86;0;0;0.01917;10986;0;10986;0;1423;32;1423;32;2841;5;2841;5;8607;50;8607;50;2550;100;2550;100;1576;65;1576;65;-133;38;-133;38;23323;0;23323;0;23323;112;23323;112;12537;105;12537;105;10150;102;10150;102;7280;61;7280;61
rijwoning tussen;2011 - 2014;A;4.680307772;0.141077858;19.4303031;0.13849826;18.56232557;0.138453802;12.1895509;0.123725545;18.57601827;0.13845452;5.204930334;0.115843114;6.502845143;0.136396599;3.959166297;0.141959565;0;0;7.7;0;9.86;0;0;0.01917;10986;0;10986;0;1423;32;1423;32;2841;5;2841;5;8607;50;8607;50;2550;100;2550;100;1576;65;1576;65;-133;38;-133;38;23323;0;23323;0;23323;112;23323;112;12537;105;12537;105;10150;102;10150;102;7280;61;7280;61
rijwoning tussen;2015 - 2020;A;-1.111134793;0.178224871;18.28143428;0.166924937;19.1324601;0.166982276;13.28465168;0.166521053;11.87383995;0.176903289;1.133242802;0.174646935;-1.247014126;0.157909193;-2.058595645;0.17774313;0;0;7.7;0;9.86;0;0;0.01917;10986;0;10986;0;1423;32;1423;32;2841;5;2841;5;8607;50;8607;50;2550;100;2550;100;1576;65;1576;65;-133;38;-133;38;23323;0;23323;0;23323;112;23323;112;12537;105;12537;105;10150;102;10150;102;7280;61;7280;61
meergezins: laag en midden;voor 1930;E;16.17762052;0.18542266;15.44759714;0.195656472;14.71011698;0.191108111;14.98911441;0.18819795;12.4148468;0.188014445;11.58744631;0.173357476;10.43379109;0.166558182;7.408550729;0.172558156;0;0.007174355;7.1;0;8.41;0;0;0.01917;10071;0;10071;0;-910;70;-910;70;-168;57;-168;57;12405;18;12405;18;11121;16;11121;16;-1165;101;-1165;101;1575;18;1575;18;26168;22;26168;22;9983;149;9983;149;1466;208;1466;208;12636;55;12636;55;8313;74;8313;74
meergezins: laag en midden;1930 - 1945;E;17.48395396;0.1929897;16.62023074;0.198967462;16.07786115;0.196679477;16.37418064;0.194879878;13.37691497;0.194873961;12.53800534;0.182178601;10.47253233;0.177985212;8.476336216;0.177813673;0;0.007174355;7.1;0;8.41;0;0;0.01917;10071;0;10071;0;-910;70;-910;70;-168;57;-168;57;12405;18;12405;18;9230;2;9230;2;5464;40;5464;40;1646;13;1646;13;26168;22;26168;22;11837;121;11837;121;14879;39;14879;39;10167;49;10167;49;4029;87;4029;87
