gem2020,wijk2020,W,E,Verschilfactor totaal
GM0014,WK001402,3,2,0.9203
GM0014,WK001402,4,0,0.8113
GM0014,WK001402,4,1,0.8679
GM0014,WK001402,4,2,0.8590
GM0014,WK001402,5,0,0.9002
GM0014,WK001402,5,1,0.9599
GM0014,WK001402,5,2,0.8410
GM0014,WK001402,6,0,0.8316
GM0014,WK001402,6,1,0.9033
GM0014,WK001402,6,2,0.7622
GM0014,WK001403,1,0,0.9614
GM0014,WK001403,1,1,0.9614
GM0014,WK001403,1,2,0.9614
GM0014,WK001403,2,0,0.9614
GM0014,WK001403,2,2,0.9614
GM0014,WK001403,3,0,0.9922
GM0014,WK001403,3,1,0.9887
GM0014,WK001403,3,2,1.0152
GM0014,WK001403,4,0,0.8872
GM0014,WK001403,4,1,0.9138
GM0014,WK001403,4,2,0.9619
GM0014,WK001403,5,0,0.9555
GM0014,WK001403,5,1,1.0010
GM0014,WK001403,5,2,0.9238
GM0014,WK001403,6,0,1.0027
GM0014,WK001403,6,1,1.0275
GM0014,WK001403,6,2,0.8245
GM0014,WK001404,1,0,0.9133
GM0014,WK001404,1,1,0.9133
GM0014,WK001404,2,0,0.8492
GM0014,WK001404,2,2,0.8492
GM0014,WK001404,3,0,0.7088
GM0014,WK001404,3,1,0.8068
GM0014,WK001404,3,2,0.7196
GM0014,WK001404,4,0,0.6954
GM0014,WK001404,4,1,0.8109
GM0014,WK001404,4,2,0.7442
GM0014,WK001404,5,0,0.8267
GM0014,WK001404,5,1,0.8769
GM0014,WK001404,5,2,0.7800
GM0014,WK001404,6,0,0.9762
GM0014,WK001404,6,1,0.9229
GM0014,WK001404,6,2,0.8107
GM0014,WK001405,1,0,0.8630
GM0014,WK001405,1,1,0.8630
GM0014,WK001405,2,0,0.8630
GM0014,WK001405,2,1,0.8630
GM0014,WK001405,3,0,0.8630
GM0014,WK001405,3,1,0.8630
GM0014,WK001405,3,2,0.8630
GM0014,WK001405,4,0,0.8596
GM0014,WK001405,4,1,0.8651
GM0014,WK001405,4,2,0.8651
GM0014,WK001405,5,0,0.8630
GM0014,WK001405,5,1,0.8630
GM0014,WK001405,6,0,0.6069
GM0014,WK001405,6,1,0.5616
GM0014,WK001405,6,2,0.6225
GM0014,WK001406,1,0,1.1286
GM0014,WK001406,1,1,1.0378
GM0014,WK001406,2,0,1.0569
GM0014,WK001406,2,1,1.0045
GM0014,WK001406,2,2,1.0045
GM0014,WK001406,3,0,0.9828
GM0014,WK001406,3,1,0.9748
GM0014,WK001406,3,2,0.9748
GM0014,WK001406,4,0,0.9638
GM0014,WK001406,4,1,0.8851
GM0014,WK001406,4,2,1.1081
GM0014,WK001406,5,0,0.8796
GM0014,WK001406,5,1,0.8691
GM0014,WK001406,5,2,0.8029
GM0014,WK001406,6,0,0.9329
GM0014,WK001406,6,1,0.9468
GM0014,WK001406,6,2,0.9079
GM0014,WK001407,1,0,0.9103
GM0014,WK001407,1,1,0.9181
GM0014,WK001407,1,2,0.9181
GM0014,WK001407,2,0,0.9878
GM0014,WK001407,2,1,0.9552
GM0014,WK001407,2,2,0.9552
GM0014,WK001407,3,0,0.8731
GM0014,WK001407,3,1,0.8974
GM0014,WK001407,3,2,0.8138
GM0014,WK001407,4,0,0.8598
GM0014,WK001407,4,1,0.9821
GM0014,WK001407,4,2,0.8109
GM0014,WK001407,5,0,0.7806
GM0014,WK001407,5,1,0.8052
GM0014,WK001407,5,2,0.8115
GM0014,WK001407,6,0,0.8650
GM0014,WK001407,6,1,0.7785
GM0014,WK001407,6,2,0.8380
GM0014,WK001408,1,0,0.8559
GM0014,WK001408,1,1,0.9036
GM0014,WK001408,1,2,0.9036
GM0014,WK001408,2,0,0.8207
GM0014,WK001408,2,1,0.8844
GM0014,WK001408,2,2,0.8342
GM0014,WK001408,3,0,0.8957
GM0014,WK001408,3,1,0.9392
GM0014,WK001408,3,2,0.9996
GM0014,WK001408,4,0,0.9065
GM0014,WK001408,4,1,0.9896
GM0014,WK001408,4,2,0.9250
GM0014,WK001408,5,0,0.9529
GM0014,WK001408,5,1,1.0285
GM0014,WK001408,5,2,0.9334
GM0014,WK001408,6,0,0.8521
GM0014,WK001408,6,2,0.8070
GM0014,WK001409,1,0,0.8085
GM0014,WK001409,1,1,0.8641
GM0014,WK001409,2,0,0.7633
GM0014,WK001409,2,1,0.8394
GM0014,WK001409,2,2,0.8394
GM0014,WK001409,3,0,0.8552
GM0014,WK001409,3,1,0.8900
GM0014,WK001409,3,2,0.9763
GM0014,WK001409,4,0,0.8354
GM0014,WK001409,4,1,0.9195
GM0014,WK001409,4,2,0.9817
GM0014,WK001409,5,0,0.8788
GM0014,WK001409,5,1,0.7379
GM0014,WK001409,5,2,0.8439
GM0014,WK001409,6,0,0.7567
GM0014,WK001409,6,1,0.8329
GM0014,WK001409,6,2,0.7498
GM0014,WK001410,1,0,0.9798
GM0014,WK001410,1,1,0.9798
GM0014,WK001410,2,0,1.0076
GM0014,WK001410,2,1,0.9971
GM0014,WK001410,2,2,0.9971
GM0014,WK001410,3,0,1.0276
GM0014,WK001410,3,1,1.0283
GM0014,WK001410,3,2,1.1632
GM0014,WK001410,4,0,1.0583
GM0014,WK001410,4,1,1.1741
GM0014,WK001410,4,2,1.0949
GM0014,WK001410,5,0,0.9078
GM0014,WK001410,5,1,0.9063
GM0014,WK001410,5,2,1.0227
GM0014,WK001410,6,0,0.9273
GM0014,WK001410,6,1,0.8448
GM0014,WK001410,6,2,0.9018
GM0014,WK001411,1,0,0.7911
GM0014,WK001411,1,1,0.8498
GM0014,WK001411,1,2,0.8498
GM0014,WK001411,2,0,0.7152
GM0014,WK001411,2,1,0.8078
GM0014,WK001411,2,2,0.8078
GM0014,WK001411,3,0,0.8177
GM0014,WK001411,3,1,0.8743
GM0014,WK001411,3,2,0.8701
GM0014,WK001411,4,0,0.7903
GM0014,WK001411,4,1,0.8818
GM0014,WK001411,4,2,0.8631
GM0014,WK001411,5,0,0.6820
GM0014,WK001411,5,1,0.7442
GM0014,WK001411,5,2,0.8273
GM0014,WK001411,6,2,0.8170
GM0014,WK001412,1,0,0.8492
GM0014,WK001412,1,1,0.8845
GM0014,WK001412,1,2,0.8845
GM0014,WK001412,2,0,0.7885
GM0014,WK001412,2,1,0.8528
GM0014,WK001412,2,2,0.8528
GM0014,WK001412,3,0,0.7709
GM0014,WK001412,3,1,0.8485
GM0014,WK001412,3,2,0.8226
GM0014,WK001412,4,0,0.7607
GM0014,WK001412,4,1,0.8459
GM0014,WK001412,4,2,0.8343
GM0014,WK001412,5,0,0.8699
GM0014,WK001412,5,1,0.8510
GM0014,WK001412,5,2,0.9358
GM0014,WK001412,6,2,0.9837
GM0014,WK001413,1,0,1.0268
GM0014,WK001413,1,1,1.0096
GM0014,WK001413,2,0,0.9654
GM0014,WK001413,2,1,0.9804
GM0014,WK001413,2,2,0.9804
GM0014,WK001413,3,0,0.9952
GM0014,WK001413,3,1,0.9952
GM0014,WK001413,3,2,0.9952
GM0014,WK001413,4,0,0.9952
GM0014,WK001413,4,2,0.9952
GM0014,WK001413,5,0,0.9952
GM0014,WK001413,5,2,0.9952
GM0014,WK001414,1,0,0.8427
GM0014,WK001414,1,1,0.8849
GM0014,WK001414,2,0,0.9345
GM0014,WK001414,4,0,0.9345
GM0014,WK001414,5,0,0.9345
GM0014,WK001415,1,0,0.7484
GM0014,WK001415,1,1,0.8362
GM0014,WK001415,1,2,0.8362
GM0014,WK001415,2,0,0.7461
GM0014,WK001415,2,1,0.8414
GM0014,WK001415,2,2,0.8079
GM0014,WK001415,3,0,0.9067
GM0014,WK001415,3,1,0.9361
GM0014,WK001415,3,2,1.0134
GM0014,WK001415,4,0,0.9585
GM0014,WK001415,4,1,0.9555
GM0014,WK001415,4,2,1.0376
GM0014,WK001415,5,0,1.0049
GM0014,WK001415,5,1,1.0049
GM0014,WK001415,5,2,1.1190
GM0014,WK001415,6,0,0.9226
GM0014,WK001415,6,2,0.9226
GM0014,WK001416,1,0,0.8077
GM0014,WK001416,1,1,0.8741
GM0014,WK001416,1,2,0.8741
GM0014,WK001416,2,0,0.9578
GM0014,WK001416,2,2,0.9578
GM0014,WK001416,3,0,0.9427
GM0014,WK001416,3,1,0.9427
GM0014,WK001416,3,2,0.9427
GM0014,WK001416,4,0,0.9427
GM0014,WK001416,4,1,0.9427
GM0014,WK001416,4,2,0.9427
GM0014,WK001416,5,0,0.9427
GM0014,WK001417,1,0,1.3044
GM0014,WK001417,1,1,1.1686
GM0014,WK001417,2,0,1.2617
GM0014,WK001417,2,1,1.1488
GM0014,WK001417,2,2,1.1488
GM0014,WK001417,3,0,1.1880
GM0014,WK001417,3,1,1.1063
GM0014,WK001417,3,2,1.1063
GM0014,WK001417,4,0,1.3607
GM0014,WK001417,4,1,1.3134
GM0014,WK001417,4,2,1.1954
GM0014,WK001417,5,0,1.0820
GM0014,WK001417,5,1,1.0131
GM0014,WK001417,5,2,1.1030
GM0014,WK001417,6,0,1.0270
GM0014,WK001417,6,2,1.0493
GM0014,WK001418,1,0,0.9140
GM0014,WK001418,1,1,0.9447
GM0014,WK001418,2,0,0.9247
GM0014,WK001418,2,1,0.9577
GM0014,WK001418,2,2,0.9577
GM0014,WK001418,3,0,1.0068
GM0014,WK001418,3,1,0.9920
GM0014,WK001418,3,2,0.9920
GM0014,WK001418,4,0,0.9941
GM0014,WK001418,4,1,1.0621
GM0014,WK001418,4,2,1.0165
GM0014,WK001418,5,0,0.9125
GM0014,WK001418,5,2,0.9125
GM0014,WK001419,1,0,1.2269
GM0014,WK001419,1,1,1.1247
GM0014,WK001419,2,0,1.0593
GM0014,WK001419,2,1,1.0451
GM0014,WK001419,2,2,1.0451
GM0014,WK001419,3,0,1.0325
GM0014,WK001419,3,1,1.0325
GM0014,WK001419,3,2,1.0325
GM0014,WK001419,4,0,1.0927
GM0014,WK001419,4,1,1.0927
GM0014,WK001419,4,2,1.0927
GM0014,WK001419,5,0,1.0325
GM0014,WK001419,5,1,1.0325
GM0014,WK001419,5,2,1.0325
GM0024,WK002400,1,0,0.8164
GM0024,WK002400,1,1,0.8840
GM0024,WK002400,2,0,0.8536
GM0024,WK002400,2,1,0.9269
GM0024,WK002400,2,2,0.9596
GM0024,WK002400,3,0,1.0337
GM0024,WK002400,3,2,1.0337
GM0024,WK002400,4,0,1.0202
GM0024,WK002400,4,2,1.0202
GM0024,WK002400,5,0,0.9358
GM0024,WK002400,5,2,0.9210
GM0024,WK002401,1,0,0.9608
GM0024,WK002401,1,1,0.9823
GM0024,WK002401,1,2,0.9823
GM0024,WK002401,2,0,1.0447
GM0024,WK002401,2,2,1.1384
GM0024,WK002401,3,0,1.0020
GM0024,WK002401,3,2,1.0020
GM0024,WK002401,4,0,1.0020
GM0024,WK002401,4,2,1.0020
GM0024,WK002401,5,2,1.0020
GM0024,WK002402,1,0,0.8638
GM0024,WK002402,1,1,0.9416
GM0024,WK002402,2,0,0.9453
GM0024,WK002402,2,1,0.9963
GM0024,WK002402,2,2,1.0229
GM0024,WK002402,3,0,1.2318
GM0024,WK002402,3,2,1.4976
GM0024,WK002402,4,0,1.2044
GM0024,WK002402,4,2,1.3753
GM0024,WK002402,5,0,1.1727
GM0024,WK002402,5,1,1.1727
GM0024,WK002402,5,2,1.1727
GM0024,WK002403,1,0,0.8820
GM0024,WK002403,1,1,0.9372
GM0024,WK002403,1,2,0.9372
GM0024,WK002403,2,0,1.0401
GM0024,WK002403,2,1,1.0401
GM0024,WK002403,2,2,1.1486
GM0024,WK002403,3,0,0.9926
GM0024,WK002403,3,2,0.9926
GM0024,WK002403,4,0,0.9926
GM0024,WK002403,4,2,0.9926
GM0034,WK003401,1,0,1.1355
GM0034,WK003401,1,1,1.0922
GM0034,WK003401,2,0,0.9315
GM0034,WK003401,3,0,1.1086
GM0034,WK003401,3,1,1.0851
GM0034,WK003401,3,2,1.1401
GM0034,WK003401,4,0,1.1344
GM0034,WK003401,4,1,1.1060
GM0034,WK003401,4,2,1.2139
GM0034,WK003401,5,0,1.2570
GM0034,WK003401,5,1,1.1148
GM0034,WK003401,5,2,1.1853
GM0034,WK003401,6,0,1.0763
GM0034,WK003401,6,1,1.1259
