woningtype_str,bouwjaar_str,,V_WW,E_WW_GAS,E_WW_WARM,E_WW_ELEK,V_RV_vast,V_RV_var,V_RV_GL_vast,V_RV_GL_var,V_RV_CORR_vast,V_RV_CORR_var,V_P_ELEK,EG,E_RV_GAS,E_RV_WARM,E_RV_ELEK,V_KOU,E_KOU_ELEK,V_APP_ELEK,E_APP_ELEK,V_Vent,EnergieIndex,EnergieLabel,AC_WW,AC_RV,R_COLL,,MVA_EG_vast,MVA_eg_var,RB_FAC_A,MVA_EG_EUR_MIN_vast,MVA_EG_EUR_MIN_var,MVA_EG_EUR_MAX_vast,MVA_EG_EUR_MAX_var,MVB_EG_vast,MVB_EG_var,RB_FAC_B,MVB_EG_EUR_MIN_vast,MVB_EG_EUR_MIN_var,MVB_EG_EUR_MAX_vast,MVB_EG_EUR_MAX_var,MVC_EG_vast,MVC_EG_var,RB_FAC_C,MVC_EG_EUR_MIN_vast,MVC_EG_EUR_MIN_var,MVC_EG_EUR_MAX_vast,MVC_EG_EUR_MAX_var,MVD_EG_vast,MVD_EG_var,RB_FAC_D,MVD_EG_EUR_MIN_vast,MVD_EG_EUR_MIN_var,MVD_EG_EUR_MAX_vast,MVD_EG_EUR_MAX_var,MVE_EG_vast,MVE_EG_var,RB_FAC_E,MVE_EG_EUR_MIN_vast,MVE_EG_EUR_MIN_var,MVE_EG_EUR_MAX_vast,MVE_EG_EUR_MAX_var,MVF_EG_vast,MVF_EG_var,RB_FAC_F,MVF_EG_EUR_MIN_vast,MVF_EG_EUR_MIN_var,MVF_EG_EUR_MAX_vast,MVF_EG_EUR_MAX_var,MV_RV,K_LTAS_MIN,K_LTAS_MAX,VL_OPP_WON_MIN,VL_OPP_WON_MAX
2 onder 1 kap,1992 - 2005,,8.15,0.72,1,nvt,13.78934819,0.119352057,24.67199292,0.078149546,11.22181677,0.153789401,0.01008,1,0.979375,1,nvt,0.01296,nvt,9.68,1,0,1.36,B,4,7.5,0,,,,,,,,,,,,,,,,19,0.06,0,14223.53468,52.49874438,30258.58367,171.0844266,,,,,,,,19,0.06,0,14223.53468,52.49874438,30258.58367,171.0844266,19,0.06,0,14223.53468,52.49874438,30258.58367,171.0844266,1.07,957.5098039,3221.918627,132,132
2 onder 1 kap,2006 - 2019,,8.15,0.72,1,nvt,13.56585159,0.074649308,19.7595443,0.065222693,11.22181677,0.153789401,0.01008,1,0.990918367,1,nvt,0.01296,nvt,9.68,1,0,0.9,B,4,7.5,0,,,,,,,,,,,,,,,,18,0.06,0,15339.77046,52.49874438,32116.98548,171.0844266,,,,,,,,18,0.06,0,15339.77046,52.49874438,32116.98548,171.0844266,18,0.06,0,15339.77046,52.49874438,32116.98548,171.0844266,1.07,957.5098039,3221.918627,132,132
rijwoning hoek,voor 1946,,8.6,0.72,1,nvt,24.02581014,0.146661398,27.29420871,0.139579221,,,0.01008,1,1.003146067,1,nvt,0.01296,nvt,9.98,1,0.008135673,2.11,G,4,7,0,,16.57452877,0.197566028,0,-1848.345513,68.48175411,-2402.663122,85.89713378,13.25162417,0.173803024,0,6626.963435,94.30749498,8520.116126,131.0101271,12,0.152,0,9690.957549,97.3859489,15829.73801,239.4478288,13.25162417,0.173803024,0,8478.924651,25.82574086,10926.39495,45.11299335,12,0.152,0,11570.92667,27.73253056,18273.50864,152.0810686,12,0.152,0,2950.612439,1.464933358,7163.849984,106.1962305,1.07,957.5098039,3221.918627,102,102
rijwoning hoek,1946 - 1964,,8.6,0.72,1,nvt,24.83899201,0.129654707,34.36572775,0.086385794,24.08140885,0.147507399,0.01008,1,1.003146067,1,nvt,0.01296,nvt,10.13,1,0.007684654,2.06,E,4,7,0,,18.69437031,0.128290702,0,2845.595417,0,5053.248189,0,15.82312038,0.129608313,0,10588.39532,0,14847.71687,0,14,0.116,0,18277.97972,0,37195.88557,0,15.82312038,0.129608313,0,7726.145755,0,9777.814538,0,14,0.116,0,15383.6986,0,32056.18062,0,14,0.116,0,7508.426017,0,22094.13696,0,1.07,957.5098039,3221.918627,87,87
rijwoning hoek,1965 - 1974,,8.6,0.72,1,nvt,23.86526699,0.109252449,34.0588347,0.077727707,19.98409776,0.146829317,0.01008,1,1.05,1,nvt,0.01296,nvt,9.94,1,0.007517702,2.18,D,4,7,0,,,,,,,,,13.65391885,0.140650855,0,7563.468918,20.34321924,7049.769865,59.47894006,12,0.125,0,14239.62379,40.4339827,17660.2271,193.1724554,,,,,,,,12,0.125,0,6546.750392,19.74270838,10489.8417,132.6758816,12,0.125,0,6546.750392,19.74270838,10489.8417,132.6758816,1.07,957.5098039,3221.918627,106,106
rijwoning hoek,1975 - 1991,,8.6,0.72,1,nvt,19.77237859,0.083682371,27.23494753,0.080149723,24.88762499,0.07324279,0.01008,1,1.05,1,nvt,0.01296,nvt,9.94,1,0.003662524,1.66,C,4,7,0,,,,,,,,,8.04272601,0.171729667,0,4098.058644,27.12510994,5396.238919,38.84758603,7,0.15,0,9039.602371,89.49078856,17179.90248,197.7038197,,,,,,,,7,0.15,0,4871.429449,61.9015912,11691.33853,158.1915847,7,0.15,0,4871.429449,61.9015912,11691.33853,158.1915847,1.07,957.5098039,3221.918627,106,106
rijwoning hoek,1992 - 2005,,7.1,0.72,1,nvt,4.993000876,0.213502172,17.78703624,0.128829481,0,0.252439813,0.01008,1,0.951666667,1,nvt,0.01296,nvt,9.86,1,0,1.37,C,4,7,0,,,,,,,,,14.2107766,0.09457148,0,2682.168708,13.77581861,1211.800586,47.06579914,11,0.07,0,-7413.326308,179.1327645,-20432.27606,471.2746464,,,,,,,,11,0.07,0,-6833.431212,165.1212535,-18356.8561,423.4035917,11,0.07,0,-6833.431212,165.1212535,-18356.8561,423.4035917,1.07,957.5098039,3221.918627,114,114
rijwoning hoek,2006 - 2019,,6.35,0.72,1,nvt,9.450919255,0.103559506,13.62337343,0.080918259,11.08945776,0.098153928,0.01008,1,0.94908046,1,nvt,0.01296,nvt,9.86,1,0,0.9,A,4,7,0,,,,,,,,,,,,,,,,14,0.081,,,,,,,,,,,,,14,0.081,0,,,,,14,0.081,0,,,,,1.07,957.5098039,3221.918627,114,114
rijwoning tussen,voor 1946,,7.3,0.72,1,nvt,15.46044965,0.152225418,19.01075122,0.14552432,14.76960874,0.161500972,0.01008,1,0.958085106,1,nvt,0.01296,nvt,9.98,1,0.007035359,2.11,F,4,7,0,,10.62407433,0.167056788,0,582.7821135,15.61363647,732.1006286,17.90684779,9.961107455,0.147267359,0,5758.44723,59.42962306,7556.899203,88.48141665,9,0.129,0,10115.33268,92.50807379,17135.0166,224.4446266,9.961107455,0.147267359,0,5170.241562,43.81598659,6819.375021,70.57456886,9,0.129,0,9522.579667,76.62730135,16390.39036,206.2314079,9,0.129,0,4258.363348,32.06166072,9448.825319,134.4493686,1.07,957.5098039,3221.918627,102,102
rijwoning tussen,1946 - 1964,,7.3,0.72,1,nvt,22.94096948,0.072868783,26.19776666,0.090151906,16.24260051,0.160358739,0.01008,1,0.970434783,1,nvt,0.01296,nvt,10.13,1,0.007829621,2.06,E,4,7,0,,13.57353852,0.125423508,0,3088.705695,4.167644728,5105.46922,5.385536636,12.42649785,0.114066079,0,10268.70083,4.167644728,14960.63675,5.385536636,11,0.103,0,17578.10246,6.729110872,35492.2854,13.44153691,12.42649785,0.114066079,0,7185.418692,0,9860.591085,0,11,0.103,0,14436.55165,2.490161308,30299.46597,7.963858352,11,0.103,0,7133.712937,2.490161308,20275.68496,7.963858352,1.07,957.5098039,3221.918627,87,87
