Jaar;P_CO2;RAT_CO2_KWH;P_CO2_KWH;KG_PC_COM_EXCL_CO2;KG_PC_CO2;KG_PC_DIS;KG_PC_TRANS;KG_PC_NET;KG_PC_SDE;KG_PC_BEL_EL;KG_PC_BTW;KG_P;KMG_PC_COM_EXCL_CO2;KMG_PC_CO2;KMG_PC_DIS;KMG_PC_TRANS;KMG_PC_NET;KMG_PC_SDE;KMG_PC_BEL_EL;KMG_PC_BTW;KMG_P;MMG_PC_COM_EXCL_CO2;MMG_PC_CO2;MMG_PC_DIS;MMG_PC_TRANS;MMG_PC_NET;MMG_PC_SDE;MMG_PC_BEL_EL;MMG_PC_BTW;MMG_P;GG_PC_COM_EXCL_CO2;GG_PC_CO2;GG_PC_DIS;GG_PC_TRANS;GG_PC_NET;GG_PC_SDE;GG_PC_BEL_EL;GG_PC_BTW;GG_P;;;;;;;;;
2010;3.7;0.454;0.002;0.048;0.002;0.000;0.000;0.000;0.000;0.111;0.031;0.192;0.048;0.002;0.028;0.000;0.028;0.000;0.041;0.000;0.118;0.048;0.002;0.021;0.000;0.021;0.000;0.011;0.000;0.081;0.048;0.002;0.017;0.000;0.017;0.000;0.001;0.000;0.067;;;;;;;;;
2011;3.7;0.454;0.002;0.048;0.002;0.000;0.000;0.000;0.000;0.109;0.030;0.189;0.048;0.002;0.028;0.000;0.028;0.000;0.040;0.000;0.118;0.048;0.002;0.021;0.000;0.021;0.000;0.011;0.000;0.082;0.048;0.002;0.017;0.000;0.017;0.000;0.001;0.000;0.067;;;;;;;;;
2012;3.7;0.454;0.002;0.048;0.002;0.000;0.000;0.000;0.000;0.108;0.033;0.191;0.048;0.002;0.028;0.000;0.028;0.000;0.039;0.000;0.117;0.048;0.002;0.021;0.000;0.021;0.000;0.011;0.000;0.082;0.048;0.002;0.017;0.000;0.017;0.000;0.001;0.000;0.067;;;;;;;;;
2013;3.7;0.454;0.002;0.048;0.002;0.000;0.000;0.000;0.001;0.108;0.033;0.192;0.048;0.002;0.028;0.000;0.028;0.001;0.039;0.000;0.117;0.048;0.002;0.021;0.000;0.021;0.001;0.010;0.000;0.081;0.048;0.002;0.017;0.000;0.017;0.000;0.001;0.000;0.067;;;;;;;;;
2014;3.7;0.419;0.002;0.050;0.002;0.000;0.000;0.000;0.002;0.109;0.034;0.197;0.050;0.002;0.028;0.000;0.028;0.002;0.040;0.000;0.121;0.050;0.002;0.021;0.000;0.021;0.001;0.011;0.000;0.085;0.050;0.002;0.017;0.000;0.017;0.000;0.001;0.000;0.069;;;;;;;;;
2015;3.7;0.383;0.001;0.052;0.001;0.000;0.000;0.000;0.003;0.110;0.035;0.202;0.052;0.001;0.028;0.000;0.028;0.003;0.043;0.000;0.127;0.052;0.001;0.021;0.000;0.021;0.002;0.011;0.000;0.087;0.052;0.001;0.017;0.000;0.017;0.000;0.001;0.000;0.071;;;;;;;;;
2016;3.7;0.348;0.001;0.054;0.001;0.000;0.000;0.000;0.005;0.092;0.032;0.184;0.054;0.001;0.028;0.000;0.028;0.004;0.046;0.000;0.133;0.054;0.001;0.021;0.000;0.021;0.003;0.012;0.000;0.091;0.054;0.001;0.017;0.000;0.017;0.000;0.001;0.000;0.073;;;;;;;;;
2017;3.7;0.312;0.001;0.056;0.001;0.000;0.000;0.000;0.007;0.092;0.033;0.189;0.056;0.001;0.028;0.000;0.028;0.006;0.046;0.000;0.137;0.056;0.001;0.021;0.000;0.021;0.004;0.012;0.000;0.094;0.056;0.001;0.017;0.000;0.017;0.004;0.001;0.000;0.079;;;;;;;;;
2018;3.7;0.277;0.001;0.058;0.001;0.000;0.000;0.000;0.011;0.092;0.034;0.196;0.058;0.001;0.028;0.000;0.028;0.009;0.046;0.000;0.142;0.058;0.001;0.021;0.000;0.021;0.006;0.012;0.000;0.098;0.058;0.001;0.017;0.000;0.017;0.006;0.001;0.000;0.083;;;;;;;;;
2019;3.7;0.242;0.001;0.061;0.001;0.000;0.000;0.000;0.018;0.092;0.036;0.208;0.061;0.001;0.028;0.000;0.028;0.014;0.046;0.000;0.150;0.061;0.001;0.021;0.000;0.021;0.010;0.012;0.000;0.105;0.061;0.001;0.017;0.000;0.017;0.010;0.001;0.000;0.089;;;;;;;;;
