gem2020,wijk2020,W,E,Verschilfactor_totaal
GM0010,WK001008,5,2,1.002642218
GM0010,WK001008,6,0,1.002642218
GM0010,WK001008,6,1,1.002642218
GM0010,WK001008,6,2,1.002642218
GM0010,WK001009,1,0,0.852077721
GM0010,WK001009,1,1,0.915867475
GM0010,WK001009,1,2,0.915867475
GM0010,WK001009,2,0,0.939886754
GM0010,WK001009,2,1,0.966679559
GM0010,WK001009,2,2,0.968911043
GM0010,WK001009,3,0,1.157110365
GM0010,WK001009,3,1,1.094043372
GM0010,WK001009,3,2,1.266810805
GM0010,WK001009,4,0,1.368417444
GM0010,WK001009,4,1,1.168453751
GM0010,WK001009,4,2,1.411529953
GM0010,WK001009,5,0,0.984710909
GM0010,WK001009,5,1,0.984710909
GM0010,WK001009,5,2,0.984710909
GM0010,WK001009,6,0,0.984710909
GM0010,WK001009,6,1,0.984710909
GM0010,WK001009,6,2,0.984710909
GM0014,WK001400,1,0,0.957442086
GM0014,WK001400,1,1,0.957442086
GM0014,WK001400,1,2,0.957442086
GM0014,WK001400,2,0,0.957442086
GM0014,WK001400,2,1,0.957442086
GM0014,WK001400,2,2,0.957442086
GM0014,WK001400,3,0,0.92079944
GM0014,WK001400,3,1,0.941072977
GM0014,WK001400,3,2,0.941072977
GM0014,WK001400,4,0,0.957033134
GM0014,WK001400,4,1,0.99288324
GM0014,WK001400,4,2,0.957358926
GM0014,WK001400,5,0,0.962400649
GM0014,WK001400,5,1,0.904844808
GM0014,WK001400,5,2,0.893276649
GM0014,WK001400,6,0,0.946932936
GM0014,WK001400,6,1,0.9419841
GM0014,WK001400,6,2,0.864904254
GM0014,WK001401,1,0,0.962963322
GM0014,WK001401,1,1,0.962963322
GM0014,WK001401,1,2,0.962963322
GM0014,WK001401,2,0,0.945481185
GM0014,WK001401,2,1,0.945481185
GM0014,WK001401,2,2,0.945481185
GM0014,WK001401,3,0,0.869434768
GM0014,WK001401,3,1,0.918058751
GM0014,WK001401,3,2,0.918058751
GM0014,WK001401,4,0,0.842088661
GM0014,WK001401,4,1,0.9137342
GM0014,WK001401,4,2,0.932707884
GM0014,WK001401,5,0,0.939922715
GM0014,WK001401,5,1,0.952940688
GM0014,WK001401,5,2,0.927194051
GM0014,WK001401,6,0,1.082253279
GM0014,WK001401,6,1,1.044069457
GM0014,WK001401,6,2,0.967243347
GM0014,WK001402,1,0,0.940349917
GM0014,WK001402,1,1,0.940349917
GM0014,WK001402,1,2,0.940349917
GM0014,WK001402,2,0,0.940349917
GM0014,WK001402,2,1,0.940349917
GM0014,WK001402,2,2,0.940349917
GM0014,WK001402,3,0,0.895300084
GM0014,WK001402,3,1,0.920336445
GM0014,WK001402,3,2,0.920336445
GM0014,WK001402,4,0,0.81127903
GM0014,WK001402,4,1,0.867919156
GM0014,WK001402,4,2,0.858980641
GM0014,WK001402,5,0,0.900166483
GM0014,WK001402,5,1,0.959861446
GM0014,WK001402,5,2,0.841005517
GM0014,WK001402,6,0,0.831553875
GM0014,WK001402,6,1,0.903322166
GM0014,WK001402,6,2,0.762234364
GM0014,WK001403,1,0,0.96140181
GM0014,WK001403,1,1,0.96140181
GM0014,WK001403,1,2,0.96140181
GM0014,WK001403,2,0,0.96140181
GM0014,WK001403,2,1,0.96140181
GM0014,WK001403,2,2,0.96140181
GM0014,WK001403,3,0,0.99221473
GM0014,WK001403,3,1,0.988704959
GM0014,WK001403,3,2,1.015248368
GM0014,WK001403,4,0,0.88716879
GM0014,WK001403,4,1,0.913842736
GM0014,WK001403,4,2,0.961939064
GM0014,WK001403,5,0,0.955470272
GM0014,WK001403,5,1,1.000992602
GM0014,WK001403,5,2,0.923848138
GM0014,WK001403,6,0,1.002714727
GM0014,WK001403,6,1,1.027537886
GM0014,WK001403,6,2,0.824528596
GM0014,WK001404,1,0,0.913284748
GM0014,WK001404,1,1,0.913284748
GM0014,WK001404,1,2,0.913284748
GM0014,WK001404,2,0,0.849205556
GM0014,WK001404,2,1,0.849205556
GM0014,WK001404,2,2,0.849205556
GM0014,WK001404,3,0,0.708768241
GM0014,WK001404,3,1,0.806752303
GM0014,WK001404,3,2,0.71958378
GM0014,WK001404,4,0,0.695423119
GM0014,WK001404,4,1,0.810919765
GM0014,WK001404,4,2,0.744205263
GM0014,WK001404,5,0,0.826714686
GM0014,WK001404,5,1,0.876871813
GM0014,WK001404,5,2,0.780040755
GM0014,WK001404,6,0,0.97622387
GM0014,WK001404,6,1,0.922917805
GM0014,WK001404,6,2,0.810737983
GM0014,WK001405,1,0,0.862987784
GM0014,WK001405,1,1,0.862987784
GM0014,WK001405,1,2,0.862987784
GM0014,WK001405,2,0,0.862987784
GM0014,WK001405,2,1,0.862987784
GM0014,WK001405,2,2,0.862987784
GM0014,WK001405,3,0,0.862987784
GM0014,WK001405,3,1,0.862987784
GM0014,WK001405,3,2,0.862987784
GM0014,WK001405,4,0,0.859649676
GM0014,WK001405,4,1,0.865134761
GM0014,WK001405,4,2,0.865134761
GM0014,WK001405,5,0,0.862987784
GM0014,WK001405,5,1,0.862987784
GM0014,WK001405,5,2,0.862987784
GM0014,WK001405,6,0,0.606873644
GM0014,WK001405,6,1,0.561605758
GM0014,WK001405,6,2,0.622538009
GM0014,WK001406,1,0,1.128613367
GM0014,WK001406,1,1,1.03782595
GM0014,WK001406,1,2,1.03782595
GM0014,WK001406,2,0,1.056882429
GM0014,WK001406,2,1,1.004456493
GM0014,WK001406,2,2,1.004456493
GM0014,WK001406,3,0,0.98276294
GM0014,WK001406,3,1,0.974760652
GM0014,WK001406,3,2,0.974760652
GM0014,WK001406,4,0,0.963795311
GM0014,WK001406,4,1,0.885137542
GM0014,WK001406,4,2,1.108057586
GM0014,WK001406,5,0,0.879576857
GM0014,WK001406,5,1,0.869120574
GM0014,WK001406,5,2,0.802876266
GM0014,WK001406,6,0,0.932883405
GM0014,WK001406,6,1,0.946750786
GM0014,WK001406,6,2,0.907851036
GM0014,WK001407,1,0,0.91031799
GM0014,WK001407,1,1,0.918077348
GM0014,WK001407,1,2,0.918077348
GM0014,WK001407,2,0,0.987831106
GM0014,WK001407,2,1,0.9552225
GM0014,WK001407,2,2,0.9552225
GM0014,WK001407,3,0,0.873095699
GM0014,WK001407,3,1,0.897415301
GM0014,WK001407,3,2,0.813791321
GM0014,WK001407,4,0,0.859759582
GM0014,WK001407,4,1,0.98211138
GM0014,WK001407,4,2,0.810877782
GM0014,WK001407,5,0,0.780619819
GM0014,WK001407,5,1,0.805215279
GM0014,WK001407,5,2,0.81152438
GM0014,WK001407,6,0,0.865042713
GM0014,WK001407,6,1,0.778539304
GM0014,WK001407,6,2,0.838016945
GM0014,WK001408,1,0,0.855927233
GM0014,WK001408,1,1,0.903643143
GM0014,WK001408,1,2,0.903643143
GM0014,WK001408,2,0,0.820721899
GM0014,WK001408,2,1,0.884365799
GM0014,WK001408,2,2,0.83416998
GM0014,WK001408,3,0,0.895732293
GM0014,WK001408,3,1,0.939184233
GM0014,WK001408,3,2,0.999620676
GM0014,WK001408,4,0,0.906479895
GM0014,WK001408,4,1,0.989592475
GM0014,WK001408,4,2,0.924987873
GM0014,WK001408,5,0,0.952938099
GM0014,WK001408,5,1,1.028512992
GM0014,WK001408,5,2,0.933414869
GM0014,WK001408,6,0,0.852097008
GM0014,WK001408,6,1,0.852097008
GM0014,WK001408,6,2,0.806961957
GM0014,WK001409,1,0,0.80848065
GM0014,WK001409,1,1,0.864130323
GM0014,WK001409,1,2,0.864130323
GM0014,WK001409,2,0,0.763334166
GM0014,WK001409,2,1,0.839427345
GM0014,WK001409,2,2,0.839427345
GM0014,WK001409,3,0,0.855205722
GM0014,WK001409,3,1,0.889997571
GM0014,WK001409,3,2,0.976278224
GM0014,WK001409,4,0,0.835385023
GM0014,WK001409,4,1,0.919482683
GM0014,WK001409,4,2,0.981715917
GM0014,WK001409,5,0,0.878758674
GM0014,WK001409,5,1,0.737921334
GM0014,WK001409,5,2,0.843940795
GM0014,WK001409,6,0,0.75666729
GM0014,WK001409,6,1,0.832872154
GM0014,WK001409,6,2,0.749782443
GM0014,WK001410,1,0,0.979848574
GM0014,WK001410,1,1,0.979848574
GM0014,WK001410,1,2,0.979848574
GM0014,WK001410,2,0,1.007641148
GM0014,WK001410,2,1,0.997128631
GM0014,WK001410,2,2,0.997128631
GM0014,WK001410,3,0,1.027559838
GM0014,WK001410,3,1,1.028273073
GM0014,WK001410,3,2,1.163190116
GM0014,WK001410,4,0,1.058332838
GM0014,WK001410,4,1,1.174143076
GM0014,WK001410,4,2,1.094942718
GM0014,WK001410,5,0,0.907779753
GM0014,WK001410,5,1,0.906289552
GM0014,WK001410,5,2,1.022733289
GM0014,WK001410,6,0,0.927294661
GM0014,WK001410,6,1,0.844757141
GM0014,WK001410,6,2,0.901797056
GM0014,WK001411,1,0,0.791076094
GM0014,WK001411,1,1,0.849828469
GM0014,WK001411,1,2,0.849828469
GM0014,WK001411,2,0,0.715233359
GM0014,WK001411,2,1,0.807815656
GM0014,WK001411,2,2,0.807815656
GM0014,WK001411,3,0,0.817744558
GM0014,WK001411,3,1,0.874286178
GM0014,WK001411,3,2,0.870053116
GM0014,WK001411,4,0,0.790267681
GM0014,WK001411,4,1,0.881830331
GM0014,WK001411,4,2,0.863076903
GM0014,WK001411,5,0,0.681964146
GM0014,WK001411,5,1,0.744172081
GM0014,WK001411,5,2,0.827329843
GM0014,WK001411,6,0,0.864255456
GM0014,WK001411,6,1,0.864255456
GM0014,WK001411,6,2,0.816985522
GM0014,WK001412,1,0,0.849218328
GM0014,WK001412,1,1,0.884505387
GM0014,WK001412,1,2,0.884505387
GM0014,WK001412,2,0,0.788490173
GM0014,WK001412,2,1,0.852827908
GM0014,WK001412,2,2,0.852827908
GM0014,WK001412,3,0,0.770874464
GM0014,WK001412,3,1,0.848508161
GM0014,WK001412,3,2,0.822598925
GM0014,WK001412,4,0,0.76070334
GM0014,WK001412,4,1,0.845925836
GM0014,WK001412,4,2,0.834256318
GM0014,WK001412,5,0,0.869872243
GM0014,WK001412,5,1,0.851011736
GM0014,WK001412,5,2,0.935834575
GM0014,WK001412,6,0,0.949800749
GM0014,WK001412,6,1,0.949800749
GM0014,WK001412,6,2,0.983724027
GM0014,WK001413,1,0,1.026769684
GM0014,WK001413,1,1,1.009596183
GM0014,WK001413,1,2,1.009596183
GM0014,WK001413,2,0,0.96540192
GM0014,WK001413,2,1,0.980350486
GM0014,WK001413,2,2,0.980350486
GM0014,WK001413,3,0,0.995168195
GM0014,WK001413,3,1,0.995168195
GM0014,WK001413,3,2,0.995168195
GM0014,WK001413,4,0,0.995168195
GM0014,WK001413,4,1,0.995168195
GM0014,WK001413,4,2,0.995168195
GM0014,WK001413,5,0,0.995168195
GM0014,WK001413,5,1,0.995168195
GM0014,WK001413,5,2,0.995168195
GM0014,WK001413,6,0,0.995168195
