type_str,bouwjaar_str,Default_label,Vrv_GL_asl,Vrv_GL_opp,Vrv_G_asl,Vrv_G_opp,Vrv_F_asl,Vrv_F_opp,Vrv_E_asl,Vrv_E_opp,Vrv_D_asl,Vrv_D_opp,Vrv_C_asl,Vrv_C_opp,Vrv_B_asl,Vrv_B_opp,Vrv_A_asl,Vrv_A_opp,Vvent_asl,Vvent_opp,Vww_asl,Vww_opp,Ve_asl,Ve_opp,Vk_asl,Vk_opp,Ki_SGD_min_asl,Ki_SGD_min_opp,Ki_SGD_max_asl,Ki_SGD_max_opp,Ki_SFD_min_asl,Ki_SFD_min_opp,Ki_SFD_max_asl,Ki_SFD_max_opp,Ki_SED_min_asl,Ki_SED_min_opp,Ki_SED_max_asl,Ki_SED_max_opp,Ki_SGC_min_asl,Ki_SGC_min_opp,Ki_SGC_max_asl,Ki_SGC_max_opp,Ki_SFC_min_asl,Ki_SFC_min_opp,Ki_SFC_max_asl,Ki_SFC_max_opp,Ki_SEC_min_asl,Ki_SEC_min_opp,Ki_SEC_max_asl,Ki_SEC_max_opp,Ki_SDC_min_asl,Ki_SDC_min_opp,Ki_SDC_max_asl,Ki_SDC_max_opp,Ki_SGB_min_asl,Ki_SGB_min_opp,Ki_SGB_max_asl,Ki_SGB_max_opp,Ki_SFB_min_asl,Ki_SFB_min_opp,Ki_SFB_max_asl,Ki_SFB_max_opp,Ki_SEB_min_asl,Ki_SEB_min_opp,Ki_SEB_max_asl,Ki_SEB_max_opp,Ki_SDB_min_asl,Ki_SDB_min_opp,Ki_SDB_max_asl,Ki_SDB_max_opp,Ki_SCB_min_asl,Ki_SCB_min_opp,Ki_SCB_max_asl,Ki_SCB_max_opp,Ki_SGA_min_asl,Ki_SGA_min_opp,Ki_SGA_max_asl,Ki_SGA_max_opp,Ki_SFA_min_asl,Ki_SFA_min_opp,Ki_SFA_max_asl,Ki_SFA_max_opp,Ki_SEA_min_asl,Ki_SEA_min_opp,Ki_SEA_max_asl,Ki_SEA_max_opp,Ki_SDA_min_asl,Ki_SDA_min_opp,Ki_SDA_max_asl,Ki_SDA_max_opp,Ki_SCA_min_asl,Ki_SCA_min_opp,Ki_SCA_max_asl,Ki_SCA_max_opp,Ki_SBA_min_asl,Ki_SBA_min_opp,Ki_SBA_max_asl,Ki_SBA_max_opp
vrijstaand,voor 1930,F,40.22125958,0.159864125,32.64893378,0.183778586,30.50050646,0.210052796,30.71182718,0.19952198,27.0489347,0.191914434,27.26025542,0.168704375,28.77472058,0.159265383,27.64767674,0.140070417,0,0.006621277,8.5,0,9.7,0,0,0.01296,16845.301,16.17,18566.192,40.283,2528.164,24.486,2311.219,47.144,4205,0,7016,0,11425.018,65.799,13910.794,93.594,8776.767,28.234,7795.878,59.262,4451.381,31.243,7063.837,41.39,5138.841,2.93,7785.715,2.727,32393.623,0.305,40584.786,12.608,6301.152,112.165,263.676,219.786,13735.342,36.261,16872.455,58.525,16415.643,39.544,21297.79,53.598,8177.926,22.283,11199.016,33.059,21203.08799,101.3711725,45139.9199,241.6212742,21203.08799,101.3711725,45139.9199,241.6212742,18978.98332,59.51556049,40286.8797,211.0926092,18978.98332,59.51556049,40286.8797,211.0926092,6913.668044,27.22185258,26758.10966,148.1593589,6913.668044,27.22185258,26758.10966,148.1593589
vrijstaand,1930 - 1945,F,44.41245386,0.151235195,35.5017635,0.183496825,32.6841539,0.198465376,27.50679626,0.224387385,29.54956322,0.183954687,34.76214098,0.13193457,28.4577395,0.16726035,30.32440586,0.139260354,0,0.006621277,8.5,0,9.7,0,0,0.01296,11617.076,37.53,12608.002,67.267,2528.164,24.486,2311.219,47.144,4205,0,7016,0,411.134,122.478,-3490.469,191.232,6897.523,31.299,6358.182,64.962,4124.368,28.405,7125.727,32.795,5371.488,3.917,8263.903,4.62,32393.623,0.305,40584.786,12.608,6301.152,112.165,263.676,219.786,13735.342,36.261,16872.455,58.525,16415.643,39.544,21297.79,53.598,8177.926,22.283,11199.016,33.059,21203.08799,101.3711725,45139.9199,241.6212742,21203.08799,101.3711725,45139.9199,241.6212742,18978.98332,59.51556049,40286.8797,211.0926092,18978.98332,59.51556049,40286.8797,211.0926092,6913.668044,27.22185258,26758.10966,148.1593589,6913.668044,27.22185258,26758.10966,148.1593589
vrijstaand,1946 - 1964,F,41.4891839,0.164724501,31.41622958,0.180573555,34.65648062,0.186560976,29.5143431,0.216815059,26.02755122,0.200085502,25.67535002,0.179587392,19.05396746,0.212694305,31.02880826,0.127672935,0,0.009176184,8.5,0,9.7,0,0,0.01296,11617.076,37.53,12608.002,67.267,413.29,34.536,716.866,49.661,-427.049,21.589,1648.447,18.48,411.134,122.478,-3490.469,191.232,6897.523,31.299,6358.182,64.962,3521.855,22.155,11121.293,-7.248,5371.488,3.917,8263.903,4.62,32393.623,0.305,40584.786,12.608,6301.152,112.165,263.676,219.786,13735.342,36.261,16872.455,58.525,16415.643,39.544,21297.79,53.598,8177.926,22.283,11199.016,33.059,10994.30984,179.9002351,20631.97423,430.1439332,10994.30984,179.9002351,20631.97423,430.1439332,10994.30984,179.9002351,20631.97423,430.1439332,12884.58481,120.2276151,24679.93401,341.5824817,5179.74658,81.91352789,12933.83136,296.258127,5179.74658,81.91352789,12933.83136,296.258127
vrijstaand,1965 - 1974,D,33.22239053,0.197373552,17.12679569,0.277076684,34.63119533,0.18483519,36.25132085,0.182898083,27.86893229,0.212095563,22.37459357,0.205650281,18.39472001,0.200789904,17.61987737,0.19652827,0,0.009750179,9.2,0,9.56,0,0,0.01296,12025.376,36.462,13449.371,65.065,2616.856,28.505,2653.228,49.865,4205,0,7016,0,8852.044,34.093,10864.615,65.732,9145.441,31.459,9333.907,68.809,13069.773,22.924,17448.504,30.056,4269.825,10.563,7226.865,13.652,32393.623,0.305,40584.786,12.608,6301.152,112.165,263.676,219.786,11664.957,72.761,11311.764,136.618,21217.989,28.447,25852.412,49.315,4853.327,42.792,3955.086,76.298,21527.61674,92.85088161,26511.2452,344.7452453,21527.61674,92.85088161,26511.2452,344.7452453,21527.61674,92.85088161,26511.2452,344.7452453,21527.61674,92.85088161,26511.2452,344.7452453,11673.04938,53.24521186,17888.50671,254.71797,11673.04938,53.24521186,17888.50671,254.71797
vrijstaand,1975 - 1991,C,33.57665659,0.156025132,17.12679569,0.277076684,36.42948631,0.1643723,20.50999207,0.241187382,29.38546231,0.187054057,25.22948815,0.185363492,14.41691131,0.198324496,20.47477195,0.163984879,0,0.008885914,9.7,0,9.46,0,0,0.01296,12025.376,36.462,13449.371,65.065,2616.856,28.505,2653.228,49.865,4205,0,7016,0,411.134,122.478,-3490.469,191.232,9145.441,31.459,9333.907,68.809,12890.357,19.762,13593.148,38.198,4269.825,10.563,7226.865,13.652,32393.623,0.305,40584.786,12.608,6301.152,112.165,263.676,219.786,11664.957,72.761,11311.764,136.618,19308.279,41.439,23583.569,64.249,7114.102,23.433,11145.908,29.937,28247.74527,49.21368334,51158.619,184.6973635,28247.74527,49.21368334,51158.619,184.6973635,28247.74527,49.21368334,51158.619,184.6973635,28247.74527,49.21368334,51158.619,184.6973635,28247.74527,49.21368334,51158.619,184.6973635,20733.30708,39.86522284,41702.13545,159.5164313
vrijstaand,1992 - 1995,C,31.30515359,0.124503124,17.12679569,0.277076684,36.42948631,0.1643723,20.50999207,0.241187382,29.38546231,0.187054057,20.84477795,0.154440226,15.38565935,0.185750913,19.22465243,0.142571046,0,0,10.6,0,9.28,0,0,0.01296,12025.376,36.462,13449.371,65.065,2616.856,28.505,2653.228,49.865,4205,0,7016,0,8852.044,34.093,-3490.469,191.232,9145.441,31.459,9333.907,68.809,12890.357,19.762,13593.148,38.198,4269.825,10.563,7226.865,13.652,32393.623,0.305,40584.786,12.608,6301.152,112.165,263.676,219.786,11664.957,72.761,11311.764,136.618,19308.279,41.439,23583.569,64.249,3936.162,44.035,6132.409,61.136,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635
vrijstaand,1996 - 1999,B,30.91773227,0.109323252,17.12679569,0.277076684,36.42948631,0.1643723,20.50999207,0.241187382,29.38546231,0.187054057,16.09006175,0.170676702,12.42716927,0.174410034,18.16804883,0.138203751,0,0,10.6,0,9.28,0,0,0.01296,12025.376,36.462,13449.371,65.065,2616.856,28.505,2653.228,49.865,4205,0,7016,0,411.134,122.478,-3490.469,191.232,9145.441,31.459,9333.907,68.809,6900.752,24.851,9519.484,31.712,5371.488,3.917,8263.903,4.62,32393.623,0.305,40584.786,12.608,6301.152,112.165,263.676,219.786,11664.957,72.761,11311.764,136.618,16415.643,39.544,21297.79,53.598,8177.926,22.283,11199.016,33.059,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635
vrijstaand,2000 - 2005,B,32.99571935,0.097594953,17.12679569,0.277076684,36.42948631,0.1643723,20.50999207,0.241187382,29.38546231,0.187054057,16.09006175,0.170676702,16.26616235,0.162928275,18.37936955,0.135210041,0,0,10.6,0,9.28,0,0,0.01296,12025.376,36.462,13449.371,65.065,2616.856,28.505,2653.228,49.865,4205,0,7016,0,411.134,122.478,-3490.469,191.232,9145.441,31.459,9333.907,68.809,6900.752,24.851,9519.484,31.712,5371.488,3.917,8263.903,4.62,32393.623,0.305,40584.786,12.608,6301.152,112.165,263.676,219.786,11664.957,72.761,11311.764,136.618,16415.643,39.544,21297.79,53.598,8177.926,22.283,11199.016,33.059,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635
vrijstaand,2006 - 2010,B,37.43345447,0.066108165,17.12679569,0.277076684,36.42948631,0.1643723,20.50999207,0.241187382,29.38546231,0.187054057,16.09006175,0.170676702,16.26616235,0.162928275,19.43597315,0.120523251,0,0,10.6,0,9.28,0,0,0.01296,12025.376,36.462,13449.371,65.065,2616.856,28.505,2653.228,49.865,4205,0,7016,0,411.134,122.478,-3490.469,191.232,9145.441,31.459,9333.907,68.809,6900.752,24.851,9519.484,31.712,5371.488,3.917,8263.903,4.62,32393.623,0.305,40584.786,12.608,6301.152,112.165,263.676,219.786,11664.957,72.761,11311.764,136.618,16415.643,39.544,21297.79,53.598,8177.926,22.283,11199.016,33.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vrijstaand,2011 - 2014,B,25.59949415,0.089740866,17.12679569,0.277076684,36.42948631,0.1643723,20.50999207,0.241187382,29.38546231,0.187054057,16.09006175,0.170676702,16.26616235,0.162928275,11.15924495,0.137534569,0,0,10.6,0,9.28,0,0,0.01296,12025.376,36.462,13449.371,65.065,2616.856,28.505,2653.228,49.865,4205,0,7016,0,411.134,122.478,-3490.469,191.232,9145.441,31.459,9333.907,68.809,6900.752,24.851,9519.484,31.712,5371.488,3.917,8263.903,4.62,32393.623,0.305,40584.786,12.608,6301.152,112.165,263.676,219.786,11664.957,72.761,11311.764,136.618,16415.643,39.544,21297.79,53.598,8177.926,22.283,11199.016,33.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
