woningtype_str,bouwjaar_str,,V_WW,E_WW_GAS,E_WW_WARM,E_WW_ELEK,V_RV_vast,V_RV_var,V_RV_GL_vast,V_RV_GL_var,V_RV_CORR_vast,V_RV_CORR_var,V_P_ELEK,EG,E_RV_GAS,E_RV_WARM,E_RV_ELEK,V_KOU,E_KOU_ELEK,V_APP_ELEK,E_APP_ELEK,V_Vent,EnergieIndex,EnergieLabel,AC_WW,AC_RV,R_COLL,,,,,,MVA_EG_vast,MVA_eg_var,RB_FAC_A,MVA_EG_EUR_MIN_vast,MVA_EG_EUR_MIN_var,MVA_EG_EUR_MAX_vast,MVA_EG_EUR_MAX_var,MVB_EG_vast,MVB_EG_var,RB_FAC_B,MVB_EG_EUR_MIN_vast,MVB_EG_EUR_MIN_var,MVB_EG_EUR_MAX_vast,MVB_EG_EUR_MAX_var,MVC_EG_vast,MVC_EG_var,RB_FAC_C,MVC_EG_EUR_MIN_vast,MVC_EG_EUR_MIN_var,MVC_EG_EUR_MAX_vast,MVC_EG_EUR_MAX_var,MVD_EG_vast,MVD_EG_var,RB_FAC_D,MVD_EG_EUR_MIN_vast,MVD_EG_EUR_MIN_var,MVD_EG_EUR_MAX_vast,MVD_EG_EUR_MAX_var,MVE_EG_vast,MVE_EG_var,RB_FAC_E,MVE_EG_EUR_MIN_vast,MVE_EG_EUR_MIN_var,MVE_EG_EUR_MAX_vast,MVE_EG_EUR_MAX_var,MVF_EG_vast,MVF_EG_var,RB_FAC_F,MVF_EG_EUR_MIN_vast,MVF_EG_EUR_MIN_var,MVF_EG_EUR_MAX_vast,MVF_EG_EUR_MAX_var,MV_RV,K_LTAS_MIN,K_LTAS_MAX,VL_OPP_WON_MIN,VL_OPP_WON_MAX
2 onder 1 kap,1992 - 2005,,8.15,0.72,1,nvt,16.45988064,0.127306187,28.33825475,0.087206099,13.72123798,0.164038583,0.01008,1,1.07,1,nvt,0.01296,nvt,9.68,1,0,1.36,B,4,7.5,0,,,,,,,,0,,,,,,,0,,,,,15.27427314,0.140032937,0,14223.53468,52.49874438,30258.58367,171.0844266,,,0,,,,,,,0,,,,,15.27427314,0.140032937,0,14223.53468,52.49874438,30258.58367,171.0844266,1.07,957.5098039,3221.918627,132,132
2 onder 1 kap,2006 - 2014,,8.15,0.72,1,nvt,15.57580023,0.076071199,23.04456753,0.072781186,13.72123798,0.164038583,0.01008,1,1.07,1,nvt,0.01296,nvt,9.68,1,0,0.9,A,4,7.5,0,,,,,,,,0,,,,,,,0,,,,,13.18025265,0.123533452,0,15339.77046,52.49874438,32116.98548,171.0844266,,,0,,,,,,,0,,,,,13.18025265,0.123533452,0,15339.77046,52.49874438,32116.98548,171.0844266,1.07,957.5098039,3221.918627,132,132
rijwoning tussen,voor 1946,,8.6,0.72,1,nvt,28.68562032,0.164897754,31.08478311,0.155754703,,,0.01008,1,1.07,1,nvt,0.01296,nvt,9.98,1,0.008135673,2.11,G,4,7,0,,,,,,20.30782236,0.222132032,0,-1848.345513,68.48175411,-2402.663122,85.89713378,16.57173697,0.195414258,0,6626.963435,94.30749498,8520.116126,131.0101271,15.21127898,0.17920157,0,9690.957549,97.3859489,15829.73801,239.4478288,16.57173697,0.195414258,0,8478.924651,25.82574086,10926.39495,45.11299335,15.21127898,0.17920157,0,11570.92667,27.73253056,18273.50864,152.0810686,15.21127898,0.17920157,0,2950.612439,1.464933358,7163.849984,106.1962305,1.07,957.5098039,3221.918627,102,102
rijwoning tussen,1946 - 1964,,8.6,0.72,1,nvt,29.63642297,0.146173631,38.66550457,0.096396825,28.78231838,0.166300881,0.01008,1,1.07,1,nvt,0.01296,nvt,10.13,1,0.007684654,2.06,F,4,7,0,,,,,,22.70893315,0.144635842,0,1684.660687,10.19103784,5614.730013,2.802416215,19.47186575,0.146121325,0,10708.68772,-1.293327631,15409.1987,-6.036789851,21.20202052,0.115711427,0,18346.19553,-2.099545134,38034.41128,-15.77830072,19.47186575,0.146121325,0,9007.372888,-11.48436547,9777.814538,-8.839206067,21.20202052,0.115711427,0,16632.71174,-12.46494291,32323.61804,-18.62866388,21.20202052,0.115711427,0,7454.291324,-0.784089773,22361.57437,-9.638226561,1.07,957.5098039,3221.918627,87,87
rijwoning tussen,1965 - 1974,,8.6,0.72,1,nvt,28.33591426,0.122014339,38.38494747,0.086735373,24.0013817,0.163980598,0.01008,1,1.07,1,nvt,0.01296,nvt,9.94,1,0.007517702,2.18,E,4,7,0,,,,,,,,0,,,,,16.93176817,0.157080425,0,7563.468918,20.34321924,7049.769865,59.47894006,18.12613135,0.144091862,0,14239.62379,40.4339827,17660.2271,193.1724554,,,0,,,,,,,0,,,,,18.12613135,0.144091862,0,6546.750392,19.74270838,10489.8417,132.6758816,1.07,957.5098039,3221.918627,106,106
rijwoning tussen,1975 - 1991,,8.6,0.72,1,nvt,23.48391748,0.092268063,31.03148137,0.089438071,29.12398081,0.080757395,0.01008,1,1.07,1,nvt,0.01296,nvt,9.94,1,0.003662524,1.66,C,4,7,0,,,,,,,,0,,,,,10.55081936,0.189348884,0,4098.058644,27.12510994,5396.238919,38.84758603,13.07931162,0.1666189,0,9039.602371,89.49078856,17179.90248,197.7038197,,,0,,,,,,,0,,,,,13.07931162,0.1666189,0,4871.429449,61.9015912,11691.33853,158.1915847,1.07,957.5098039,3221.918627,106,106
rijwoning tussen,1992 - 2005,,7.1,0.72,1,nvt,7.058807048,0.228971476,20.87146648,0.143759203,0.597141758,0.270730344,0.01008,1,1.07,1,nvt,0.01296,nvt,9.86,1,0,1.37,B,4,7,0,,,,,,,,0,,,,,16.94445688,0.101423658,0,2682.168708,13.77581861,1211.800586,47.06579914,8.706105377,0.167430685,0,-7413.326308,179.1327645,-20432.27606,471.2746464,,,0,,,,,,,0,,,,,8.706105377,0.167430685,0,-6833.431212,165.1212535,-18356.8561,423.4035917,1.07,957.5098039,3221.918627,114,114
rijwoning tussen,2006 - 2014,,6.35,0.72,1,nvt,11.33497497,0.105532068,16.38467581,0.090295671,13.00472373,0.100023526,0.01008,1,1.07,1,nvt,0.01296,nvt,9.86,1,0,0.9,A,4,7,0,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,1.07,957.5098039,3221.918627,114,114
rijwoning hoek,voor 1946,,7.3,0.72,1,nvt,19.05521501,0.171153622,22.15847435,0.162388765,18.27847269,0.181582529,0.01008,1,1.07,1,nvt,0.01296,nvt,9.98,1,0.007035359,2.11,G,4,7,0,,,,,,13.61746903,0.187829173,0,582.7821135,15.61363647,732.1006286,17.90684779,12.87206669,0.165579062,0,5758.44723,59.42962306,7556.899203,88.48141665,8.970096076,0.186710582,0,10115.33268,92.50807379,17135.0166,224.4446266,12.87206669,0.165579062,0,5170.241562,43.81598659,6819.375021,70.57456886,8.970096076,0.186710582,0,9522.579667,76.62730135,16390.39036,206.2314079,8.970096076,0.186710582,0,4258.363348,32.06166072,9448.825319,134.4493686,1.07,957.5098039,3221.918627,102,102
rijwoning hoek,1946 - 1964,,7.3,0.72,1,nvt,27.496579,0.082152779,29.8636555,0.100599381,19.9447906,0.180789572,0.01008,1,1.07,1,nvt,0.01296,nvt,10.13,1,0.007829621,2.06,F,4,7,0,,,,,,16.9356713,0.141403347,0,3005.373274,5.052526305,3893.79108,18.25197742,15.64248957,0.128598901,0,10268.70083,4.167644728,14960.63675,5.385536636,19.83619333,0.084756777,0,17578.10246,6.729110872,35492.2854,13.44153691,15.64248957,0.128598901,0,7268.751114,-0.884881577,11072.26922,-12.86644078,19.83619333,0.084756777,0,14521.30982,1.590140164,31531.87489,-5.122716223,19.83619333,0.084756777,0,7133.712937,2.490161308,20275.68496,7.963858352,1.07,957.5098039,3221.918627,87,87
