type_str,bouwjaar_str,Default_label,Vrv_N_asl,Vrv_N_opp,Vrv_G_asl,Vrv_G_opp,Vrv_F_asl,Vrv_F_opp,Vrv_E_asl,Vrv_E_opp,Vrv_D_asl,Vrv_D_opp,Vrv_C_asl,Vrv_C_opp,Vrv_B_asl,Vrv_B_opp,Vrv_A_asl,Vrv_A_opp,Vvent_asl,Vvent_opp,Vww_asl,Vww_opp,Ve_asl,Ve_opp,Vk_asl,Vk_opp
flats meer dan 4 verdiepingen,2020<=2030,A,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,0,0,3.966666667,0,9.927648,0,0,0
flats meer dan 4 verdiepingen,2030<=2040,A,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,0,0,3.966666667,0,9.927648,0,0,0
flats meer dan 4 verdiepingen,2040<=2050,A,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,0,0,3.966666667,0,9.927648,0,0,0
zelfstandige bejaardenwoning,2000<=2010,A,14.76,0,14.76,0,14.76,0,14.76,0,14.76,0,14.76,0,14.76,0,14.76,0,0,0,4.066666667,0,9.897408,0,0,0
zelfstandige bejaardenwoning,2010<=2020,A,14.76,0,14.76,0,14.76,0,14.76,0,14.76,0,14.76,0,14.76,0,14.76,0,0,0,4.066666667,0,9.897408,0,0,0
zelfstandige bejaardenwoning,2020<=2030,A,14.76,0,14.76,0,14.76,0,14.76,0,14.76,0,14.76,0,14.76,0,14.76,0,0,0,4.066666667,0,9.897408,0,0,0
zelfstandige bejaardenwoning,2030<=2040,A,14.76,0,14.76,0,14.76,0,14.76,0,14.76,0,14.76,0,14.76,0,14.76,0,0,0,4.066666667,0,9.897408,0,0,0
zelfstandige bejaardenwoning,2040<=2050,A,14.76,0,14.76,0,14.76,0,14.76,0,14.76,0,14.76,0,14.76,0,14.76,0,0,0,4.066666667,0,9.897408,0,0,0
etagewoning/maisonnette,2000<=2010,A,15.12,0,15.12,0,15.12,0,15.12,0,15.12,0,15.12,0,15.12,0,15.12,0,0,0,4.133333333,0,11.969424,0,0,0
etagewoning/maisonnette,2010<=2020,A,15.12,0,15.12,0,15.12,0,15.12,0,15.12,0,15.12,0,15.12,0,15.12,0,0,0,4.133333333,0,11.969424,0,0,0
etagewoning/maisonnette,2020<=2030,A,15.12,0,15.12,0,15.12,0,15.12,0,15.12,0,15.12,0,15.12,0,15.12,0,0,0,4.133333333,0,11.969424,0,0,0
etagewoning/maisonnette,2030<=2040,A,15.12,0,15.12,0,15.12,0,15.12,0,15.12,0,15.12,0,15.12,0,15.12,0,0,0,4.133333333,0,11.969424,0,0,0
etagewoning/maisonnette,2040<=2050,A,15.12,0,15.12,0,15.12,0,15.12,0,15.12,0,15.12,0,15.12,0,15.12,0,0,0,4.133333333,0,11.969424,0,0,0
etage/flats grachtenpand,2000<=2010,A,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,0,0,3.8,0,9.978048,0,0,0
etage/flats grachtenpand,2010<=2020,A,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,0,0,3.8,0,9.978048,0,0,0
etage/flats grachtenpand,2020<=2030,A,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,0,0,3.8,0,9.978048,0,0,0
etage/flats grachtenpand,2030<=2040,A,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,0,0,3.8,0,9.978048,0,0,0
etage/flats grachtenpand,2040<=2050,A,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,0,0,3.8,0,9.978048,0,0,0
studentenwoning/flat,2000<=2010,A,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,0,0,3.8,0,9.978048,0,0,0
studentenwoning/flat,2010<=2020,A,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,0,0,3.8,0,9.978048,0,0,0
studentenwoning/flat,2020<=2030,A,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,0,0,3.8,0,9.978048,0,0,0
studentenwoning/flat,2030<=2040,A,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,0,0,3.8,0,9.978048,0,0,0
studentenwoning/flat,2040<=2050,A,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,0,0,3.8,0,9.978048,0,0,0
divers,2000<=2010,A,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,0,0,5.133333333,0,11.667024,0,0,0
divers,2010<=2020,A,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,0,0,5.133333333,0,11.667024,0,0,0
divers,2020<=2030,A,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,0,0,5.133333333,0,11.667024,0,0,0
divers,2030<=2040,A,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,0,0,5.133333333,0,11.667024,0,0,0
divers,2040<=2050,A,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,0,0,5.133333333,0,11.667024,0,0,0
onbekend,2000<=2010,A,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,0,0,5.133333333,0,11.667024,0,0,0
onbekend,2010<=2020,A,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,0,0,5.133333333,0,11.667024,0,0,0
onbekend,2020<=2030,A,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,0,0,5.133333333,0,11.667024,0,0,0
onbekend,2030<=2040,A,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,0,0,5.133333333,0,11.667024,0,0,0
onbekend,2040<=2050,A,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,0,0,5.133333333,0,11.667024,0,0,0
woonboten,2000<=2010,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
woonboten,2010<=2020,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
woonboten,2020<=2030,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
woonboten,2030<=2040,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
woonboten,2040<=2050,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
woonwagens,2000<=2010,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
woonwagens,2010<=2020,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
woonwagens,2020<=2030,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
woonwagens,2030<=2040,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
woonwagens,2040<=2050,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
