type_str,bouwjaar_str,Default_label,Vrv_GL_asl,Vrv_GL_opp,Vrv_G_asl,Vrv_G_opp,Vrv_F_asl,Vrv_F_opp,Vrv_E_asl,Vrv_E_opp,Vrv_D_asl,Vrv_D_opp,Vrv_C_asl,Vrv_C_opp,Vrv_B_asl,Vrv_B_opp,Vrv_A_asl,Vrv_A_opp,Vvent_asl,Vvent_opp,Vww_asl,Vww_opp,Ve_asl,Ve_opp,Vk_asl,Vk_opp,Ki_SGD_min_asl,Ki_SGD_min_opp,Ki_SGD_max_asl,Ki_SGD_max_opp,Ki_SFD_min_asl,Ki_SFD_min_opp,Ki_SFD_max_asl,Ki_SFD_max_opp,Ki_SED_min_asl,Ki_SED_min_opp,Ki_SED_max_asl,Ki_SED_max_opp,Ki_SGC_min_asl,Ki_SGC_min_opp,Ki_SGC_max_asl,Ki_SGC_max_opp,Ki_SFC_min_asl,Ki_SFC_min_opp,Ki_SFC_max_asl,Ki_SFC_max_opp,Ki_SEC_min_asl,Ki_SEC_min_opp,Ki_SEC_max_asl,Ki_SEC_max_opp,Ki_SDC_min_asl,Ki_SDC_min_opp,Ki_SDC_max_asl,Ki_SDC_max_opp,Ki_SGB_min_asl,Ki_SGB_min_opp,Ki_SGB_max_asl,Ki_SGB_max_opp,Ki_SFB_min_asl,Ki_SFB_min_opp,Ki_SFB_max_asl,Ki_SFB_max_opp,Ki_SEB_min_asl,Ki_SEB_min_opp,Ki_SEB_max_asl,Ki_SEB_max_opp,Ki_SDB_min_asl,Ki_SDB_min_opp,Ki_SDB_max_asl,Ki_SDB_max_opp,Ki_SCB_min_asl,Ki_SCB_min_opp,Ki_SCB_max_asl,Ki_SCB_max_opp,Ki_SGA_min_asl,Ki_SGA_min_opp,Ki_SGA_max_asl,Ki_SGA_max_opp,Ki_SFA_min_asl,Ki_SFA_min_opp,Ki_SFA_max_asl,Ki_SFA_max_opp,Ki_SEA_min_asl,Ki_SEA_min_opp,Ki_SEA_max_asl,Ki_SEA_max_opp,Ki_SDA_min_asl,Ki_SDA_min_opp,Ki_SDA_max_asl,Ki_SDA_max_opp,Ki_SCA_min_asl,Ki_SCA_min_opp,Ki_SCA_max_asl,Ki_SCA_max_opp,Ki_SBA_min_asl,Ki_SBA_min_opp,Ki_SBA_max_asl,Ki_SBA_max_opp
vrijstaand,2015 - 2020,A,13.79037596,0.1003701,18.14479962,0.293545915,30.09688401,0.135799171,22.92518739,0.269588887,30.5608808,0.19453622,16.57727483,0.175844855,15.33579867,0.153609387,1.356215475,0.120868606,0,0,10.6,0,9.28,0,0,0.01296,12025.376,36.462,13449.371,65.065,2616.856,28.505,2653.228,49.865,4205,0,7016,0,411.134,122.478,-3490.469,191.232,9145.441,31.459,9333.907,68.809,6900.752,24.851,9519.484,31.712,5371.488,3.917,8263.903,4.62,32393.623,0.305,40584.786,12.608,6301.152,112.165,263.676,219.786,11664.957,72.761,11311.764,136.618,16415.643,39.544,21297.79,53.598,8177.926,22.283,11199.016,33.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 onder 1 kap,voor 1930,F,25.56640412,0.149048915,17.01173565,0.155826293,24.3018897,0.186411788,17.77516282,0.161399366,14.01342592,0.156788915,15.94703228,0.151034408,2.675575552,0.22413821,9.077279868,0.164842485,0,0.007766557,10.6,0,9.9,0,0,0.01296,6619.391,31.871,16590.72,12.815,1192.794,32.122,6066.752,38.686,4205,0,7016,0,8852.044,34.093,10864.615,65.732,7152.344,29.998,10639.391,40.379,3892.217,29.718,4897.252,38.413,-464.603,34.058,-849.32,49.794,21388.5,0,27985.5,0,20467.5,0,33180.5,0,20054.5,0,27982.5,0,15261.5,0,20666.5,0,2769.635,63.842,4826.255,75.315,11481.57608,134.8738458,21331.24946,314.3659756,11481.57608,134.8738458,21331.24946,314.3659756,9572.418289,105.0801025,19189.51895,274.0796142,9572.418289,105.0801025,19189.51895,274.0796142,4279.652342,35.51743409,11734.88432,183.8722909,4279.652342,35.51743409,11734.88432,183.8722909
2 onder 1 kap,1930 - 1945,F,29.09236604,0.145420255,19.80854233,0.148348515,26.21891754,0.183574586,19.98932997,0.164552877,18.38835731,0.138950285,15.98126492,0.176811586,-0.189696416,0.242962739,9.077279868,0.164842485,0,0.007766557,10.6,0,9.9,0,0,0.01296,6619.391,31.871,16590.72,12.815,488.977,32.923,3369.718,42.704,4205,0,7016,0,8852.044,34.093,10864.615,65.732,5366.489,33.164,9037.736,43.643,1898.667,33.432,2484.3,43.221,2136.898,8.388,2814.179,20.757,21388.5,0,27985.5,0,20467.5,0,33180.5,0,20054.5,0,27982.5,0,15261.5,0,20666.5,0,2769.635,63.842,4826.255,75.315,11481.57608,134.8738458,21331.24946,314.3659756,11481.57608,134.8738458,21331.24946,314.3659756,9572.418289,105.0801025,19189.51895,274.0796142,9572.418289,105.0801025,19189.51895,274.0796142,4279.652342,35.51743409,11734.88432,183.8722909,4279.652342,35.51743409,11734.88432,183.8722909
2 onder 1 kap,1946 - 1964,E,30.32474108,0.111187615,18.39541895,0.135836485,29.13279985,0.134076927,24.18282837,0.116210228,18.17269168,0.101547703,16.11819548,0.133986553,9.484447644,0.149856805,10.9073568,0.156878262,0,0.009481846,10.6,0,9.9,0,0,0.01296,6619.391,31.871,16590.72,12.815,488.977,32.923,3369.718,42.704,1903.474,4.373,2828.831,5.094,8852.044,34.093,10864.615,65.732,5366.489,33.164,9037.736,43.643,2757.018,21.978,3567.734,27.21,514.753,23.708,628.532,36.23,21388.5,0,27985.5,0,20467.5,0,33180.5,0,20054.5,0,27982.5,0,15261.5,0,20666.5,0,2769.635,63.842,4826.255,75.315,14857.39974,104.1845398,32344.96631,214.2412771,14857.39974,104.1845398,32344.96631,214.2412771,17547.30894,49.78178606,35634.73682,146.1262495,17547.30894,49.78178606,35634.73682,146.1262495,7036.790837,49.78178606,20729.96664,146.1262495,7036.790837,49.78178606,20729.96664,146.1262495
2 onder 1 kap,1965 - 1974,D,38.67875509,0.100541264,21.75266185,0.150291559,19.0889738,0.247143229,21.50021425,0.181058487,22.57955731,0.128505907,19.81657045,0.153978415,13.36755389,0.153769595,8.299040006,0.199478386,0,0.010574889,7.5,0,9.77,0,0,0.01296,7206.861,29.478,15926.905,15.519,870.975,32.194,3754.557,41.969,1382.559,10.706,1914.44,19.079,8852.044,34.093,10864.615,65.732,5366.489,33.164,9037.736,43.643,1315.889,47.497,1598.172,64.625,1358.135,17.72,972.372,35.687,21388.5,0,27985.5,0,20467.5,0,33180.5,0,20054.5,0,27982.5,0,15261.5,0,20666.5,0,5646.109,14.62,7245.314,29.627,19888.82541,56.9476218,46464.388,89.83807155,19888.82541,56.9476218,46464.388,89.83807155,19888.82541,56.9476218,46464.388,89.83807155,17979.45766,34.16388072,44555.02025,67.05433047,17979.45766,34.16388072,44555.02025,67.05433047,10297.41335,30.86952805,31789.9323,64.51570144
2 onder 1 kap,1975 - 1991,C,32.03762293,0.101191684,21.75266185,0.150291559,36.68728937,0.051107962,9.825514702,0.252415055,20.94666038,0.129830711,22.55518165,0.131008313,16.57172899,0.119632807,14.97543178,0.160741758,0,0.007232955,7.5,0,9.77,0,0,0.01296,7206.861,29.478,15926.905,15.519,870.975,32.194,3754.557,41.969,1382.559,10.706,1914.44,19.079,8852.044,34.093,10864.615,65.732,5366.489,33.164,9037.736,43.643,1315.889,47.497,1598.172,64.625,1358.135,17.72,972.372,35.687,21388.5,0,27985.5,0,20467.5,0,33180.5,0,20054.5,0,27982.5,0,15261.5,0,20666.5,0,4549.782,16.42,6139.053,29.435,20436.03733,52.49874438,36471.08632,171.0844266,20436.03733,52.49874438,36471.08632,171.0844266,20436.03733,52.49874438,36471.08632,171.0844266,20436.03733,52.49874438,36471.08632,171.0844266,20436.03733,52.49874438,36471.08632,171.0844266,14538.12028,42.99113195,29142.86118,148.433421
2 onder 1 kap,1992 - 1995,B,23.56423033,0.105299601,21.75266185,0.150291559,36.68728937,0.051107962,9.825514702,0.252415055,20.94666038,0.129830711,11.17201465,0.174107207,11.56447261,0.144958114,11.50086858,0.156878262,0,0,8.15,0,9.68,0,0,0.01296,7206.861,29.478,15926.905,15.519,870.975,32.194,3754.557,41.969,1382.559,10.706,1914.44,19.079,8852.044,34.093,10864.615,65.732,5366.489,33.164,9037.736,43.643,1315.889,47.497,1598.172,64.625,1358.135,17.72,972.372,35.687,21388.5,0,27985.5,0,20467.5,0,33180.5,0,20054.5,0,27982.5,0,15261.5,0,20666.5,0,5646.109,14.62,7245.314,29.627,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266
2 onder 1 kap,1996 - 1999,B,23.59846297,0.104683413,21.75266185,0.150291559,36.68728937,0.051107962,9.825514702,0.252415055,20.94666038,0.129830711,17.29965721,0.123237504,10.64019133,0.138087623,21.29516921,0.085844164,0,0,8.15,0,9.68,0,0,0.01296,7206.861,29.478,15926.905,15.519,870.975,32.194,3754.557,41.969,1382.559,10.706,1914.44,19.079,8852.044,34.093,10864.615,65.732,5366.489,33.164,9037.736,43.643,1315.889,47.497,1598.172,64.625,1358.135,17.72,972.372,35.687,21388.5,0,27985.5,0,20467.5,0,33180.5,0,20054.5,0,27982.5,0,15261.5,0,20666.5,0,4190.436,27.7,4114.212,55.559,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266
2 onder 1 kap,2000 - 2005,A,28.35679993,0.072196638,21.75266185,0.150291559,36.68728937,0.051107962,9.825514702,0.252415055,20.94666038,0.129830711,17.29965721,0.123237504,13.72112893,0.103735169,11.22974607,0.1221068,0,0,8.15,0,9.68,0,0,0.01296,7206.861,29.478,15926.905,15.519,870.975,32.194,3754.557,41.969,1382.559,10.706,1914.44,19.079,8852.044,34.093,10864.615,65.732,5366.489,33.164,9037.736,43.643,1315.889,47.497,1598.172,64.625,1358.135,17.72,972.372,35.687,21388.5,0,27985.5,0,20467.5,0,33180.5,0,20054.5,0,27982.5,0,15261.5,0,20666.5,0,4190.436,27.7,4114.212,55.559,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266,14223.53468,52.49874438,30258.58367,171.0844266
2 onder 1 kap,2006 - 2010,A,26.43977209,0.066240158,21.75266185,0.150291559,36.68728937,0.051107962,9.825514702,0.252415055,20.94666038,0.129830711,17.29965721,0.123237504,12.48875389,0.086266253,13.5342874,0.09834969,0,0,8.15,0,9.68,0,0,0.01296,7206.861,29.478,15926.905,15.519,870.975,32.194,3754.557,41.969,1382.559,10.706,1914.44,19.079,8852.044,34.093,10864.615,65.732,5366.489,33.164,9037.736,43.643,1315.889,47.497,1598.172,64.625,1358.135,17.72,972.372,35.687,21388.5,0,27985.5,0,20467.5,0,33180.5,0,20054.5,0,27982.5,0,15261.5,0,20666.5,0,4190.436,27.7,4114.212,55.559,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266
2 onder 1 kap,2011 - 2014,A,22.29762265,0.058332419,21.75266185,0.150291559,36.68728937,0.051107962,9.825514702,0.252415055,20.94666038,0.129830711,17.29965721,0.123237504,12.48875389,0.086266253,13.19538426,0.080150592,0,0,8.15,0,9.68,0,0,0.01296,7206.861,29.478,15926.905,15.519,870.975,32.194,3754.557,41.969,1382.559,10.706,1914.44,19.079,8852.044,34.093,10864.615,65.732,5366.489,33.164,9037.736,43.643,1315.889,47.497,1598.172,64.625,1358.135,17.72,972.372,35.687,21388.5,0,27985.5,0,20467.5,0,33180.5,0,20054.5,0,27982.5,0,15261.5,0,20666.5,0,4190.436,27.7,4114.212,55.559,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266
2 onder 1 kap,2015 - 2020,A,13.84216057,0.081507916,21.75266185,0.150291559,36.68728937,0.051107962,9.825514702,0.252415055,20.94666038,0.129830711,17.29965721,0.123237504,12.48875389,0.086266253,4.587244605,0.124174109,0,0,8.15,0,9.68,0,0,0.01296,7206.861,29.478,15926.905,15.519,870.975,32.194,3754.557,41.969,1382.559,10.706,1914.44,19.079,8852.044,34.093,10864.615,65.732,5366.489,33.164,9037.736,43.643,1315.889,47.497,1598.172,64.625,1358.135,17.72,972.372,35.687,21388.5,0,27985.5,0,20467.5,0,33180.5,0,20054.5,0,27982.5,0,15261.5,0,20666.5,0,4190.436,27.7,4114.212,55.559,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266,15339.77046,52.49874438,32116.98548,171.0844266
rijwoning hoek,voor 1930,E,24.32600121,0.159284474,26.31208801,0.19052792,22.89207013,0.163273262,14.94625785,0.215323306,14.9746853,0.186730493,9.985352231,0.239296766,15.3729306,0.132172223,11.55222325,0.230369235,0,0.008135673,8.6,0,9.98,0,0,0.01296,10368,0,14255,0,3577.43,6.549,4584.49,16.873,963.638,15.527,1428.073,28.921,14207,0,20414,0,7265.895,7.67,8346.026,22.58,1335.502,36.686,2395.234,42.121,1566.306,7.18,2595.387,11.629,21388.5,0,27985.5,0,16445.5,0,26178.5,0,12519.317,20.854,17927.836,24.897,5601.702,87.968,3373.753,149.793,6874.105,1.928,9406.492,4.349,9690.957549,97.3859489,15829.73801,239.4478288,9690.957549,97.3859489,15829.73801,239.4478288,9522.579667,76.62730135,16390.39036,206.2314079,11570.92667,27.73253056,18273.50864,152.0810686,2950.612439,1.464933358,7163.849984,106.1962305,2950.612439,1.464933358,7163.849984,106.1962305
rijwoning hoek,1930 - 1945,E,31.10406393,0.1349793,34.01580131,0.165153318,28.44391969,0.156289803,13.23462585,0.244900307,15.26223948,0.21379653,9.472547284,0.245889972,15.00013715,0.144609968,18.19267076,0.133644227,0,0.008135673,8.6,0,9.98,0,0,0.01296,10368,0,14255,0,3577.43,6.549,4584.49,16.873,963.638,15.527,1428.073,28.921,14207,0,20414,0,7265.895,7.67,8346.026,22.58,1335.502,36.686,2395.234,42.121,1566.306,7.18,2595.387,11.629,21388.5,0,27985.5,0,16445.5,0,26178.5,0,12519.317,20.854,17927.836,24.897,5601.702,87.968,3373.753,149.793,6874.105,1.928,9406.492,4.349,9690.957549,97.3859489,15829.73801,239.4478288,9690.957549,97.3859489,15829.73801,239.4478288,9522.579667,76.62730135,16390.39036,206.2314079,11570.92667,27.73253056,18273.50864,152.0810686,2950.612439,1.464933358,7163.849984,106.1962305,2950.612439,1.464933358,7163.849984,106.1962305
