utiliteittype_str;bouwjaar_str;categorie;V_WW;E_WW_GAS;E_WW_WARM;E_WW_ELEK;V_RV_vast;V_RV_var;V_P_ELEK;EG;E_RV_GAS;E_RV_WARM;E_RV_ELEK;V_KOU;E_KOU_ELEK;V_APP_ELEK;E_APP_ELEK;V_Vent;EnergieIndex;EnergieLabel;AC_WW;AC_RV;R_COLL;MV_RV;OPP_FTE
Glastuinbouw, overig, onbelicht;2030<=2040;GLTB;0;0.72;1;nvt;0;0;;1;1.07;1;nvt;0;1;0;1;0;;;0;0;0;1.07;
Glastuinbouw, overig, onbelicht;2040<=2050;GLTB;0;0.72;1;nvt;0;0;;1;1.07;1;nvt;0;1;0;1;0;;;0;0;0;1.07;
Glastuinbouw, bloemen, onverwarmd;2010<=2020;GLTB;0;0.72;1;nvt;0;0;;1;1.07;1;nvt;0;1;0;1;0;;;0;0;0;1.07;
Glastuinbouw, bloemen, onverwarmd;2020<=2030;GLTB;0;0.72;1;nvt;0;0;;1;1.07;1;nvt;0;1;0;1;0;;;0;0;0;1.07;
Glastuinbouw, bloemen, onverwarmd;2030<=2040;GLTB;0;0.72;1;nvt;0;0;;1;1.07;1;nvt;0;1;0;1;0;;;0;0;0;1.07;
Glastuinbouw, bloemen, onverwarmd;2040<=2050;GLTB;0;0.72;1;nvt;0;0;;1;1.07;1;nvt;0;1;0;1;0;;;0;0;0;1.07;
Glastuinbouw, groente, onverwarmd;2010<=2020;GLTB;0;0.72;1;nvt;0;0;;1;1.07;1;nvt;0;1;0;1;0;;;0;0;0;1.07;
Glastuinbouw, groente, onverwarmd;2020<=2030;GLTB;0;0.72;1;nvt;0;0;;1;1.07;1;nvt;0;1;0;1;0;;;0;0;0;1.07;
Glastuinbouw, groente, onverwarmd;2030<=2040;GLTB;0;0.72;1;nvt;0;0;;1;1.07;1;nvt;0;1;0;1;0;;;0;0;0;1.07;
Glastuinbouw, groente, onverwarmd;2040<=2050;GLTB;0;0.72;1;nvt;0;0;;1;1.07;1;nvt;0;1;0;1;0;;;0;0;0;1.07;
Glastuinbouw, overig, onverwarmd;2010<=2020;GLTB;0;0.72;1;nvt;0;0;;1;1.07;1;nvt;0;1;0;1;0;;;0;0;0;1.07;
Glastuinbouw, overig, onverwarmd;2020<=2030;GLTB;0;0.72;1;nvt;0;0;;1;1.07;1;nvt;0;1;0;1;0;;;0;0;0;1.07;
Glastuinbouw, overig, onverwarmd;2030<=2040;GLTB;0;0.72;1;nvt;0;0;;1;1.07;1;nvt;0;1;0;1;0;;;0;0;0;1.07;
Glastuinbouw, overig, onverwarmd;2040<=2050;GLTB;0;0.72;1;nvt;0;0;;1;1.07;1;nvt;0;1;0;1;0;;;0;0;0;1.07;
