gem2020;wijk2020;buurt2020;woningtype;verschilfactor
GM0010;WK001007;BU00100733;3;1.079442248
GM0010;WK001007;BU00100733;4;1.079442248
GM0010;WK001007;BU00100733;5;1.079442248
GM0010;WK001007;BU00100734;1;1.038129585
GM0010;WK001007;BU00100734;2;1.038129585
GM0010;WK001007;BU00100735;1;1.04452393
GM0010;WK001007;BU00100735;2;1.04452393
GM0010;WK001007;BU00100735;3;1.04452393
GM0010;WK001007;BU00100735;4;1.04452393
GM0010;WK001007;BU00100735;5;1.04452393
GM0010;WK001007;BU00100736;1;1.038129585
GM0010;WK001007;BU00100736;2;1.038129585
GM0010;WK001007;BU00100736;3;1.038129585
GM0010;WK001007;BU00100736;4;1.038129585
GM0010;WK001007;BU00100737;1;1.011345817
GM0010;WK001007;BU00100737;2;0.985951949
GM0010;WK001007;BU00100737;3;0.985951949
GM0010;WK001007;BU00100737;4;0.985951949
GM0010;WK001007;BU00100737;5;0.985951949
GM0010;WK001007;BU00100738;1;1.093576762
GM0010;WK001007;BU00100738;2;0.925781656
GM0010;WK001007;BU00100738;3;1.012348251
GM0010;WK001007;BU00100738;4;1.012348251
GM0010;WK001007;BU00100738;5;1.012348251
GM0010;WK001007;BU00100739;1;1.038129585
GM0010;WK001007;BU00100739;2;1.038129585
GM0010;WK001008;BU00100831;1;0.992800922
GM0010;WK001009;BU00100932;1;1.036966674
GM0010;WK001009;BU00100932;2;1.00748607
GM0010;WK001009;BU00100932;3;1.00748607
GM0010;WK001009;BU00100932;4;1.00748607
GM0010;WK001009;BU00100940;1;1.011018898
GM0010;WK001009;BU00100940;2;1.011018898
GM0010;WK001009;BU00100941;1;0.962764172
GM0010;WK001009;BU00100941;2;0.962764172
GM0010;WK001009;BU00100941;3;0.962764172
GM0010;WK001009;BU00100941;4;0.962764172
GM0010;WK001009;BU00100942;1;1.038228524
GM0010;WK001009;BU00100942;2;0.965842108
GM0010;WK001009;BU00100942;3;0.965842108
GM0010;WK001009;BU00100942;4;0.965842108
GM0010;WK001009;BU00100943;1;1.027874446
GM0010;WK001009;BU00100943;2;0.987649821
GM0010;WK001009;BU00100943;3;0.972711055
GM0010;WK001009;BU00100943;4;0.972711055
GM0010;WK001009;BU00100943;5;0.972711055
GM0010;WK001009;BU00100944;1;1.12050457
GM0010;WK001009;BU00100944;2;1.041713342
GM0010;WK001009;BU00100944;3;0.946430125
GM0010;WK001009;BU00100944;4;0.892832635
GM0010;WK001009;BU00100945;1;1.011018898
GM0010;WK001009;BU00100945;2;1.011018898
GM0010;WK001009;BU00100948;1;1.011018898
GM0014;WK001400;BU00140000;1;0.993991594
