type_str,bouwjaar_str,Default_label,Vrv_N_asl,Vrv_N_opp,Vrv_G_asl,Vrv_G_opp,Vrv_F_asl,Vrv_F_opp,Vrv_E_asl,Vrv_E_opp,Vrv_D_asl,Vrv_D_opp,Vrv_C_asl,Vrv_C_opp,Vrv_B_asl,Vrv_B_opp,Vrv_A_asl,Vrv_A_opp,Vvent_asl,Vvent_opp,Vww_asl,Vww_opp,Ve_asl,Ve_opp,Vk_asl,Vk_opp,Ki_SGB_min_asl,Ki_SGB_min_opp,Ki_SGB_max_asl,Ki_SGB_max_opp,Ki_SFB_min_asl,Ki_SFB_min_opp,Ki_SFB_max_asl,Ki_SFB_max_opp,Ki_SEB_min_asl,Ki_SEB_min_opp,Ki_SEB_max_asl,Ki_SEB_max_opp,Ki_SDB_min_asl,Ki_SDB_min_opp,Ki_SDB_max_asl,Ki_SDB_max_opp,Ki_SCB_min_asl,Ki_SCB_min_opp,Ki_SCB_max_asl,Ki_SCB_max_opp,Ki_SGA_min_asl,Ki_SGA_min_opp,Ki_SGA_max_asl,Ki_SGA_max_opp,Ki_SFA_min_asl,Ki_SFA_min_opp,Ki_SFA_max_asl,Ki_SFA_max_opp,Ki_SEA_min_asl,Ki_SEA_min_opp,Ki_SEA_max_asl,Ki_SEA_max_opp,Ki_SDA_min_asl,Ki_SDA_min_opp,Ki_SDA_max_asl,Ki_SDA_max_opp,Ki_SCA_min_asl,Ki_SCA_min_opp,Ki_SCA_max_asl,Ki_SCA_max_opp,Ki_SBA_min_asl,Ki_SBA_min_opp,Ki_SBA_max_asl,Ki_SBA_max_opp
Winkel,1995<=2019,B,0.0000000,0.1543448,0.0000000,0.1543448,0.0000000,0.1543448,0.0000000,0.1543448,0.0000000,0.1543448,0.0000000,0.1543448,0.0000000,0.1135307,0.0000000,0.0794715,0.0000000,0.0000000,0.0000000,0.0037768,0.0000000,0.5670000,0.0000000,0.0352788,0.0000000,131.4880729,0.0000000,207.1990000,0.0000000,131.4881000,0.0000000,207.1990000,0.0000000,131.4881000,0.0000000,207.1990000,0.0000000,131.4881000,0.0000000,207.1990000,0.0000000,131.4881000,0.0000000,207.1990000,0.0000000,164.7628000,0.0000000,255.8851000,0.0000000,164.7628000,0.0000000,255.8851000,0.0000000,164.7628000,0.0000000,255.8851000,0.0000000,164.7628000,0.0000000,255.8851000,0.0000000,164.7628000,0.0000000,255.8851000,0.0000000,148.0000000,0.0000000,215.0000000
Winkel,onbekend,D,0.0000000,0.2995556,0.0000000,0.2995556,0.0000000,0.2995556,0.0000000,0.2995556,0.0000000,0.2995556,0.0000000,0.2995556,0.0000000,0.1237706,0.0000000,0.0866394,0.0000000,0.0000000,0.0000000,0.0037768,0.0000000,0.5670000,0.0000000,0.0352788,0.0000000,144.2901571,0.0000000,217.1510000,0.0000000,144.2902000,0.0000000,217.1510000,0.0000000,144.2902000,0.0000000,217.1510000,0.0000000,144.2902000,0.0000000,217.1510000,0.0000000,144.2902000,0.0000000,217.1510000,0.0000000,176.3884000,0.0000000,263.8960000,0.0000000,176.3884000,0.0000000,263.8960000,0.0000000,176.3884000,0.0000000,263.8960000,0.0000000,176.3884000,0.0000000,263.8960000,0.0000000,176.3884000,0.0000000,263.8960000,0.0000000,148.0375000,0.0000000,215.0243000
Gezondheidszorg,0<=1920,G,0.0000000,1.1531508,0.0000000,1.1531508,0.0000000,1.1531508,0.0000000,1.1531508,0.0000000,1.1531508,0.0000000,1.1531508,0.0000000,0.3879494,0.0000000,0.2715646,0.0000000,0.0000000,0.0000000,0.0383343,0.0000000,0.2320000,0.0000000,0.0322903,0.0000000,131.0000000,0.0000000,210.0000000,0.0000000,131.0000000,0.0000000,210.0000000,0.0000000,131.0000000,0.0000000,210.0000000,0.0000000,131.0000000,0.0000000,210.0000000,0.0000000,131.0000000,0.0000000,210.0000000,0.0000000,157.0000000,0.0000000,251.0000000,0.0000000,157.0000000,0.0000000,251.0000000,0.0000000,157.0000000,0.0000000,251.0000000,0.0000000,157.0000000,0.0000000,251.0000000,0.0000000,157.0000000,0.0000000,251.0000000,0.0000000,125.0000000,0.0000000,199.0000000
Gezondheidszorg,1920<=1975,E,0.0000000,0.8454833,0.0000000,0.8454833,0.0000000,0.8454833,0.0000000,0.8454833,0.0000000,0.8454833,0.0000000,0.8454833,0.0000000,0.3721221,0.0000000,0.2604855,0.0000000,0.0000000,0.0000000,0.0383343,0.0000000,0.2320000,0.0000000,0.0322903,0.0000000,130.4426926,0.0000000,209.0649000,0.0000000,130.4427000,0.0000000,209.0649000,0.0000000,130.4427000,0.0000000,209.0649000,0.0000000,130.4427000,0.0000000,209.0649000,0.0000000,130.4427000,0.0000000,209.0649000,0.0000000,156.5094000,0.0000000,250.2353000,0.0000000,156.5094000,0.0000000,250.2353000,0.0000000,156.5094000,0.0000000,250.2353000,0.0000000,156.5094000,0.0000000,250.2353000,0.0000000,156.5094000,0.0000000,250.2353000,0.0000000,125.0000000,0.0000000,199.0000000
Gezondheidszorg,1975<=1990,C,0.0000000,0.4756092,0.0000000,0.4756092,0.0000000,0.4756092,0.0000000,0.4756092,0.0000000,0.4756092,0.0000000,0.4756092,0.0000000,0.3392359,0.0000000,0.2374651,0.0000000,0.0000000,0.0000000,0.0383343,0.0000000,0.2320000,0.0000000,0.0322903,0.0000000,119.4167501,0.0000000,201.7378000,0.0000000,119.4168000,0.0000000,201.7378000,0.0000000,119.4168000,0.0000000,201.7378000,0.0000000,119.4168000,0.0000000,201.7378000,0.0000000,119.4168000,0.0000000,201.7378000,0.0000000,146.8039000,0.0000000,244.2437000,0.0000000,146.8039000,0.0000000,244.2437000,0.0000000,146.8039000,0.0000000,244.2437000,0.0000000,146.8039000,0.0000000,244.2437000,0.0000000,146.8039000,0.0000000,244.2437000,0.0000000,125.0000000,0.0000000,199.0000000
Gezondheidszorg,1990<=1995,B,0.0000000,0.4679000,0.0000000,0.4679000,0.0000000,0.4679000,0.0000000,0.4679000,0.0000000,0.4679000,0.0000000,0.4679000,0.0000000,0.3136708,0.0000000,0.2195696,0.0000000,0.0000000,0.0000000,0.0383343,0.0000000,0.2320000,0.0000000,0.0322903,0.0000000,116.8378378,0.0000000,197.0858000,0.0000000,116.8378000,0.0000000,197.0858000,0.0000000,116.8378000,0.0000000,197.0858000,0.0000000,116.8378000,0.0000000,197.0858000,0.0000000,116.8378000,0.0000000,197.0858000,0.0000000,144.5339000,0.0000000,240.4396000,0.0000000,144.5339000,0.0000000,240.4396000,0.0000000,144.5339000,0.0000000,240.4396000,0.0000000,144.5339000,0.0000000,240.4396000,0.0000000,144.5339000,0.0000000,240.4396000,0.0000000,125.0000000,0.0000000,199.0000000
Gezondheidszorg,1995<=2019,B,0.0000000,0.3896066,0.0000000,0.3896066,0.0000000,0.3896066,0.0000000,0.3896066,0.0000000,0.3896066,0.0000000,0.3896066,0.0000000,0.3009327,0.0000000,0.2106529,0.0000000,0.0000000,0.0000000,0.0383343,0.0000000,0.2320000,0.0000000,0.0322903,0.0000000,111.0462129,0.0000000,192.7180000,0.0000000,111.0462000,0.0000000,192.7180000,0.0000000,111.0462000,0.0000000,192.7180000,0.0000000,111.0462000,0.0000000,192.7180000,0.0000000,111.0462000,0.0000000,192.7180000,0.0000000,139.4359000,0.0000000,236.8679000,0.0000000,139.4359000,0.0000000,236.8679000,0.0000000,139.4359000,0.0000000,236.8679000,0.0000000,139.4359000,0.0000000,236.8679000,0.0000000,139.4359000,0.0000000,236.8679000,0.0000000,125.0000000,0.0000000,199.0000000
Gezondheidszorg,onbekend,D,0.0000000,0.6400535,0.0000000,0.6400535,0.0000000,0.6400535,0.0000000,0.6400535,0.0000000,0.6400535,0.0000000,0.6400535,0.0000000,0.3372052,0.0000000,0.2360437,0.0000000,0.0000000,0.0000000,0.0383343,0.0000000,0.2320000,0.0000000,0.0322903,0.0000000,120.3893060,0.0000000,200.9565000,0.0000000,120.3893000,0.0000000,200.9565000,0.0000000,120.3893000,0.0000000,200.9565000,0.0000000,120.3893000,0.0000000,200.9565000,0.0000000,120.3893000,0.0000000,200.9565000,0.0000000,147.6600000,0.0000000,243.6048000,0.0000000,147.6600000,0.0000000,243.6048000,0.0000000,147.6600000,0.0000000,243.6048000,0.0000000,147.6600000,0.0000000,243.6048000,0.0000000,147.6600000,0.0000000,243.6048000,0.0000000,125.0000000,0.0000000,199.0000000
Logies,0<=1920,G,0.0000000,0.7476078,0.0000000,0.7476078,0.0000000,0.7476078,0.0000000,0.7476078,0.0000000,0.7476078,0.0000000,0.7476078,0.0000000,0.2722566,0.0000000,0.1905796,0.0000000,0.0000000,0.0000000,0.0374530,0.0000000,0.0890000,0.0000000,0.1558468,0.0000000,124.0000000,0.0000000,170.0000000,0.0000000,124.0000000,0.0000000,170.0000000,0.0000000,124.0000000,0.0000000,170.0000000,0.0000000,124.0000000,0.0000000,170.0000000,0.0000000,124.0000000,0.0000000,170.0000000,0.0000000,149.0000000,0.0000000,204.0000000,0.0000000,149.0000000,0.0000000,204.0000000,0.0000000,149.0000000,0.0000000,204.0000000,0.0000000,149.0000000,0.0000000,204.0000000,0.0000000,149.0000000,0.0000000,204.0000000,0.0000000,118.0000000,0.0000000,161.0000000
Logies,1920<=1975,E,0.0000000,0.6019040,0.0000000,0.6019040,0.0000000,0.6019040,0.0000000,0.6019040,0.0000000,0.6019040,0.0000000,0.6019040,0.0000000,0.2416328,0.0000000,0.1691429,0.0000000,0.0000000,0.0000000,0.0374530,0.0000000,0.0890000,0.0000000,0.1558468,0.0000000,123.4813487,0.0000000,169.2625000,0.0000000,123.4813000,0.0000000,169.2625000,0.0000000,123.4813000,0.0000000,169.2625000,0.0000000,123.4813000,0.0000000,169.2625000,0.0000000,123.4813000,0.0000000,169.2625000,0.0000000,148.5353000,0.0000000,203.3694000,0.0000000,148.5353000,0.0000000,203.3694000,0.0000000,148.5353000,0.0000000,203.3694000,0.0000000,148.5353000,0.0000000,203.3694000,0.0000000,148.5353000,0.0000000,203.3694000,0.0000000,118.0000000,0.0000000,161.0000000
